cycle,chamber,district,party,candidate,canonical_candidate_id,person_id,incumbent,winner,candidate_cmo_total_oof,match_status,match_method,similarity,suggested_source_name,shor_u_id,shor_np_score,served_by_election,first_observed_service_year
1998,senate,5,R,Lee,AL-1998-senate-5-R-LEE,ALPERSON-LEE,0,1,1.735479738400051,fuzzy_review,none,90.0,"Lee, Curt",,,,
1998,senate,6,R,Hardy,AL-1998-senate-6-R-HARDY,ALPERSON-HARDY,0,0,-23.156560858851616,fuzzy_review,none,80.0,"Baughn, Richard",,,,
1998,senate,7,R,Enfinger,AL-1998-senate-7-R-ENFINGER,ALPERSON-ENFINGER,0,1,19.02136294246941,matched,winner_or_incumbent_unique_surname,90.0,"Enfinger, Jeff",AL1999U035,1.301,False,1999.0
1998,senate,8,R,Culpepper,AL-1998-senate-8-R-CULPEPPER,ALPERSON-CULPEPPER,0,0,-12.19420103080299,fuzzy_review,none,58.82352941176471,"Lee, Curt",,,,
1998,senate,9,R,King,AL-1998-senate-9-R-KING,ALPERSON-KING,0,0,-32.53195005852334,fuzzy_review,none,77.14285714285715,"Ingram, Reed",,,,
1998,senate,10,R,Smith,AL-1998-senate-10-R-SMITH,ALPERSON-SMITH,0,0,-7.042743820302743,matched,normalized_exact,100.0,Smith,AL1996U001,1.125,True,1996.0
1998,senate,11,R,Hill,AL-1998-senate-11-R-HILL,ALPERSON-HILL,0,0,-1.8232170496052928,matched,normalized_exact,100.0,Hill,AL1996U004,0.673,True,1996.0
1998,senate,12,R,Marsh,AL-1998-senate-12-R-MARSH,ALPERSON-MARSH,0,1,12.879881409967275,matched,winner_or_incumbent_unique_surname,90.0,"Marsh, Del",AL1999U022,1.024,False,1999.0
1998,senate,13,R,Branch,AL-1998-senate-13-R-BRANCH,ALPERSON-BRANCH,0,0,-21.856716597238226,fuzzy_review,none,65.45454545454547,"Taylor, Bryan",,,,
1998,senate,14,R,Armistead,AL-1998-senate-14-R-ARMISTEAD,ALPERSON-ARMISTEAD,0,1,24.99091504061293,matched,winner_or_incumbent_unique_surname,90.0,"Armistead, Bill",AL1996U006,1.641,True,1996.0
1998,senate,16,R,Waggoner,AL-1998-senate-16-R-WAGGONER,ALPERSON-WAGGONER,0,1,14.395846391054093,matched,winner_or_incumbent_unique_surname,95.0,"Waggoner, JT",AL1996U015,1.033,True,1996.0
1998,senate,18,R,Britnell,AL-1998-senate-18-R-BRITNELL,ALPERSON-BRITNELL,0,0,15.56634657136896,fuzzy_review,none,60.00000000000001,"Armistead, Bill",,,,
1998,senate,20,R,Bonham,AL-1998-senate-20-R-BONHAM,ALPERSON-BONHAM,0,0,2.36691786870842,fuzzy_review,none,60.00000000000001,"Boman, Daniel",,,,
1998,senate,21,R,Bentley,AL-1998-senate-21-R-BENTLEY,ALPERSON-BENTLEY,0,0,-2.9010263879025127,fuzzy_review,none,90.0,"Bentley, Robert",,,,
1998,senate,22,R,Joyner,AL-1998-senate-22-R-JOYNER,ALPERSON-JOYNER,0,0,-5.70845828216241,fuzzy_review,none,72.0,"Waggoner, JT",,,,
