person_id,candidate,election_cycle,legiscan_people_id,bill_id,bill_number,session_year,session_name,history_order,action_date,action,chamber,importance,matched_name,activity_timing,bill_url,bill_title,bill_description,subject_names
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,884484,SB8,2016,First Special Session 2016,6,2016-08-17,Beasley first Substitute Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB8/2016/X1,"Court of the Judiciary, appeals to Supreme Court, legislative approval of Supreme Court decisions, continued service of judge upon filing of complaint with the Judicial Inquiry Comm., auth. const. amend.","Court of the Judiciary, appeals to Supreme Court, legislative approval of Supreme Court decisions, continued service of judge upon filing of complaint with the Judicial Inquiry Comm., auth. const. amend.",Constitutional Amendments
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,989081,SB296,2017,Regular Session 2017,8,2017-05-02,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB296/2017,"Suicide, training of public school educators to provide mental health first aid to students","Suicide, training of public school educators to provide mental health first aid to students",Mental Health
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,935380,HB69,2017,Regular Session 2017,10,2017-05-19,Beasley first Substitute Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB69/2017,"Counties and municipalities, competitive bids, heavy equipment or vehicle, add exception for repair by dealer or authorized service center, Sec. 41-16-52 am'd.","Counties and municipalities, competitive bids, heavy equipment or vehicle, add exception for repair by dealer or authorized service center, Sec. 41-16-52 am'd.",Counties
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1059929,HB219,2018,Regular Session 2018,10,2018-02-08,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB219/2018,"Henry Co., sheriff, service of process fee, further provided for, distrib., Sec. 45-34-231am'd.","Henry Co., sheriff, service of process fee, further provided for, distrib., Sec. 45-34-231am'd.",Henry County
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1248054,SB220,2019,Regular Session 2019,18,2019-04-25,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB220/2019,"Alabama Lottery estab., distrib. of proceeds provided, constitutional amendment","Alabama Lottery estab., distrib. of proceeds provided, constitutional amendment",Constitutional Amendments
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1261023,SB402,2019,Regular Session 2019,4,2019-05-29,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB402/2019,"Barbour Co., law enforcement, authorized to take an individual with mental illness into protective custody under certain conditions, protection from civil and criminal liabilities","Barbour Co., law enforcement, authorized to take an individual with mental illness into protective custody under certain conditions, protection from civil and criminal liabilities",Barbour County
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1344729,SB219,2020,Regular Session 2020,6,2020-03-05,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/SB219/2020,"Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents","Vulnerable Child Compassion and Protection Act, prohibits gender change therapy for minors, prohibits withholding of certain related information from parents",Public Health Department
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1524512,HB4,2021,First Special Session 2021,19,2021-10-01,Beasley first Substitute Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB4/2021/X1,"Alabama Corrections Institution Finance Authority, issuance of bonds for the finance, construction, and renovation of prisons, provided; membership of authority, further provided; phased approach to the construction of new prisons and the renovation or closure of old prisons, provided; Correctional Facilities Maintenance Fund and Department of Corrections - Correctional Capital Improvement Fund, created; Alabama Prison Repurposing Commission, required to study economic impact of any closure or possible repurposing of prison facility. Secs. 14-2-1, 14-2-6, 14-2-12, 14-2-13.1, 14-2-14, 14-2-16, 14-2-19, 14-2-21, 14-2-28, and 14-2-34, am'd.","Alabama Corrections Institution Finance Authority, issuance of bonds for the finance, construction, and renovation of prisons, provided; membership of authority, further provided; phased approach to the construction of new prisons and the renovation or closure of old prisons, provided; Correctional Facilities Maintenance Fund and Department of Corrections - Correctional Capital Improvement Fund, created; Alabama Prison Repurposing Commission, required to study economic impact of any closure or possible repurposing of prison facility. Secs. 14-2-1, 14-2-6, 14-2-12, 14-2-13.1, 14-2-14, 14-2-16, 14-2-19, 14-2-21, 14-2-28, and 14-2-34, am'd.",Prisons and Prisoners
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1596612,HB400,2022,Regular Session 2022,9,2022-04-06,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB400/2022,"Taxation, grain bins exempt from ad valorem taxation, Sec. 40-9-1 am'd.","Taxation, grain bins exempt from ad valorem taxation, Sec. 40-9-1 am'd.",Taxation
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,3386,1596612,HB400,2022,Regular Session 2022,15,2022-04-06,Beasley Amendment Offered,S,0,Beasley,post_election,https://legiscan.com/AL/bill/HB400/2022,"Taxation, grain bins exempt from ad valorem taxation, Sec. 40-9-1 am'd.","Taxation, grain bins exempt from ad valorem taxation, Sec. 40-9-1 am'd.",Taxation
