sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value
R:omit_2018,candidate_federal_overperformance,party_leave_cycle_out,138,126,absolute_conservatism_z,estimated,-1.9443895670804356,8.64024248771309,-18.87926484299809,14.99048570883722,0.822316588548321
R:2008_2014,candidate_federal_overperformance,party_era_context,66,58,absolute_conservatism_z,estimated,10.72190337621898,18.736424564831392,-26.001488770850543,47.44529552328851,0.5694034012640081
R:post_2016,candidate_federal_overperformance,party_era_context,35,35,absolute_conservatism_z,estimated,-18.875682087147872,11.683533863518813,-41.775408459644744,4.0240442853489995,0.11542813838705988
R:pre_2008,candidate_federal_overperformance,party_era_context,72,71,absolute_conservatism_z,estimated,-3.1670308046632956,11.288960394466189,-25.293393177817023,18.959331568490434,0.7798889602271234
all,candidate_presidential_overperformance,total_context,389,314,absolute_conservatism_z,estimated,-3.0049090822953217,9.027975922015216,-20.699741889445143,14.6899237248545,0.7394747434735491
all,candidate_presidential_overperformance,total_context,389,314,democratic_x_absolute,estimated,15.75482104961062,10.094499548089257,-4.030398064644324,35.54004016386556,0.11959719138779884
all,candidate_presidential_overperformance,common_incumbency,389,314,absolute_conservatism_z,estimated,-0.1749906585116588,8.9570792377234,-17.730865964449524,17.380884647426203,0.9844255070499051
all,candidate_presidential_overperformance,common_incumbency,389,314,democratic_x_absolute,estimated,12.721391020372382,9.9753604402575,-6.830315442532319,32.273097483277084,0.20315541310983276
all,candidate_presidential_overperformance,common_incumbency,389,314,incumbent_i,estimated,12.075737724196358,3.1363517318474945,5.928488329775269,18.222987118617446,0.0001430887322069372
all,candidate_presidential_overperformance,party_specific_incumbency,389,314,absolute_conservatism_z,estimated,-0.4235015127137599,9.11064153721789,-18.280358925660824,17.433355900233305,0.9629539158999574
all,candidate_presidential_overperformance,party_specific_incumbency,389,314,democratic_x_absolute,estimated,12.38094434292505,10.10526257520116,-7.4253703044692205,32.18725899031932,0.22142191515400447
all,candidate_presidential_overperformance,party_specific_incumbency,389,314,incumbent_i,estimated,16.839197738627103,4.266312142535176,8.477225939258158,25.201169537996048,9.776123851666811e-05
all,candidate_presidential_overperformance,party_specific_incumbency,389,314,democratic_x_incumbency,estimated,-10.595498290269186,5.390269612116384,-21.1604267300173,-0.030569850521072084,0.05022036955898256
all,candidate_presidential_overperformance,mediator_adjusted_incumbency_finance,314,254,absolute_conservatism_z,estimated,1.8039861197535474,8.77802623975689,-15.400945310169957,19.00891754967705,0.8373377048190895
all,candidate_presidential_overperformance,mediator_adjusted_incumbency_finance,314,254,democratic_x_absolute,estimated,6.461410029027497,10.184826808748651,-13.500850516119858,26.423670574174853,0.5263830517775016
all,candidate_presidential_overperformance,mediator_adjusted_incumbency_finance,314,254,incumbent_i,estimated,11.002056531889872,4.347161700983218,2.4816195979627658,19.52249346581698,0.011985248806982582
all,candidate_presidential_overperformance,mediator_adjusted_incumbency_finance,314,254,democratic_x_incumbency,estimated,-5.828060630185872,5.416580252880465,-16.44455792583158,4.788436665459839,0.2829670621117796
all,candidate_presidential_overperformance,party_directed_convergence,389,314,party_directed_convergence,estimated,3.0049090822948283,9.027975922015624,-14.689923724855793,20.69974188944545,0.7394747434736018
all,candidate_presidential_overperformance,party_directed_convergence,389,314,democratic_x_convergence,estimated,9.745002885020572,9.779955260384805,-9.423709425333644,28.913715195374788,0.31981283409083067
D,candidate_presidential_overperformance,party_total_context,199,170,absolute_conservatism_z,estimated,10.746165866524025,3.5646686627670383,3.75941528750063,17.73291644554742,0.0029696224561951813
D,candidate_presidential_overperformance,party_mediator_adjusted,150,129,absolute_conservatism_z,estimated,6.181150300421525,4.752745300184214,-3.1342304879395346,15.496531088782584,0.19575154450322305
D,candidate_presidential_overperformance,party_winners_only,166,152,absolute_conservatism_z,estimated,10.484310679947416,3.5517894830979615,3.5228032930754116,17.44581806681942,0.003663801546967838
D,candidate_presidential_overperformance,party_prior_service_only,170,146,absolute_conservatism_z,estimated,11.959000709052132,3.681608136680161,4.743048761159017,19.174952656945248,0.0014426930212707125
D,winsorized_outcome,party_winsorized:candidate_presidential_overperformance,199,170,absolute_conservatism_z,estimated,10.515667653557388,3.327410521201823,3.993943032001815,17.03739227511296,0.0018678441778580879
D:omit_1998,candidate_presidential_overperformance,party_leave_cycle_out,143,115,absolute_conservatism_z,estimated,13.415236451130477,3.940864525118764,5.6911419818977,21.139330920363253,0.0009168595134886415
D:omit_2002,candidate_presidential_overperformance,party_leave_cycle_out,153,124,absolute_conservatism_z,estimated,6.904642011597714,4.577926689860122,-2.0680943005281236,15.877378323723551,0.13405576545974812
D:omit_2006,candidate_presidential_overperformance,party_leave_cycle_out,166,151,absolute_conservatism_z,estimated,8.426140063425807,3.813017871302142,0.9526250356736092,15.899655091178005,0.028631832553160222
