person_id,candidate,election_cycle,issue,issue_label,reviewed_vote_records,yea_votes,nay_votes,distinct_roll_calls,distinct_bills,observed_pattern,first_vote_date,last_vote_date,source_urls
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,abortion,Abortion,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2019-05-14,2019-05-14,https://legiscan.com/AL/bill/HB314/2019
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,culture_lgbtq,LGBTQ and cultural policy,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2025-02-06,2025-02-06,https://legiscan.com/AL/bill/SB79/2025
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,culture_lgbtq,LGBTQ and cultural policy,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2025-02-06,2025-02-06,https://legiscan.com/AL/bill/SB79/2025
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,immigration,Immigration,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2011-05-05,2025-02-13,https://legiscan.com/AL/bill/SB53/2025 | https://legiscan.com/AL/bill/HB56/2011
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,taxes_revenue,Taxes and revenue,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2026-02-24,2026-02-24,https://legiscan.com/AL/bill/HB360/2026
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,taxes_revenue,Taxes and revenue,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2026-02-24,2026-02-24,https://legiscan.com/AL/bill/HB360/2026
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,taxes_revenue,Taxes and revenue,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2026-02-24,2026-02-24,https://legiscan.com/AL/bill/HB360/2026
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,taxes_revenue,Taxes and revenue,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2026-02-24,2026-02-24,https://legiscan.com/AL/bill/HB360/2026
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,taxes_revenue,Taxes and revenue,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2026-02-24,2026-02-24,https://legiscan.com/AL/bill/HB360/2026
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,labor_unions,Labor and unions,3,0,3,3,3,The candidate opposed all 3 reviewed motions in this issue sample.,2016-02-11,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/HB37/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-ALAN-HARPER,Alan Harper,2010,labor_unions,Labor and unions,2,2,0,2,2,The candidate supported all 2 reviewed motions in this issue sample.,2016-02-11,2016-02-16,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/HB37/2016
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,labor_unions,Labor and unions,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2016-02-16,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,labor_unions,Labor and unions,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2016-02-16,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-CRAIG-FORD,Craig Ford,2014,labor_unions,Labor and unions,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2016-02-16,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,labor_unions,Labor and unions,3,0,3,3,3,The candidate opposed all 3 reviewed motions in this issue sample.,2016-02-11,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/HB37/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,labor_unions,Labor and unions,3,3,0,3,3,The candidate supported all 3 reviewed motions in this issue sample.,2016-02-11,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/HB37/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,labor_unions,Labor and unions,3,0,3,3,3,The candidate opposed all 3 reviewed motions in this issue sample.,2016-02-11,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/HB37/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,labor_unions,Labor and unions,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2016-02-16,2018-03-06,https://legiscan.com/AL/bill/HB174/2016 | https://legiscan.com/AL/bill/SB159/2018
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,social_services,Social services,3,1,2,3,3,"In this reviewed sample, the candidate supported 1 motion and opposed 2. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2013-04-24,2017-04-18,https://legiscan.com/AL/bill/HB24/2017 | https://legiscan.com/AL/bill/SB7/2013 | https://legiscan.com/AL/bill/SB115/2014
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,social_services,Social services,4,1,3,4,4,"In this reviewed sample, the candidate supported 1 motion and opposed 3. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2013-04-24,2026-03-03,https://legiscan.com/AL/bill/HB24/2017 | https://legiscan.com/AL/bill/SB7/2013 | https://legiscan.com/AL/bill/SB57/2026 | https://legiscan.com/AL/bill/SB115/2014
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,immigration,Immigration,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2012-04-19,2012-04-19,https://legiscan.com/AL/bill/HB658/2012
ALPERSON-CRAIG-FORD,Craig Ford,2014,immigration,Immigration,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2012-04-19,2012-04-19,https://legiscan.com/AL/bill/HB658/2012
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,anti_esg_governance,ESG and state financial governance,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,anti_esg_governance,ESG and state financial governance,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,anti_esg_governance,ESG and state financial governance,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,anti_esg_governance,ESG and state financial governance,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,anti_esg_governance,ESG and state financial governance,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,environment_energy,Environment and energy,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,environment_energy,Environment and energy,2,0,2,2,2,The candidate opposed all 2 reviewed motions in this issue sample.,2012-04-11,2023-05-31,https://legiscan.com/AL/bill/SB261/2023 | https://legiscan.com/AL/bill/HB608/2012
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,environment_energy,Environment and energy,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,environment_energy,Environment and energy,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,environment_energy,Environment and energy,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2023-05-31,2023-05-31,https://legiscan.com/AL/bill/SB261/2023
ALPERSON-ALAN-HARPER,Alan Harper,2010,social_services,Social services,3,3,0,3,3,The candidate supported all 3 reviewed motions in this issue sample.,2014-04-02,2017-03-16,https://legiscan.com/AL/bill/HB24/2017 | https://legiscan.com/AL/bill/SB115/2014 | https://legiscan.com/AL/bill/SB116/2014
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,social_services,Social services,3,2,1,3,3,"In this reviewed sample, the candidate supported 2 motions and opposed 1. The mixed tally should be read proposal by proposal because the motions need not measure one ideological axis.",2014-04-02,2017-03-16,https://legiscan.com/AL/bill/HB24/2017 | https://legiscan.com/AL/bill/SB115/2014 | https://legiscan.com/AL/bill/SB116/2014
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,social_services,Social services,3,0,3,3,3,The candidate opposed all 3 reviewed motions in this issue sample.,2014-04-02,2017-03-16,https://legiscan.com/AL/bill/HB24/2017 | https://legiscan.com/AL/bill/SB115/2014 | https://legiscan.com/AL/bill/SB116/2014
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,social_services,Social services,1,1,0,1,1,The candidate supported all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB24/2017
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,social_services,Social services,1,0,1,1,1,The candidate opposed all 1 reviewed motion in this issue sample.,2017-03-16,2017-03-16,https://legiscan.com/AL/bill/HB24/2017
