sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value,primary_bh_q_value,congruence_bh_q_value
D,candidate_cmo,issue_total:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_cmo,issue_mediator_adjusted:family:labor_capital,16,16,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_cmo,issue_district_congruence:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_cmo,issue_district_congruence:family:labor_capital,17,17,issue_congruence_labor_capital,underpowered,,,,,,,
D:post_2016,candidate_cmo,issue_era:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_total:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_mediator_adjusted:family:labor_capital,16,16,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_district_congruence:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_district_congruence:family:labor_capital,17,17,issue_congruence_labor_capital,underpowered,,,,,,,
D:post_2016,candidate_statewide_overperformance,issue_era:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_total:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_mediator_adjusted:family:labor_capital,16,16,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_district_congruence:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_district_congruence:family:labor_capital,17,17,issue_congruence_labor_capital,underpowered,,,,,,,
D:post_2016,candidate_federal_overperformance,issue_era:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_total:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_mediator_adjusted:family:labor_capital,16,16,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:labor_capital,17,17,issue_congruence_labor_capital,underpowered,,,,,,,
D:post_2016,candidate_presidential_overperformance,issue_era:family:labor_capital,17,17,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_cmo,issue_total:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_cmo,issue_mediator_adjusted:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_cmo,issue_district_congruence:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_cmo,issue_district_congruence:family:labor_capital,0,0,issue_congruence_labor_capital,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_total:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_mediator_adjusted:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_statewide_overperformance,issue_district_congruence:family:labor_capital,0,0,issue_congruence_labor_capital,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_total:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_mediator_adjusted:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
R,candidate_federal_overperformance,issue_district_congruence:family:labor_capital,0,0,issue_congruence_labor_capital,underpowered,,,,,,,
R,candidate_presidential_overperformance,issue_total:family:labor_capital,0,0,issue_conservative_labor_capital,underpowered,,,,,,,
