votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
5704,"John Rogers, Jr.",Marijuana,NORML (National Organization for the Reform of Marijuana Laws),599,13774,100%,2023,2023,2023,interest_group_rating,https://votesmart.org/interest-group/599/rating/13774,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5635,Steve Clouse,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Business and Consumers,National Federation of Independent Business - Alabama,608,13405,100%,2019-2022,2019,2022,interest_group_rating,https://votesmart.org/interest-group/608/rating/13405,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,100%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,100%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Business and Consumers,National Federation of Independent Business - Alabama,608,5608,100%,2007-2010,2007,2010,interest_group_rating,https://votesmart.org/interest-group/608/rating/5608,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Business and Consumers,National Federation of Independent Business - Alabama,608,3421,89%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/608/rating/3421,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Business and Consumers,National Federation of Independent Business - Alabama,608,1020,89%,1995-1998,1995,1998,interest_group_rating,https://votesmart.org/interest-group/608/rating/1020,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,13783,81%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13783,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,13784,67%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13784,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,13079,50%,2020,2020,2020,interest_group_rating,https://votesmart.org/interest-group/1481/rating/13079,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10896,66%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10895,50%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10589,69%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10590,70%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10128,70%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10112,67%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,9176,72%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,9175,44%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,American Conservative Union (ACU),1481,10283,100%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,Christian Coalition of Alabama,510,3269,88%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/510/rating/3269,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,Christian Coalition of Alabama,510,1389,84%,1999-2000,1999,2000,interest_group_rating,https://votesmart.org/interest-group/510/rating/1389,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,Conservative Christians of Alabama,2201,12486,17%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/2201/rating/12486,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Conservative,Eagle Forum of Alabama,369,2635,17%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/369/rating/2635,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,LEAP Forward,2867,13052,18%,2021,2021,2021,interest_group_rating,https://votesmart.org/interest-group/2867/rating/13052,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,National Rifle Association (NRA),1034,13506,92%,2022,2022,2022,interest_group_rating,https://votesmart.org/interest-group/1034/rating/13506,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,National Rifle Association (NRA),1034,12493,92%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1034/rating/12493,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,92%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,3440,A+,2006,2006,2006,interest_group_rating,https://votesmart.org/interest-group/1557/rating/3440,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,2028,0%,2002,2002,2002,interest_group_rating,https://votesmart.org/interest-group/1557/rating/2028,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,1128,C,1998,1998,1998,interest_group_rating,https://votesmart.org/interest-group/1557/rating/1128,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Marijuana,NORML (National Organization for the Reform of Marijuana Laws),599,14258,33%,2024,2024,2024,interest_group_rating,https://votesmart.org/interest-group/599/rating/14258,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
5635,Steve Clouse,Marijuana,NORML (National Organization for the Reform of Marijuana Laws),599,13774,33%,2023,2023,2023,interest_group_rating,https://votesmart.org/interest-group/599/rating/13774,https://j.futurefacts.votesmart.io/candidate/evaluations/5635/steve-clouse
15216,Vivian Figures' Ratings and Endorsements,Business and Consumers,National Federation of Independent Business - Alabama,608,13405,70%,2019-2022,2019,2022,interest_group_rating,https://votesmart.org/interest-group/608/rating/13405,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
15216,Vivian Figures' Ratings and Endorsements,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,50%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/15216/vivian-figures
