election_year,votesmart_candidate_id,candidate,chamber,district,party,outcome,profile_slug,profile_url,source_url
1998,16103,Michael Morton,house,55,Republican,Lost,michael-morton,https://j.futurefacts.votesmart.io/candidate/16103/michael-morton,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,16019,Priscilla Dunn,house,56,Democratic,Won,priscilla-dunn,https://j.futurefacts.votesmart.io/candidate/16019/priscilla-dunn,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5677,Lawrence McAdory,house,56,Democratic,Withdrawn,lawrence-mcadory,https://j.futurefacts.votesmart.io/candidate/5677/lawrence-mcadory,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=5
1998,5665,Tommie Houston,house,57,Democratic,Won,tommie-houston,https://j.futurefacts.votesmart.io/candidate/5665/tommie-houston,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,5667,Earnest Johnson,house,58,Democratic,Withdrawn,earnest-johnson,https://j.futurefacts.votesmart.io/candidate/5667/earnest-johnson,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,16003,Oliver Robinson,house,58,Democratic,Won,oliver-robinson,https://j.futurefacts.votesmart.io/candidate/16003/oliver-robinson,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,16042,William Parker,house,59,Democratic,Won,william-parker,https://j.futurefacts.votesmart.io/candidate/16042/william-parker,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,5711,Lewis Spratt,house,59,Democratic,Withdrawn,lewis-spratt,https://j.futurefacts.votesmart.io/candidate/5711/lewis-spratt,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,5660,John Hilliard,house,60,Democratic,Won,john-hilliard,https://j.futurefacts.votesmart.io/candidate/5660/john-hilliard,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,15981,David Russell,house,60,Democratic,Lost,david-russell,https://j.futurefacts.votesmart.io/candidate/15981/david-russell,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
1998,5674,Allen Layson,house,61,Democratic,Won,allen-layson,https://j.futurefacts.votesmart.io/candidate/5674/allen-layson,https://j.futurefacts.votesmart.io/election/1998/L/AL/1998-state-legislative-election?stageId=G&p=6
