left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,relationship,left_year,left_county_key,left_precinct_key,left_name_norm,left_precinct_code,right_precinct_key,right_name_norm,right_precinct_code
18894,21036,100.0,0,51.93798449612403,1,93.59173126614988,1,9.962645393573695,review,0,unresolved,2012,DALLAS,CARLOWVILLE MINTER VFD,CARLOWVILLE MINTER VOLUNTEER FIRE DEPARTMENT,,CARLOWVILLE MINTER VFD,CARLOWVILLE MINTER VOLUNTEER FIRE DEPARTMENT,
18895,21038,100.0,0,51.91986644407345,1,93.58931552587646,1,40.402260963427565,review,0,unresolved,2012,DALLAS,DALLAS COUNTY COURTHOUSE,DALLAS COUNTY COURTHOUSE,,DALLAS COUNTY COURTHOUSE,DALLAS COUNTY COURTHOUSE,
18887,21040,100.0,0,51.85185185185186,1,93.58024691358025,1,38.84187963422936,review,0,unresolved,2012,DALLAS,GOOD HOPE CHURCH,GOOD HOPE CHURCH,,GOOD HOPE CHURCH,GOOD HOPE CHURCH,
18902,21034,100.0,0,51.742627345844504,1,93.5656836461126,1,16.731099195710456,review,0,unresolved,2012,DALLAS,BROAD STREET FIRE STATION,BROAD STREET FIRE STATION,,BROAD STREET FIRE STATION,BROAD STREET FIRE STATION,
18899,21062,100.0,0,51.735159817351594,1,93.56468797564688,1,16.237899543378987,review,0,unresolved,2012,DALLAS,WOODROW AVE. FIRE STATION,WOODROW AVE FIRE STATION,,WOODROW AVE. FIRE STATION,WOODROW AVE FIRE STATION,
18901,21045,100.0,0,51.65843330980946,1,93.55445777464126,1,93.55445777464126,review,0,unresolved,2012,DALLAS,NEW ST. JOHNS MINISTRIES,NEW SAINT JOHNS MINISTRIES,,NEW ST. JOHNS MINISTRIES,NEW SAINT JOHNS MINISTRIES,
18888,21044,100.0,0,51.61290322580645,1,93.54838709677419,1,40.43085535417634,review,0,unresolved,2012,DALLAS,MT. ZION CHURCH,MOUNT ZION CHURCH,,MT. ZION CHURCH,MOUNT ZION CHURCH,
18905,21035,100.0,0,51.54449054863992,1,93.53926540648533,1,16.18123559243891,review,0,unresolved,2012,DALLAS,CAHABA ROAD FIRE STATION,CAHABA ROAD FIRE STATION,,CAHABA ROAD FIRE STATION,CAHABA ROAD FIRE STATION,
18893,21055,100.0,0,51.532033426183844,1,93.53760445682451,1,12.054571037801367,review,0,unresolved,2012,DALLAS,SHILOH SCHOOL BUILDING,SHILOH SCHOOL BUILDING,,SHILOH SCHOOL BUILDING,SHILOH SCHOOL BUILDING,
18885,21054,100.0,0,51.431844215349365,1,93.52424589537992,1,93.52424589537992,review,0,unresolved,2012,DALLAS,SELMONT WATER WORKS,SELMONT WATER WORKS,,SELMONT WATER WORKS,SELMONT WATER WORKS,
