rollcall_id,session,session_year,bill_type,bill_number,motion_type,count_valid,act_id,act_citation,act_number,title,act_match_count,act_link_status,analytical_eligibility
JRC-A3F6FF5714D07AB4,1998_RegularSession,1998,HB,414.0,budget_isolation_resolution,True,ALACT-AAE237DF5E0B01AA,98-355,355.0,,1,unique_act_match,True
JRC-3B22FA07AE5A9AEC,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-5C903C5DFFE4BC54,1998_RegularSession,1998,HB,414.0,final_passage,False,ALACT-AAE237DF5E0B01AA,98-355,355.0,,1,unique_act_match,False
JRC-58B5E65F7AFB611D,1998_RegularSession,1998,HB,257.0,budget_isolation_resolution,True,ALACT-782A07497BA90C07,98-531,531.0,,1,unique_act_match,True
JRC-E05A9FA3A0591AB6,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-4B928F95BE2CA81E,1998_RegularSession,1998,HB,257.0,final_passage,False,ALACT-782A07497BA90C07,98-531,531.0,,1,unique_act_match,False
JRC-9A93752DCAB0A17C,1998_RegularSession,1998,HB,258.0,budget_isolation_resolution,True,ALACT-9E13C40930E5A189,98-548,548.0,,1,unique_act_match,True
JRC-16DE9B0AD38845DC,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-6F343D1DF90344BF,1998_RegularSession,1998,HB,258.0,final_passage,True,ALACT-9E13C40930E5A189,98-548,548.0,,1,unique_act_match,True
JRC-32D021962823726A,1998_RegularSession,1998,HB,262.0,budget_isolation_resolution,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-3D07949C7174A59B,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-BB0A39D26EB66989,1998_RegularSession,1998,HB,262.0,amendment_or_concurrence,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-43FBCA251A557C2F,1998_RegularSession,1998,HB,262.0,amendment_or_concurrence,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-F182B8F2637CC06A,1998_RegularSession,1998,HB,262.0,amendment_or_concurrence,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-8FAF5C92B785BA18,1998_RegularSession,1998,HB,262.0,amendment_or_concurrence,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-8A69610DC69F68B3,1998_RegularSession,1998,HB,263.0,budget_isolation_resolution,True,ALACT-3A1CAAD308BA0730,98-556,556.0,,1,unique_act_match,True
JRC-9A9B50BE94392E83,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-EC69F810954DF3AB,1998_RegularSession,1998,HB,263.0,final_passage,True,ALACT-3A1CAAD308BA0730,98-556,556.0,,1,unique_act_match,True
JRC-332130F35703352E,1998_RegularSession,1998,HB,262.0,final_passage,True,ALACT-80F7271B3D1A00AA,98-564,564.0,,1,unique_act_match,True
JRC-E301CB8AB2ED5F57,1998_RegularSession,1998,HB,264.0,budget_isolation_resolution,True,ALACT-0FC91ABDA73F2590,98-547,547.0,,1,unique_act_match,True
JRC-ACDEA7E3E4EFAFA2,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-A921D04F4A67B7FC,1998_RegularSession,1998,HB,264.0,final_passage,True,ALACT-0FC91ABDA73F2590,98-547,547.0,,1,unique_act_match,True
JRC-E2E0B81F0CC80472,1998_RegularSession,1998,HB,265.0,budget_isolation_resolution,True,ALACT-8BAD451E475FB062,98-545,545.0,,1,unique_act_match,True
JRC-294339B74F2BD9A8,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-7F453E9378CC4F82,1998_RegularSession,1998,HB,265.0,final_passage,True,ALACT-8BAD451E475FB062,98-545,545.0,,1,unique_act_match,True
JRC-44C7C8F9D5838A4C,1998_RegularSession,1998,HB,266.0,budget_isolation_resolution,True,ALACT-252B48751AFD5DC2,98-543,543.0,,1,unique_act_match,True
JRC-EEA7DA084D498A7F,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-5B2D9DF27899C4F1,1998_RegularSession,1998,HB,266.0,amendment_or_concurrence,True,ALACT-252B48751AFD5DC2,98-543,543.0,,1,unique_act_match,True
JRC-AAE70557593DBD9C,1998_RegularSession,1998,HB,266.0,final_passage,True,ALACT-252B48751AFD5DC2,98-543,543.0,,1,unique_act_match,True
JRC-8C7B34B71CBDFB06,1998_RegularSession,1998,HB,268.0,budget_isolation_resolution,True,ALACT-E21A2D66E8BD041C,98-546,546.0,,1,unique_act_match,True
JRC-2DD8E3DEFB0398D6,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-1A82A2EC07E8BEFC,1998_RegularSession,1998,HB,268.0,final_passage,True,ALACT-E21A2D66E8BD041C,98-546,546.0,,1,unique_act_match,True
JRC-42CD834BBAD9DF26,1998_RegularSession,1998,HB,269.0,budget_isolation_resolution,True,ALACT-35A8BAC472171D7D,98-551,551.0,,1,unique_act_match,True
JRC-61E6FB7D76D43E57,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-CE8130FCBA9BAC04,1998_RegularSession,1998,HB,269.0,final_passage,True,ALACT-35A8BAC472171D7D,98-551,551.0,,1,unique_act_match,True
JRC-B73E83B05B0BBF7A,1998_RegularSession,1998,HB,270.0,budget_isolation_resolution,True,ALACT-1774819E683564C1,98-558,558.0,,1,unique_act_match,True
JRC-E9BF4E3260DF0BC0,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-10C8205D276BEF81,1998_RegularSession,1998,HB,270.0,final_passage,True,ALACT-1774819E683564C1,98-558,558.0,,1,unique_act_match,True
JRC-A55CD444BC67F01B,1998_RegularSession,1998,HB,271.0,budget_isolation_resolution,True,ALACT-7CF70EC9413085CF,98-561,561.0,,1,unique_act_match,True
JRC-AB5D41B3C63FEF70,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
JRC-F9B141CA1D5D4F38,1998_RegularSession,1998,HB,271.0,final_passage,False,ALACT-7CF70EC9413085CF,98-561,561.0,,1,unique_act_match,False
JRC-FEC24C3DCB8ED7B9,1998_RegularSession,1998,HB,272.0,budget_isolation_resolution,True,ALACT-14D33351F85CA355,98-563,563.0,,1,unique_act_match,True
JRC-CCFCFB83E99D008C,1998_RegularSession,1998,,,substitute,True,,,,,0,no_act_match,False
