roll_call_id,yea,nay,not_voting,absent,total,Absent,Nay,Not Voting,Yea,parsed_vote_count,reported_total_matches
345309,21,0,2,12,35,12,0,2,21,35,True
345312,30,0,54,20,104,20,0,54,30,104,True
345313,23,0,54,27,104,27,0,54,23,104,True
345315,31,0,0,4,35,4,0,0,31,35,True
345323,26,3,0,6,35,6,3,0,26,35,True
345325,27,0,1,7,35,7,0,1,27,35,True
345326,27,0,1,7,35,7,0,1,27,35,True
345354,71,0,9,24,104,24,0,9,71,104,True
345378,26,0,0,9,35,9,0,0,26,35,True
345379,26,0,0,9,35,9,0,0,26,35,True
345380,26,0,0,9,35,9,0,0,26,35,True
345402,95,0,0,9,104,9,0,0,95,104,True
345446,21,7,0,7,35,7,7,0,21,35,True
345447,22,6,0,7,35,7,6,0,22,35,True
345448,20,7,0,8,35,8,7,0,20,35,True
345449,19,12,1,3,35,3,12,1,19,35,True
345450,11,15,1,8,35,8,15,1,11,35,True
345451,62,24,4,14,104,14,24,4,62,104,True
345471,100,0,0,4,104,4,0,0,100,104,True
345472,100,0,0,4,104,4,0,0,100,104,True
345473,19,0,62,23,104,23,0,62,19,104,True
345503,32,0,0,3,35,3,0,0,32,35,True
345504,32,0,0,3,35,3,0,0,32,35,True
345528,34,2,44,24,104,24,2,44,34,104,True
345530,65,30,0,9,104,9,30,0,65,104,True
345531,100,0,0,4,104,4,0,0,100,104,True
345548,38,0,50,16,104,16,0,50,38,104,True
345549,26,8,57,13,104,13,8,57,26,104,True
345550,60,31,0,13,104,13,31,0,60,104,True
345551,101,0,0,3,104,3,0,0,101,104,True
345552,101,0,0,3,104,3,0,0,101,104,True
345567,27,0,1,7,35,7,0,1,27,35,True
345568,27,0,1,7,35,7,0,1,27,35,True
345580,24,2,0,9,35,9,2,0,24,35,True
345582,21,0,3,11,35,11,0,3,21,35,True
345597,67,0,27,10,104,10,0,27,67,104,True
345600,80,14,0,10,104,10,14,0,80,104,True
345620,67,29,1,7,104,7,29,1,67,104,True
345621,69,26,0,9,104,9,26,0,69,104,True
345622,69,27,0,8,104,8,27,0,69,104,True
345623,67,30,0,7,104,7,30,0,67,104,True
345624,64,30,0,10,104,10,30,0,64,104,True
345636,94,1,2,7,104,7,1,2,94,104,True
345650,91,5,0,8,104,8,5,0,91,104,True
345651,89,2,0,13,104,13,2,0,89,104,True
345652,94,2,1,7,104,7,2,1,94,104,True
345653,90,9,0,5,104,5,9,0,90,104,True
345656,32,0,51,21,104,21,0,51,32,104,True
345668,30,0,0,5,35,5,0,0,30,35,True
345689,96,0,1,7,104,7,0,1,96,104,True
345690,97,0,1,6,104,6,0,1,97,104,True
345691,101,0,1,2,104,2,0,1,101,104,True
345692,88,8,3,5,104,5,8,3,88,104,True
345695,29,0,52,23,104,23,0,52,29,104,True
345700,62,36,0,6,104,6,36,0,62,104,True
345701,66,33,0,5,104,5,33,0,66,104,True
345702,63,39,0,2,104,2,39,0,63,104,True
345703,98,0,3,3,104,3,0,3,98,104,True
345704,97,0,3,4,104,4,0,3,97,104,True
345706,102,0,0,2,104,2,0,0,102,104,True
345714,19,0,65,20,104,20,0,65,19,104,True
345719,79,1,0,24,104,24,1,0,79,104,True
345720,98,1,0,5,104,5,1,0,98,104,True
345721,97,1,1,5,104,5,1,1,97,104,True
345725,31,0,0,4,35,4,0,0,31,35,True
345728,27,0,0,8,35,8,0,0,27,35,True
345739,26,0,0,9,35,9,0,0,26,35,True
345740,26,0,0,9,35,9,0,0,26,35,True
345744,92,1,2,9,104,9,1,2,92,104,True
345745,94,1,3,6,104,6,1,3,94,104,True
345772,30,0,62,12,104,12,0,62,30,104,True
345785,102,0,0,2,104,2,0,0,102,104,True
345790,98,0,3,3,104,3,0,3,98,104,True
345791,76,0,1,27,104,27,0,1,76,104,True
345793,37,0,53,14,104,14,0,53,37,104,True
345798,27,0,1,7,35,7,0,1,27,35,True
345809,27,0,0,8,35,8,0,0,27,35,True
345810,27,0,0,8,35,8,0,0,27,35,True
345812,98,0,0,6,104,6,0,0,98,104,True
345814,97,0,0,7,104,7,0,0,97,104,True
345818,70,14,0,20,104,20,14,0,70,104,True
345823,24,0,1,10,35,10,0,1,24,35,True
345829,26,0,0,9,35,9,0,0,26,35,True
345831,22,0,0,13,35,13,0,0,22,35,True
345843,96,0,0,8,104,8,0,0,96,104,True
345844,97,0,0,7,104,7,0,0,97,104,True
345845,32,0,0,3,35,3,0,0,32,35,True
345846,32,0,0,3,35,3,0,0,32,35,True
345850,21,0,0,14,35,14,0,0,21,35,True
345851,27,0,0,8,35,8,0,0,27,35,True
345852,88,0,0,16,104,16,0,0,88,104,True
345857,27,2,0,6,35,6,2,0,27,35,True
345858,23,6,0,6,35,6,6,0,23,35,True
345872,27,0,0,8,35,8,0,0,27,35,True
345891,25,2,0,8,35,8,2,0,25,35,True
345892,25,2,0,8,35,8,2,0,25,35,True
345897,26,0,0,9,35,9,0,0,26,35,True
345916,22,0,0,13,35,13,0,0,22,35,True
345919,22,0,0,13,35,13,0,0,22,35,True
345921,26,2,0,7,35,7,2,0,26,35,True
345922,22,0,0,13,35,13,0,0,22,35,True
345928,22,0,0,13,35,13,0,0,22,35,True
345930,96,0,1,7,104,7,0,1,96,104,True
345967,26,2,0,7,35,7,2,0,26,35,True
345968,27,2,0,6,35,6,2,0,27,35,True
345969,28,3,0,4,35,4,3,0,28,35,True
345985,64,29,1,10,104,10,29,1,64,104,True
345991,26,2,0,7,35,7,2,0,26,35,True
346006,20,6,0,9,35,9,6,0,20,35,True
346007,17,9,0,9,35,9,9,0,17,35,True
346008,25,3,0,7,35,7,3,0,25,35,True
346009,19,9,0,7,35,7,9,0,19,35,True
346017,89,0,0,15,104,15,0,0,89,104,True
346018,88,0,0,16,104,16,0,0,88,104,True
346019,89,0,0,15,104,15,0,0,89,104,True
346020,29,0,0,6,35,6,0,0,29,35,True
346023,25,0,1,9,35,9,0,1,25,35,True
346024,25,0,1,9,35,9,0,1,25,35,True
346025,66,0,13,25,104,25,0,13,66,104,True
346028,23,3,0,9,35,9,3,0,23,35,True
346037,25,2,0,8,35,8,2,0,25,35,True
346038,27,1,0,7,35,7,1,0,27,35,True
346039,26,2,0,7,35,7,2,0,26,35,True
346040,25,3,0,7,35,7,3,0,25,35,True
346064,28,1,0,6,35,6,1,0,28,35,True
346088,29,0,0,6,35,6,0,0,29,35,True
346089,29,0,0,6,35,6,0,0,29,35,True
346095,30,0,0,5,35,5,0,0,30,35,True
346096,30,1,0,4,35,4,1,0,30,35,True
346097,30,2,0,3,35,3,2,0,30,35,True
346109,29,0,0,6,35,6,0,0,29,35,True
346110,96,1,2,5,104,5,1,2,96,104,True
346111,23,2,0,10,35,10,2,0,23,35,True
346112,22,0,0,13,35,13,0,0,22,35,True
346120,96,0,0,8,104,8,0,0,96,104,True
346121,93,0,0,11,104,11,0,0,93,104,True
346122,90,0,1,13,104,13,0,1,90,104,True
346126,25,0,0,10,35,10,0,0,25,35,True
346129,15,13,1,6,35,6,13,1,15,35,True
346130,31,0,1,3,35,3,0,1,31,35,True
346131,31,0,1,3,35,3,0,1,31,35,True
346143,23,0,0,12,35,12,0,0,23,35,True
346148,22,0,0,13,35,13,0,0,22,35,True
346149,24,0,0,11,35,11,0,0,24,35,True
346165,23,6,0,6,35,6,6,0,23,35,True
346166,23,7,0,5,35,5,7,0,23,35,True
346167,94,0,0,10,104,10,0,0,94,104,True
346170,26,0,1,8,35,8,0,1,26,35,True
346195,27,3,0,5,35,5,3,0,27,35,True
346196,32,0,0,3,35,3,0,0,32,35,True
346197,92,0,1,11,104,11,0,1,92,104,True
346215,25,0,1,9,35,9,0,1,25,35,True
346216,25,0,0,10,35,10,0,0,25,35,True
346232,85,0,2,17,104,17,0,2,85,104,True
346233,83,1,2,18,104,18,1,2,83,104,True
346234,76,21,0,7,104,7,21,0,76,104,True
346235,27,1,0,7,35,7,1,0,27,35,True
346250,24,2,0,9,35,9,2,0,24,35,True
346303,26,0,1,8,35,8,0,1,26,35,True
346318,29,0,0,6,35,6,0,0,29,35,True
346343,27,1,0,7,35,7,1,0,27,35,True
346345,29,0,0,6,35,6,0,0,29,35,True
346360,94,0,0,10,104,10,0,0,94,104,True
346361,93,0,0,11,104,11,0,0,93,104,True
346362,95,0,0,9,104,9,0,0,95,104,True
346363,47,0,1,56,104,56,0,1,47,104,True
346402,25,2,0,8,35,8,2,0,25,35,True
346403,25,2,0,8,35,8,2,0,25,35,True
346410,94,0,0,10,104,10,0,0,94,104,True
346411,97,0,0,7,104,7,0,0,97,104,True
346412,81,0,1,22,104,22,0,1,81,104,True
346427,20,2,0,13,35,13,2,0,20,35,True
346428,25,2,0,8,35,8,2,0,25,35,True
346429,27,1,0,7,35,7,1,0,27,35,True
346430,25,2,0,8,35,8,2,0,25,35,True
346431,25,2,0,8,35,8,2,0,25,35,True
346553,29,0,0,6,35,6,0,0,29,35,True
346554,29,0,0,6,35,6,0,0,29,35,True
346581,28,0,0,7,35,7,0,0,28,35,True
346582,28,0,0,7,35,7,0,0,28,35,True
346583,27,1,0,7,35,7,1,0,27,35,True
346598,93,0,0,11,104,11,0,0,93,104,True
346790,27,1,0,7,35,7,1,0,27,35,True
349519,97,2,0,5,104,5,2,0,97,104,True
349529,70,7,8,19,104,19,7,8,70,104,True
349530,43,48,1,12,104,12,48,1,43,104,True
349573,99,0,1,4,104,4,0,1,99,104,True
349574,97,0,0,7,104,7,0,0,97,104,True
349575,94,0,1,9,104,9,0,1,94,104,True
349583,100,0,0,4,104,4,0,0,100,104,True
349614,98,0,1,5,104,5,0,1,98,104,True
349633,81,0,8,15,104,15,0,8,81,104,True
349651,20,0,2,13,35,13,0,2,20,35,True
349667,26,0,57,21,104,21,0,57,26,104,True
349672,34,0,46,24,104,24,0,46,34,104,True
349688,102,0,0,2,104,2,0,0,102,104,True
349705,96,0,1,7,104,7,0,1,96,104,True
349739,98,0,0,6,104,6,0,0,98,104,True
349755,25,1,0,9,35,9,1,0,25,35,True
349756,29,0,0,6,35,6,0,0,29,35,True
349771,56,41,0,7,104,7,41,0,56,104,True
349772,100,0,0,4,104,4,0,0,100,104,True
349782,28,0,0,7,35,7,0,0,28,35,True
349786,39,0,50,15,104,15,0,50,39,104,True
349812,26,1,0,8,35,8,1,0,26,35,True
349813,26,1,0,8,35,8,1,0,26,35,True
349814,25,0,0,10,35,10,0,0,25,35,True
349815,27,1,0,7,35,7,1,0,27,35,True
349817,94,0,0,10,104,10,0,0,94,104,True
349818,96,0,1,7,104,7,0,1,96,104,True
349819,25,1,0,9,35,9,1,0,25,35,True
349859,25,1,0,9,35,9,1,0,25,35,True
349898,3,27,0,5,35,5,27,0,3,35,True
349899,29,0,0,6,35,6,0,0,29,35,True
349914,21,3,0,11,35,11,3,0,21,35,True
349955,30,0,0,5,35,5,0,0,30,35,True
349956,30,0,0,5,35,5,0,0,30,35,True
350001,23,9,0,3,35,3,9,0,23,35,True
350002,20,13,0,2,35,2,13,0,20,35,True
350003,18,16,0,1,35,1,16,0,18,35,True
350092,89,3,2,10,104,10,3,2,89,104,True
350093,90,1,4,9,104,9,1,4,90,104,True
350094,24,1,0,10,35,10,1,0,24,35,True
350135,25,1,0,9,35,9,1,0,25,35,True
350150,100,0,0,4,104,4,0,0,100,104,True
350175,76,25,0,3,104,3,25,0,76,104,True
350201,29,0,0,6,35,6,0,0,29,35,True
350237,25,2,0,8,35,8,2,0,25,35,True
350254,27,1,0,7,35,7,1,0,27,35,True
350291,25,1,0,9,35,9,1,0,25,35,True
350298,100,1,0,3,104,3,1,0,100,104,True
350311,101,0,0,3,104,3,0,0,101,104,True
350313,97,0,0,7,104,7,0,0,97,104,True
350315,29,0,0,6,35,6,0,0,29,35,True
350316,97,0,0,7,104,7,0,0,97,104,True
350317,20,0,3,12,35,12,0,3,20,35,True
350318,21,0,3,11,35,11,0,3,21,35,True
350319,95,0,2,7,104,7,0,2,95,104,True
350320,98,0,1,5,104,5,0,1,98,104,True
350333,26,2,0,7,35,7,2,0,26,35,True
350334,29,1,0,5,35,5,1,0,29,35,True
350335,29,1,0,5,35,5,1,0,29,35,True
350339,21,3,0,11,35,11,3,0,21,35,True
350340,25,2,0,8,35,8,2,0,25,35,True
350341,98,0,2,4,104,4,0,2,98,104,True
350342,25,0,0,10,35,10,0,0,25,35,True
350343,25,2,0,8,35,8,2,0,25,35,True
350344,96,0,1,7,104,7,0,1,96,104,True
350346,31,0,57,16,104,16,0,57,31,104,True
350349,97,0,0,7,104,7,0,0,97,104,True
350355,27,1,0,7,35,7,1,0,27,35,True
350366,24,1,0,10,35,10,1,0,24,35,True
350374,10,16,0,9,35,9,16,0,10,35,True
350383,100,0,0,4,104,4,0,0,100,104,True
350395,25,1,0,9,35,9,1,0,25,35,True
350407,25,1,0,9,35,9,1,0,25,35,True
350408,25,1,0,9,35,9,1,0,25,35,True
350409,101,0,1,2,104,2,0,1,101,104,True
350412,99,0,1,4,104,4,0,1,99,104,True
350413,96,0,1,7,104,7,0,1,96,104,True
350417,19,5,0,11,35,11,5,0,19,35,True
350421,96,2,0,6,104,6,2,0,96,104,True
350425,98,0,0,6,104,6,0,0,98,104,True
350441,98,0,1,5,104,5,0,1,98,104,True
350449,95,3,0,6,104,6,3,0,95,104,True
350450,95,0,1,8,104,8,0,1,95,104,True
350451,92,0,3,9,104,9,0,3,92,104,True
350459,98,0,0,6,104,6,0,0,98,104,True
350483,28,0,0,7,35,7,0,0,28,35,True
350496,99,0,0,5,104,5,0,0,99,104,True
350544,24,10,0,1,35,1,10,0,24,35,True
350545,10,23,1,1,35,1,23,1,10,35,True
350546,24,10,0,1,35,1,10,0,24,35,True
350598,24,7,0,4,35,4,7,0,24,35,True
350630,26,0,64,14,104,14,0,64,26,104,True
350710,92,1,0,11,104,11,1,0,92,104,True
350718,31,0,54,19,104,19,0,54,31,104,True
350732,28,0,63,13,104,13,0,63,28,104,True
350738,26,0,68,10,104,10,0,68,26,104,True
350746,95,0,1,8,104,8,0,1,95,104,True
350756,26,0,63,15,104,15,0,63,26,104,True
350794,99,0,1,4,104,4,0,1,99,104,True
350815,26,0,67,11,104,11,0,67,26,104,True
350841,26,0,63,15,104,15,0,63,26,104,True
