session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors
2006_RegularSession,2006,2006RegularSession_Day21,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day21.pdf,1df33daeac8352604ad39fba17635db0a6c8c6a9117b8169f5a33c2d83573573,62,136132,22
2006_RegularSession,2006,2006RegularSession_Day22,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day22.pdf,14396d3b7dca9d09f43da0008ec6a5a307839d28910ca1db56edc80efc1436ca,120,240654,30
2006_RegularSession,2006,2006RegularSession_Day23,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day23.pdf,ad19c85b5d4c1e55311abb2db8531c1dbacd3a7c63a032d54746851cc75b13c0,72,136947,37
2006_RegularSession,2006,2006RegularSession_Day24,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume3_2006RegularSession\2006RegularSession_Day24.pdf,fa63b6471b8bfae5acfcb2bbb64691e1528ea527991879ac2c09c24d8b31553e,176,387627,78
2006_RegularSession,2006,2006RegularSession_Day25,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume4_2006RegularSession\2006RegularSession_Day25.pdf,6f5a9a08774aa4a1b440759054aeb2bcaf4d4a8fa7435009f7e0ed461f6c9b39,586,1498105,72
2006_RegularSession,2006,2006RegularSession_Day26,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume4_2006RegularSession\2006RegularSession_Day26.pdf,1413c2215b0f5fab4e9a81797302d4cb7262cbab91af70e757484f8ac42cb245,222,435310,50
2006_RegularSession,2006,2006RegularSession_Day27,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume4_2006RegularSession\2006RegularSession_Day27.pdf,5767f4c5b6fe60f15fba50a61e2d32e6e9f22f31176565da65a14b305d9bf43d,406,946763,150
2006_RegularSession,2006,2006RegularSession_Day28,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume5_2006RegularSession\2006RegularSession_Day28.pdf,2aed988a71194b14ab4373144ff2661266539740bd83197aa3e10ee805024494,96,180897,31
2006_RegularSession,2006,2006RegularSession_Day29,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume5_2006RegularSession\2006RegularSession_Day29.pdf,4112ecf50b536ba1fc731b6ad9b56fc592cae8beb8c442a07a2dc6732b42b307,206,456770,52
2006_RegularSession,2006,2006RegularSession_Day30,data\raw\alabama_legislature\house_journals\2006_RegularSession\Volume5_2006RegularSession\2006RegularSession_Day30.pdf,2ae5ccfc1dc95dc39337e15957c4cd32d3dfdc69b1540de012bf627d46b9b50d,28,65561,12
2007_1stExtraordinarySession,2007,20071stExtraordinarySession_Day1,data\raw\alabama_legislature\house_journals\2007_1stExtraordinarySession\20071stExtraordinarySession_Day1.pdf,ee54c3317c4268c074895e7349fe546ab7c53ee9b0bcd8d6ce53d0f4587abd48,7,14443,0
2007_1stExtraordinarySession,2007,20071stExtraordinarySession_Day2,data\raw\alabama_legislature\house_journals\2007_1stExtraordinarySession\20071stExtraordinarySession_Day2.pdf,864ca00d71ff453e811bf483df38adde1d7c57522de824a876b61dc5c8fafe45,9,17478,0
2007_1stExtraordinarySession,2007,20071stExtraordinarySession_Day3,data\raw\alabama_legislature\house_journals\2007_1stExtraordinarySession\20071stExtraordinarySession_Day3.pdf,65b6a5957330379f031dc9c9e2ccd6d8aab589b1faabbc829e298fa662f0ede3,28,55661,8
2007_1stExtraordinarySession,2007,20071stExtraordinarySession_Day4,data\raw\alabama_legislature\house_journals\2007_1stExtraordinarySession\20071stExtraordinarySession_Day4.pdf,a95495ac0fb02ed0e149da683345122b1be81b95f1d57b90642b1c5597d72284,14,28473,0
2007_1stExtraordinarySession,2007,20071stExtraordinarySession_Day5,data\raw\alabama_legislature\house_journals\2007_1stExtraordinarySession\20071stExtraordinarySession_Day5.pdf,034d8d3aeeae8fb0fcae4a887b240a0e15c531b6ebe72ed14ff8e7046433953c,22,44854,5
2007_OrganizationalSession,2007,2007OrganizationalSession_Day1,data\raw\alabama_legislature\house_journals\2007_OrganizationalSession\2007OrganizationalSession_Day1.pdf,a12b5ffd8441b0ede832e025fba1e3a8c4662f6df0a72072020109e13077c480,36,80193,0
2007_OrganizationalSession,2007,2007OrganizationalSession_Day2,data\raw\alabama_legislature\house_journals\2007_OrganizationalSession\2007OrganizationalSession_Day2.pdf,b86779b08173379efdda5a3538198216ad79dd6d2727e316bdc63243c5b1bfda,24,40258,0
2007_OrganizationalSession,2007,2007OrganizationalSession_Day3,data\raw\alabama_legislature\house_journals\2007_OrganizationalSession\2007OrganizationalSession_Day3.pdf,49df0c470d3afa3425f4fb72312580f96888656569fc162e8e250faeb725665c,18,36368,0
2007_RegularSession,2007,2007RegularSession_Day1,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day1.pdf,51679ce1687760485be992976bb5a557abb645a7c04592a0a5fc16686b525c0d,74,166958,4
2007_RegularSession,2007,2007RegularSession_Day10,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day10.pdf,010ddae36e80ec6efb5580e6e0fcb94d03d06ee08ae6370c2d441c0e03ddb591,82,184777,52
2007_RegularSession,2007,2007RegularSession_Day2,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day2.pdf,99a3f8431fdf546276764fcc8e71d80cfa952ceaf2b58238fb38b1b79fe1b21f,62,141817,0
2007_RegularSession,2007,2007RegularSession_Day3,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day3.pdf,00032dd2051ecf2bcd279e400399df178c84bfac0b69a24b0d4b932460b8c2c2,66,128404,14
2007_RegularSession,2007,2007RegularSession_Day4,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day4.pdf,08913e81304e95895b5f73cf822dbdd0f87c1fbbe408dcadd6a6e4212365e9ae,60,135652,11
2007_RegularSession,2007,2007RegularSession_Day5,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day5.pdf,221186c073a326bf3c293d41e7bc743ae6697507d2476829ea9d77b42e32bf56,71,133943,34
2007_RegularSession,2007,2007RegularSession_Day6,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day6.pdf,ada3b230ad11ff917ebcc73f13e655fff0b124c3f38c781149ce4ad7b5719ec2,74,162050,33
2007_RegularSession,2007,2007RegularSession_Day7,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day7.pdf,dd5e2917f6bb945746facb1a14998f492b7c6c04026eed8f6d2ff4ef107daf97,76,190245,30
2007_RegularSession,2007,2007RegularSession_Day8,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day8.pdf,4880e9d0077a118e77865cb7953945c39c17c765c09605b972332a5760e00253,82,186394,23
2007_RegularSession,2007,2007RegularSession_Day9,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume1_2007RegularSession\2007RegularSession_Day9.pdf,cda7cc3c81f2d09bf1be7cc4f76f6a6554fcf3af4db759534f38b36031efa52d,103,230471,36
2007_RegularSession,2007,2007RegularSession_Day11,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day11.pdf,2af1a5a82cce415482d3cebe819284925c420462664d1b4dfa3d5f9892ee13b9,68,147129,37
2007_RegularSession,2007,2007RegularSession_Day12,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day12.pdf,bf6befe3d25145e064a5475be321f6bd6da8fd5d84d5121514fe5080e3d73a3c,60,132077,30
2007_RegularSession,2007,2007RegularSession_Day13,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day13.pdf,9f17a3eb0dc63c46734be15cb7994d085cfbaaa0ca06ed58864c2690fdfef803,68,150120,49
2007_RegularSession,2007,2007RegularSession_Day14,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day14.pdf,7266daba916b74dd5cff08560175ba94d2a29cc79de8cd093fef2b61a7edc1dd,90,202216,37
2007_RegularSession,2007,2007RegularSession_Day15,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day15.pdf,6d8935309b588433c2b34b69688a4fc9a209e6d40bae80dcb1ce247bf0048853,82,194630,36
2007_RegularSession,2007,2007RegularSession_Day16,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day16.pdf,ed1c38b1a102602a3a12150584d0bf1f8d3e6f9e9dbc22fb580b8ebe4c20af9e,106,241834,60
2007_RegularSession,2007,2007RegularSession_Day17,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day17.pdf,1381c794a14bbef99c7bc76dde5d5bc33ffb3ccae44db0b5a2cd16f1da870ab9,72,161967,39
2007_RegularSession,2007,2007RegularSession_Day18,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day18.pdf,beb14547a86e843f8897933d138c189c7358cf0ab69b1d7106ffe938a8296628,142,300190,52
2007_RegularSession,2007,2007RegularSession_Day19,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day19.pdf,dfd87cf1b5cc14659fb71b4d1f4f94472ac3905cdb5639e0785491990fa53e04,98,209884,65
2007_RegularSession,2007,2007RegularSession_Day20,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume2_2007RegularSession\2007RegularSession_Day20.pdf,a0fc6ad5cb3f41f73e7417bb7e946edfc54f7d6e9bf8486a4b837a6470e1feb4,168,345155,32
2007_RegularSession,2007,2007RegularSession_Day21,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day21.pdf,dd8ce56d0199b8247b874d55f61d3ea8a0f6ab635245f5d197cadb5a632694a1,74,175668,30
2007_RegularSession,2007,2007RegularSession_Day22,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day22.pdf,a5b9eeeac552d5e6336c3c04bbf5926ca5dbe6328c6d8bd9a0fdfe8745de023b,1,138,0
2007_RegularSession,2007,2007RegularSession_Day23,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day23.pdf,dacc48d18c0767f63f616bcbf60368108ae4a89af33f947086c26678a4991df8,1,148,0
2007_RegularSession,2007,2007RegularSession_Day24,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day24.pdf,2ef28ecd808ca5dccb281d42c588176f4574fec9c7c93934e123038c84cdcce0,160,357541,95
2007_RegularSession,2007,2007RegularSession_Day25,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day25.pdf,1a3cebaf830f82ba027178a842cfbc38f70eeb0fe8f653c692996f2e8dd9d501,60,143056,16
2007_RegularSession,2007,2007RegularSession_Day26,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day26.pdf,c7e725b54fee1f38dcc9abb30f52e57a59204fb8d9849b285b673120ad0cc797,112,240801,85
2007_RegularSession,2007,2007RegularSession_Day27,data\raw\alabama_legislature\house_journals\2007_RegularSession\Volume3_2007RegularSession\2007RegularSession_Day27.pdf,0f6b0b4c899a74e67bd8bc5cd674b0fd6c03dcc95078b4851af27be26d9b9d6a,210,483143,58
