rollcall_id,original_bill_type,original_bill_number,bill_type,bill_number,measure_identity_status,context_synopsis,recovered_synopsis,recovery_status,source_page_window,best_synopsis,synopsis_source
JRC-3EA4F3ECED30DF25,HB,762.0,HB,762.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-1B7F318AF326FD97,HB,766.0,HB,766.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-81677B3E49483D15,HB,767.0,HB,767.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-02EF567902DA9B58,HB,770.0,HB,770.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-785D340502D03497,HB,771.0,HB,771.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-327857894D90F119,HB,772.0,HB,772.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-D69AC7933AB5DD9F,HB,773.0,HB,773.0,formal_journal_marker_confirmed,"Relating to Baldwin County; to amend Section 5 of Act 2003-425 of the 2003 Second Special Session (Acts 2003, p. 1223), to provide further for the distribution of revenues from an existing tax on certain tobacco and tobacco products.",,,,"Relating to Baldwin County; to amend Section 5 of Act 2003-425 of the 2003 Second Special Session (Acts 2003, p. 1223), to provide further for the distribution of revenues from an existing tax on certain tobacco and tobacco products.",context_window
JRC-19B2DC7C173C6560,HB,776.0,HB,776.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-B90DBBAC49C094DA,HB,780.0,HB,780.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-0EC088CEE22763AA,HB,785.0,HB,785.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-8451F993092B3899,HB,787.0,HB,787.0,formal_journal_marker_confirmed,Relating to Baldwin County; to alter and rearrange the boundary lines and corporate limits of the City of Daphne and the City of Spanish Fort in Baldwin County to remove certain property from the corporate limits of the City of Daphne and add the property to the Town of Spanish Fort.,,,,Relating to Baldwin County; to alter and rearrange the boundary lines and corporate limits of the City of Daphne and the City of Spanish Fort in Baldwin County to remove certain property from the corporate limits of the City of Daphne and add the property to the Town of Spanish Fort.,context_window
JRC-34A2F37BCD0098AB,HB,788.0,HB,788.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-FD0350E1C082BAD2,HB,789.0,HB,789.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-1128A78A9C39A215,HB,790.0,HB,790.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-4C0026576663B2E4,HB,794.0,HB,794.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-795A31D886F2DBF4,HB,795.0,HB,795.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-E676DD179A4A3895,HB,796.0,HB,796.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-6CEBE4A73871D265,HB,797.0,HB,797.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-4053D0B220BF29F7,HB,798.0,HB,798.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-963BB65A90542235,HB,802.0,HB,802.0,formal_journal_marker_confirmed,"To amend Section 29-5-2 of the Code of Alabama 1975, relating to the Joint Fiscal Committee; to further provide for the composition and chairmanship of the committee; to expressly include the authority currently authorized by Act 91-606 for the Joint Fiscal Committee of the Legislature to employ legal counsel to defend against, intervene in, or initiate legal proceedings in legal matters affecting legislative appropriations or the legislative budget process or related fiscal matters; to specifically include authority for employment of legal counsel or other experts by the committee for any matters related to fiscal and budget matters; to expressly authorize the committee to seek the assistance of the Attorney General; to establish a limit on the total payments for all contracts entered into by the committee pursuant to this act which could not be exceeded unless approved by joint resolution of the Legislature; and to repeal Act 91-606.",,,,"To amend Section 29-5-2 of the Code of Alabama 1975, relating to the Joint Fiscal Committee; to further provide for the composition and chairmanship of the committee; to expressly include the authority currently authorized by Act 91-606 for the Joint Fiscal Committee of the Legislature to employ legal counsel to defend against, intervene in, or initiate legal proceedings in legal matters affecting legislative appropriations or the legislative budget process or related fiscal matters; to specifically include authority for employment of legal counsel or other experts by the committee for any matters related to fiscal and budget matters; to expressly authorize the committee to seek the assistance of the Attorney General; to establish a limit on the total payments for all contracts entered into by the committee pursuant to this act which could not be exceeded unless approved by joint resolution of the Legislature; and to repeal Act 91-606.",context_window
JRC-2F8036DBA0F770A1,HB,804.0,HB,804.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-90B34CD231250853,HB,806.0,HB,806.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-0E314690F20CCF26,HB,807.0,HB,807.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-D7C2860ACD1B85B0,HB,810.0,HB,810.0,formal_journal_marker_confirmed,Relating to Etowah County; to levy a lodgings surcharge in the county; provide for the collection of the surcharge; provide for distribution of the proceeds from the surcharge; and provide further for the responsibilities of the Etowah County Civic Center Authority.,,,,Relating to Etowah County; to levy a lodgings surcharge in the county; provide for the collection of the surcharge; provide for distribution of the proceeds from the surcharge; and provide further for the responsibilities of the Etowah County Civic Center Authority.,context_window
JRC-1A6349949AD571CD,HB,811.0,HB,811.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-0576CCD9670CE5FE,HB,812.0,HB,812.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-0089E1C5CC525160,HB,813.0,HB,813.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-9E3F3639EDFD8CCE,HJR,23.0,HJR,23.0,parser_measure_retained_no_formal_marker,was lost.,,,,was lost.,context_window
JRC-AA3BCC86A027FAF2,HJR,82.0,HB,3.0,formal_journal_marker_corrected,"To make an appropriation of $59,006,514 from the Children First Trust Fund for the fiscal year ending September 30, 2006, for certain purposes designated in Section 41-15B-2.2(b), Code of Alabama 1975; to provide for the deposit of tobacco settlement revenues into the Children First Trust Fund; to require written notification of anticipated agency allocations by the State Director of Finance; to require quarterly allocations; to condition allocations on receipt of tobacco revenues; to make an appropriation of $49,629,882 from other tobacco settlement funds for the fiscal year ending September 30, 2006; and to make a conditional appropriation and allocation of additional tobacco revenues upon the recommendation of the Director of Finance, the Chairman of the House Government Finance and Appropriations Committee and the Chairman of the Senate Finance and Taxation-General Fund Committee, and the approval of the Governor. JACK VENABLE Chair",,,,"To make an appropriation of $59,006,514 from the Children First Trust Fund for the fiscal year ending September 30, 2006, for certain purposes designated in Section 41-15B-2.2(b), Code of Alabama 1975; to provide for the deposit of tobacco settlement revenues into the Children First Trust Fund; to require written notification of anticipated agency allocations by the State Director of Finance; to require quarterly allocations; to condition allocations on receipt of tobacco revenues; to make an appropriation of $49,629,882 from other tobacco settlement funds for the fiscal year ending September 30, 2006; and to make a conditional appropriation and allocation of additional tobacco revenues upon the recommendation of the Director of Finance, the Chairman of the House Government Finance and Appropriations Committee and the Chairman of the Senate Finance and Taxation-General Fund Committee, and the approval of the Governor. JACK VENABLE Chair",context_window
JRC-E1C8E9F15A551C75,HJR,98.0,HJR,98.0,parser_measure_retained_no_formal_marker,"EXPRESSING SUPPORT FOR THE COMMISSIONER OF THE DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES FOR CONSIDERATION OF THE LEASE AGREEMENT WITH AUBURN UNIVERSITY FOR PROPERTY OWNED BY THE DEPARTMENT IN GULF SHORES, ALABAMA, AND URGING EXPEDIENT RENOVATION OF OTHER STATE FACILITIES. WHEREAS, the Department of Conservation and Natural Resources is considering a lease agreement with Auburn University for the development of state property located in Gulf Shores, Alabama; and WHEREAS, a lease agreement would allow the university to work with a hotel management company and developer to develop a convention site; now therefore, BE IT RESOLVED BY THE LEGISLATURE OF ALABAMA, BOTH HOUSES THEREOF CONCURRING, That by a copy of this resolution so provided, we express our support for the Commissioner of the Department of Conservation and Natural Resources as he proceeds with the planned concept as approved by the Joint Legislative Committee on State Parks. BE IT FURTHER RESOLVED, That we urge the department to expediently renovate other state owned facilities. On motion of Representative Clark, the resolution, HJR98, was adopted.",,,,"EXPRESSING SUPPORT FOR THE COMMISSIONER OF THE DEPARTMENT OF CONSERVATION AND NATURAL RESOURCES FOR CONSIDERATION OF THE LEASE AGREEMENT WITH AUBURN UNIVERSITY FOR PROPERTY OWNED BY THE DEPARTMENT IN GULF SHORES, ALABAMA, AND URGING EXPEDIENT RENOVATION OF OTHER STATE FACILITIES. WHEREAS, the Department of Conservation and Natural Resources is considering a lease agreement with Auburn University for the development of state property located in Gulf Shores, Alabama; and WHEREAS, a lease agreement would allow the university to work with a hotel management company and developer to develop a convention site; now therefore, BE IT RESOLVED BY THE LEGISLATURE OF ALABAMA, BOTH HOUSES THEREOF CONCURRING, That by a copy of this resolution so provided, we express our support for the Commissioner of the Department of Conservation and Natural Resources as he proceeds with the planned concept as approved by the Joint Legislative Committee on State Parks. BE IT FURTHER RESOLVED, That we urge the department to expediently renovate other state owned facilities. On motion of Representative Clark, the resolution, HJR98, was adopted.",context_window
JRC-987D0AF5989FB844,HJR,262.0,HJR,262.0,parser_measure_retained_no_formal_marker,"was lost, lacking a four-fifths vote.",,,,"was lost, lacking a four-fifths vote.",context_window
JRC-14DB6032DC0D1B4E,HJR,583.0,HJR,583.0,parser_measure_retained_no_formal_marker,"ADOPTING THE REPORT OF THE JUDICIAL COMPENSATION COMMISSION TO THE 2005 REGULAR SESSION OF THE LEGISLATURE OF ALABAMA. WHEREAS, the report of the Judicial Compensation Commission has been duly filed with the Legislature within the first five days of this, the 2005 Regular Session of the Legislature of Alabama; now therefore, BE IT RESOLVED BY THE LEGISLATURE OF ALABAMA, BOTH HOUSES THEREOF CONCURRING, That the report of the Judicial Compensation Commission, made to the 2005 Regular Session of the Legislature of Alabama, is adopted and confirmed in accordance with Amendments 328 and 426 of the Constitution of the State of Alabama of 1901. The report stated in part, ""It is, therefore, recommended to the Legislature to reinstate the provision of the Investment of Justice Act as it applied to circuit and district court judges only which were removed by Act No. 2004-636 in an effort to alleviate the gross disparity in pay among the judges of the state. It is further recommended that the salaries of the circuit and district judges to be paid from the state treasury be fixed to include an increase above the base salary to reflect 1.25 percent for every year they have served as judge to a maximum of 25 percent."" On motion of Representative Clark, the resolution, HJR583, was adopted.",,,,"ADOPTING THE REPORT OF THE JUDICIAL COMPENSATION COMMISSION TO THE 2005 REGULAR SESSION OF THE LEGISLATURE OF ALABAMA. WHEREAS, the report of the Judicial Compensation Commission has been duly filed with the Legislature within the first five days of this, the 2005 Regular Session of the Legislature of Alabama; now therefore, BE IT RESOLVED BY THE LEGISLATURE OF ALABAMA, BOTH HOUSES THEREOF CONCURRING, That the report of the Judicial Compensation Commission, made to the 2005 Regular Session of the Legislature of Alabama, is adopted and confirmed in accordance with Amendments 328 and 426 of the Constitution of the State of Alabama of 1901. The report stated in part, ""It is, therefore, recommended to the Legislature to reinstate the provision of the Investment of Justice Act as it applied to circuit and district court judges only which were removed by Act No. 2004-636 in an effort to alleviate the gross disparity in pay among the judges of the state. It is further recommended that the salaries of the circuit and district judges to be paid from the state treasury be fixed to include an increase above the base salary to reflect 1.25 percent for every year they have served as judge to a maximum of 25 percent."" On motion of Representative Clark, the resolution, HJR583, was adopted.",context_window
JRC-24C34E30CC31F959,HJR,683.0,HJR,683.0,parser_measure_retained_no_formal_marker,,"2434 JOURNAL OF THE HOUSE, 2005 28th Day Delivered to the Governor at 6:25 p.m. on May 3, 2005. Delivered to the Governor at 6:58 p.m. on May 3, 2005. Delivered to the Secretary of State at 7:01 p.m. on May 3, 2005. Delivered to the Governor at 7:29 p.m. on May 3, 2005. GREG PAPPAS Clerk ADJOURNMENT On motion of Representative Buskey, the House adjourned until 10:00 o'clock a.m., Thursday, May 5, 2005.",recovered_exact_pdf_window,93-108,"2434 JOURNAL OF THE HOUSE, 2005 28th Day Delivered to the Governor at 6:25 p.m. on May 3, 2005. Delivered to the Governor at 6:58 p.m. on May 3, 2005. Delivered to the Secretary of State at 7:01 p.m. on May 3, 2005. Delivered to the Governor at 7:29 p.m. on May 3, 2005. GREG PAPPAS Clerk ADJOURNMENT On motion of Representative Buskey, the House adjourned until 10:00 o'clock a.m., Thursday, May 5, 2005.",exact_pdf_page_window
JRC-8E7F01CA7B5051B3,HR,153.0,HR,153.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,2-20,,unavailable
JRC-ED947CE550F2400A,HR,171.0,HR,171.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,1-19,,unavailable
JRC-4B70CCDB177F9298,HR,226.0,HR,226.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,40-58,,unavailable
JRC-422F83A27BC3244B,HR,261.0,HR,261.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,8-26,,unavailable
JRC-F805627484371C06,HR,297.0,HR,297.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,1-16,,unavailable
JRC-753B33581AD32022,HR,636.0,HR,636.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,34-52,,unavailable
JRC-952A67825D48FA30,HR,727.0,HR,727.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,66-84,,unavailable
JRC-D9080B7BA052C867,HR,794.0,HR,794.0,parser_measure_retained_no_formal_marker,,,exact_target_synopsis_not_found,17-35,,unavailable
JRC-89A5BD40777E632D,SB,1.0,SB,1.0,formal_journal_marker_confirmed,"as amended, and the pending",,,,"as amended, and the pending",context_window
JRC-BCFD1346CB514193,SB,2.0,SB,2.0,formal_journal_marker_confirmed,was lost.,,,,was lost.,context_window
JRC-45ADC41933966F0E,SB,6.0,SB,6.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-FD8824ED814E8B57,SB,7.0,SB,7.0,formal_journal_marker_confirmed,"To amend Sections 11-50-396 and 11-50-397, Code of Alabama 1975, pertaining to gas districts, to provide that gas districts may own and operate liquefied petroleum gas systems and may distribute and sell liquefied petroleum gas within and without the state and to provide further that gas districts may not exercise the power of eminent domain in order to acquire any properties which are to be used in the distribution of liquefied petroleum gas.",,,,"To amend Sections 11-50-396 and 11-50-397, Code of Alabama 1975, pertaining to gas districts, to provide that gas districts may own and operate liquefied petroleum gas systems and may distribute and sell liquefied petroleum gas within and without the state and to provide further that gas districts may not exercise the power of eminent domain in order to acquire any properties which are to be used in the distribution of liquefied petroleum gas.",context_window
JRC-C2032CCFAA5072FF,SB,9.0,SB,9.0,formal_journal_marker_confirmed,"To amend Sections 36-6-1 and 36-26-35, Code of Alabama 1975, relating to payment of salaries and annual leave of state employees; to provide that state employees shall be paid and shall accrue leave semi-monthly rather than biweekly; to provide for a six percent cost-of-living salary increase for certain state employees in the fiscal year beginning October 1, 2005; and to provide a cost-of-living increase to certain retirees and beneficiaries under the Employees' Retirement System.",,,,"To amend Sections 36-6-1 and 36-26-35, Code of Alabama 1975, relating to payment of salaries and annual leave of state employees; to provide that state employees shall be paid and shall accrue leave semi-monthly rather than biweekly; to provide for a six percent cost-of-living salary increase for certain state employees in the fiscal year beginning October 1, 2005; and to provide a cost-of-living increase to certain retirees and beneficiaries under the Employees' Retirement System.",context_window
JRC-399E52A81F954E0E,SB,10.0,SB,10.0,formal_journal_marker_confirmed,"as amended: On page 2, line 11 delete ""633,350"" and insert ""733,350"" On page 3, line 17 delete ""3,650,000"" and insert ""3,550,000""",,,,"as amended: On page 2, line 11 delete ""633,350"" and insert ""733,350"" On page 3, line 17 delete ""3,650,000"" and insert ""3,550,000""",context_window
JRC-9254DC453A1B5A59,SB,11.0,SB,11.0,formal_journal_marker_confirmed,"Relating to the City of Northport in Tuscaloosa County; to amend Section 2 of Act 1225, 1969 Regular Session (Acts 1969, p. 2297), establishing a civil service system for the city, to provide for positions involving unskilled or semi-skilled work to be included in the classified service by deleting the positions from the exempt service.",,,,"Relating to the City of Northport in Tuscaloosa County; to amend Section 2 of Act 1225, 1969 Regular Session (Acts 1969, p. 2297), establishing a civil service system for the city, to provide for positions involving unskilled or semi-skilled work to be included in the classified service by deleting the positions from the exempt service.",context_window
JRC-2A33563B0524F87C,SB,12.0,SB,12.0,formal_journal_marker_confirmed,"Proposing an amendment to the Constitution of Alabama of 1901 to provide for a statewide minimum levy and collection, commencing with the tax year beginning October 1, 2006, and without limit as to time, of 10.0 mills of ad valorem property tax in each school district in the State, by authorizing and directing the County Commission or other local governing body of each county in the State to levy and collect in respect of property in each school district in the County an additional ad valorem tax at such rate as may be required to result in the levy therein of at least 10 mills of ad valorem tax, without restriction as to use other than for general public school purposes, and to provide for an election to be held on the proposed amendment.",,,,"Proposing an amendment to the Constitution of Alabama of 1901 to provide for a statewide minimum levy and collection, commencing with the tax year beginning October 1, 2006, and without limit as to time, of 10.0 mills of ad valorem property tax in each school district in the State, by authorizing and directing the County Commission or other local governing body of each county in the State to levy and collect in respect of property in each school district in the County an additional ad valorem tax at such rate as may be required to result in the levy therein of at least 10 mills of ad valorem tax, without restriction as to use other than for general public school purposes, and to provide for an election to be held on the proposed amendment.",context_window
JRC-7FB92F88267D930D,SB,13.0,SB,13.0,formal_journal_marker_confirmed,"To make an appropriation of $503,583 from the State General Fund to the Coalition Against Domestic Violence for the fiscal year ending September 30, 2006, to require an operations plan and an audited financial statement prior to the release of any funds, and to require quarterly and end of year performance reports.",,,,"To make an appropriation of $503,583 from the State General Fund to the Coalition Against Domestic Violence for the fiscal year ending September 30, 2006, to require an operations plan and an audited financial statement prior to the release of any funds, and to require quarterly and end of year performance reports.",context_window
JRC-7BC5F25FC589DB05,SB,17.0,SB,17.0,formal_journal_marker_confirmed,"To amend Sections 34-27-35, 34-27-36, 34-27-37, and 34-27-84, Code of Alabama 1975, relating to the Alabama Real Estate Commission and its licensees, to provide further for the fees, fines, and location of hearings of the commission and to provide that when accepting a listing agreement, a licensee shall, at a minimum, accept and present to the consumer, offers, counteroffers, and addenda and shall answer any questions of the consumer.",,,,"To amend Sections 34-27-35, 34-27-36, 34-27-37, and 34-27-84, Code of Alabama 1975, relating to the Alabama Real Estate Commission and its licensees, to provide further for the fees, fines, and location of hearings of the commission and to provide that when accepting a listing agreement, a licensee shall, at a minimum, accept and present to the consumer, offers, counteroffers, and addenda and shall answer any questions of the consumer.",context_window
JRC-43CC39E4E0AACFDF,SB,18.0,SB,18.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-3B356EF0EA12FD36,SB,21.0,SB,21.0,formal_journal_marker_confirmed,"To make an appropriation of $840,600 from the State General Fund to the Children's Advocacy Programs in Alabama for the support and operations of the Children's Advocacy Centers and the Alabama Network of Children's Advocacy Center, Inc. for the fiscal year ending September 30, 2006, to provide that the appropriation is subject to certain provisions of the Code of Alabama 1975, to require an operations plan and an audited financial statement prior to the release of any funds, and to requires quarterly and end of year performance reports.",,,,"To make an appropriation of $840,600 from the State General Fund to the Children's Advocacy Programs in Alabama for the support and operations of the Children's Advocacy Centers and the Alabama Network of Children's Advocacy Center, Inc. for the fiscal year ending September 30, 2006, to provide that the appropriation is subject to certain provisions of the Code of Alabama 1975, to require an operations plan and an audited financial statement prior to the release of any funds, and to requires quarterly and end of year performance reports.",context_window
JRC-1D3B82A7FB6D89D9,SB,22.0,SB,22.0,formal_journal_marker_confirmed,"To provide for transfer to the State General Fund during fiscal year 2006 of certain anticipated unexpended tobacco revenues; to provide for transfer from the State General Fund, or from any other fund the Finance Director may determine, of the amount necessary to provide a beginning year balance in the Children First Trust Fund each fiscal year after fiscal year 2006 that is equal to one-half of the appropriations from the Children First Trust Fund for that fiscal year and to provide that any funds transferred would be repaid from the Children First Trust Fund upon receipt of that fund's allocation from tobacco revenues for that fiscal year; and to provide that the Legislature may appropriate or allocate that portion of Children First Trust Fund receipts currently allocated for the State Board of Education to any other entity or fund for which Children First Trust Fund receipts may be appropriated.",,,,"To provide for transfer to the State General Fund during fiscal year 2006 of certain anticipated unexpended tobacco revenues; to provide for transfer from the State General Fund, or from any other fund the Finance Director may determine, of the amount necessary to provide a beginning year balance in the Children First Trust Fund each fiscal year after fiscal year 2006 that is equal to one-half of the appropriations from the Children First Trust Fund for that fiscal year and to provide that any funds transferred would be repaid from the Children First Trust Fund upon receipt of that fund's allocation from tobacco revenues for that fiscal year; and to provide that the Legislature may appropriate or allocate that portion of Children First Trust Fund receipts currently allocated for the State Board of Education to any other entity or fund for which Children First Trust Fund receipts may be appropriated.",context_window
JRC-40FEDC64F7FB9871,SB,23.0,SB,23.0,formal_journal_marker_confirmed,Relating to the regulation of the sale of alcoholic beverages in Lowndes County; to provide for the off-premises Sunday sale of alcoholic beverages and to authorize the county commission and governing body of any municipality located within the county to regulate the off-premises sale of alcoholic beverages on Sunday by properly licensed retailers selling to the general public in the county and municipalities.,,,,Relating to the regulation of the sale of alcoholic beverages in Lowndes County; to provide for the off-premises Sunday sale of alcoholic beverages and to authorize the county commission and governing body of any municipality located within the county to regulate the off-premises sale of alcoholic beverages on Sunday by properly licensed retailers selling to the general public in the county and municipalities.,context_window
JRC-4C4AB1BE838D94CE,SB,33.0,SB,33.0,formal_journal_marker_confirmed,"To amend Section 32-6-67 of the Code of Alabama 1975, relating to distinctive license plates; to allow the legislative oversight committee to approve applications for distinctive license plates for private K-12 schools.",,,,"To amend Section 32-6-67 of the Code of Alabama 1975, relating to distinctive license plates; to allow the legislative oversight committee to approve applications for distinctive license plates for private K-12 schools.",context_window
JRC-26323B13816B68F4,SB,36.0,SB,36.0,formal_journal_marker_confirmed,"RECOMMITTED On motion of Representative Robinson (O), the Speaker recommitted the bill, SB36, from the Calendar to the Standing Committee on State Government. MOTION TO ADJOURN LOST The motion offered by Representative Williams (J) that the House adjourn was lost.",,,,"RECOMMITTED On motion of Representative Robinson (O), the Speaker recommitted the bill, SB36, from the Calendar to the Standing Committee on State Government. MOTION TO ADJOURN LOST The motion offered by Representative Williams (J) that the House adjourn was lost.",context_window
JRC-946A0907B5F1FDBF,SB,42.0,SB,42.0,formal_journal_marker_confirmed,was adopted.,,,,was adopted.,context_window
JRC-24537EBEBD841A6D,SB,48.0,SB,48.0,formal_journal_marker_confirmed,"Relating to the Foundation Program and the determination of the number of teacher units; amending Section 16-13-232, Code of Alabama 1975, to base such determination on the first 20 scholastic days following Labor Day.",,,,"Relating to the Foundation Program and the determination of the number of teacher units; amending Section 16-13-232, Code of Alabama 1975, to base such determination on the first 20 scholastic days following Labor Day.",context_window
JRC-629CCF437F5F26F4,SB,50.0,SB,50.0,formal_journal_marker_confirmed,Relating to Chambers County; providing for an expense allowance for the judge of probate.,,,,Relating to Chambers County; providing for an expense allowance for the judge of probate.,context_window
