session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors,final_passage_events
2008_RegularSession,2008,2008RegularSession_Day23,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day23.pdf,882ac71195a13b23baaab4aaddd9214c817bab4be8649d1e66946df5d18b5403,26,41387,0,0
2008_RegularSession,2008,2008RegularSession_Day24,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day24.pdf,54eac80e46e0ebb1925b98b0aa778dc2309cf2fda532b1c8ec9d3d58cf3cbd7e,36,61557,1,0
2008_RegularSession,2008,2008RegularSession_Day25,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day25.pdf,02b8079744ff08b1c72fc1b41d6564a98c19ee751c2377aee40a8a1d7b7eef9f,64,90515,3,0
2008_RegularSession,2008,2008RegularSession_Day26,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day26.pdf,cc89103201bde915aecbaa6b417d76b2c7ec8dc9906a16a2dc10efea8d46888d,226,394612,132,37
2008_RegularSession,2008,2008RegularSession_Day27,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day27.pdf,f9d78d97e4aa7cb1defd01b29d20399d56de1b81bb988e791e6388b8f5dbded9,135,225038,81,30
2008_RegularSession,2008,2008RegularSession_Day28,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day28.pdf,63d285d753114a1b3f8673cfde329f0363ad86aa5390ee4b0a0770d29cd84b11,239,460062,70,18
2008_RegularSession,2008,2008RegularSession_Day29,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day29.pdf,f99aaf12c96ca598c6b5cb3fd46e4b3244e2db059134cf8785915750734b4c8b,240,358853,251,91
2008_RegularSession,2008,2008RegularSession_Day30,data\raw\alabama_legislature\senate_journals\2008_RegularSession\2008RegularSession_Day30.pdf,c9216a2a54ff6b78793c6216a79bc4a9e1570fc94369a638258706c34be76f48,41,63829,4,1
2009_1stExtraordinarySession,2009,20091stExtraordinarySession_Day01,data\raw\alabama_legislature\senate_journals\2009_1stExtraordinarySession\20091stExtraordinarySession_Day01.pdf,49c3932d4bbae8ea318c87d10f1489b95eb287c01b79839c89b16f644a2da000,12,19266,0,0
2009_1stExtraordinarySession,2009,20091stExtraordinarySession_Day02,data\raw\alabama_legislature\senate_journals\2009_1stExtraordinarySession\20091stExtraordinarySession_Day02.pdf,bb1598bda2e990fa534750144e3acf07cbd47e362a1b63e9c0a4097bd1bc0267,4,5488,0,0
2009_1stExtraordinarySession,2009,20091stExtraordinarySession_Day03,data\raw\alabama_legislature\senate_journals\2009_1stExtraordinarySession\20091stExtraordinarySession_Day03.pdf,e404d7f3ebb247db319a1ba391a007849f31a5ed019961a233b91389919251e6,31,48975,7,4
2009_1stExtraordinarySession,2009,20091stExtraordinarySession_Day04,data\raw\alabama_legislature\senate_journals\2009_1stExtraordinarySession\20091stExtraordinarySession_Day04.pdf,f135a2785cfbced4eb89f4424e50ce99827e9498771a927100bd591f60c66506,10,18469,4,0
2009_1stExtraordinarySession,2009,20091stExtraordinarySession_Day05,data\raw\alabama_legislature\senate_journals\2009_1stExtraordinarySession\20091stExtraordinarySession_Day05.pdf,c09f6a4ac1ae8f0f8bbfc476587161bded0c495cc40ae3b65f3f0d6febcfa0be,32,47002,9,7
2009_RegularSession,2009,2009RegularSession_Day01,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day01.pdf,db12220f94c2f4ad8bee4fb3edf050d301b377966a94983bc1ed67bc2e2eae7f,98,189154,0,0
2009_RegularSession,2009,2009RegularSession_Day02,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day02.pdf,9ab5abbc0770b3623fbd5dd0fbf1c5af5bedc8c6a9859e54e059421d84451859,172,239718,0,0
2009_RegularSession,2009,2009RegularSession_Day03,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day03.pdf,097947ae9ae36743c9866dc8bc95ed86166d08a806b421e4f2cee80b12ca8f87,19,31212,4,0
2009_RegularSession,2009,2009RegularSession_Day04,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day04.pdf,21a84b4be2dd13dd8874b65ec6573b6a78df2427c1a10c41711d9d6c508bddcd,112,184618,50,16
2009_RegularSession,2009,2009RegularSession_Day05,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day05.pdf,6322d643b8048258dc74f4b482178f91b3ae7dfa74bb2921f45fd5a876da2993,68,114805,67,28
2009_RegularSession,2009,2009RegularSession_Day06,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day06.pdf,cf52b85f0be771af64607c923277cef5c332f95a389f275e71597f195f95a989,76,136364,28,4
2009_RegularSession,2009,2009RegularSession_Day07,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day07.pdf,9e79698b58ce6cc5145350ba4df23ee9c26a6ea79d298654fb41697b8b9c2628,65,115927,18,6
2009_RegularSession,2009,2009RegularSession_Day08,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day08.pdf,628daa5afebc9bb3e4b6a10d1f2d6eec0574c932dde1ec2f886977689bda73df,172,309045,83,18
2009_RegularSession,2009,2009RegularSession_Day09,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day09.pdf,efe384cca3f98d361f0cea176742e0da276afd27123f746f9053541881bbe21f,129,234517,17,2
2009_RegularSession,2009,2009RegularSession_Day10,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day10.pdf,32100ac01a3199d4aa9446e4fb4c60e368849f7d1245574aba22440a2a653802,177,327923,54,17
2009_RegularSession,2009,2009RegularSession_Day11,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day11.pdf,56070e4e87c4afea6ab5156e1e628c7f47a6f92345d6b76f534b3b9076b5115a,103,167558,76,28
2009_RegularSession,2009,2009RegularSession_Day12,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day12.pdf,e0e5ea1d7ed8446dd4c442f057cbf4e958d9f925f9b723bdefa6910c969b1a9f,82,126131,13,2
2009_RegularSession,2009,2009RegularSession_Day13,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day13.pdf,8b52722ef68295ef03cb7b9fe1227341c7d7e650d7248e62ec7cc7903b9d5d16,74,118259,11,3
2009_RegularSession,2009,2009RegularSession_Day14,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day14.pdf,18fb6e67f6d2490ae63f3d12d858bc8c56033d2d14e8b4d898c6a1b694490d53,60,121516,9,0
2009_RegularSession,2009,2009RegularSession_Day15,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day15.pdf,64843b0653cfb396caaec8c4397ba6f221ada21227300196f426955615d3a478,91,172889,19,1
2009_RegularSession,2009,2009RegularSession_Day16,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day16.pdf,83f42a09c1482f9972b1dd70bd510e3c01f1b382b920f737d7d15c4cc3da5c3b,24,34327,12,0
2009_RegularSession,2009,2009RegularSession_Day17,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day17.pdf,d1be200c28ff9c7e4782f83499ed866c9c00235e19dd0e6c323150ac0eacce32,146,236063,39,11
2009_RegularSession,2009,2009RegularSession_Day18,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day18.pdf,f1f9da60a29858ff05991e083bcc6b1c81ca429103500574dafe8ffd3efc1f47,124,221136,52,15
2009_RegularSession,2009,2009RegularSession_Day19,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day19.pdf,652750827132ab8deafd32b0668c00c9f269dfb4bd593e2d9f0fe7dfeb4ccc22,64,102024,46,14
2009_RegularSession,2009,2009RegularSession_Day20,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day20.pdf,b4f740715b2608dbfed495185af32ec90d206a9c255120f0b20652cab758d87b,19,26102,1,0
2009_RegularSession,2009,2009RegularSession_Day21,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day21.pdf,44bc46b368a196196d7e9c2c2f948804a092f629ba3eafdd8bd0a469e344cc23,89,147724,6,3
2009_RegularSession,2009,2009RegularSession_Day22,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day22.pdf,81851773a0d9006df908ad29ec0aa3fe8bc7598bfdd5ab85e3e415879798b93b,129,251919,29,7
2009_RegularSession,2009,2009RegularSession_Day23,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day23.pdf,d3eec5e5f9eb8ea59bc3fa356c23097cafe2d315a4f16b1da22c3b93b6e73f3d,237,353482,243,89
2009_RegularSession,2009,2009RegularSession_Day24,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day24.pdf,446dc43e78b47c982a516dcc1a3f59735c1b574ae5b2c4ba95c94d76bcb6fd3a,100,154006,39,5
2009_RegularSession,2009,2009RegularSession_Day25,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day25.pdf,3ff08d78e5deef274313b35239576fb8951933b96da6177497e7572161d7dbe4,228,441628,58,19
2009_RegularSession,2009,2009RegularSession_Day26,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day26.pdf,df30b2619daaf7d27f2d2a9283036d44e736e9e6e91371a5a6d2107e58a2c68d,131,280946,14,5
2009_RegularSession,2009,2009RegularSession_Day27,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day27.pdf,eb43576fa4d6ab0167101f3c02818d37423cba37eef122e9bed93b96e6850299,165,281605,51,16
2009_RegularSession,2009,2009RegularSession_Day28,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day28.pdf,f6205272cc9f84f0a292efc76cf010f8834c5e4d431c20baeba8cf2a949a4e5d,195,401623,62,18
2009_RegularSession,2009,2009RegularSession_Day29,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day29.pdf,bc0334e4d7afbecf33303a9a20630f19ebf473f6dc255b27802293dc38912cce,263,464958,146,83
2009_RegularSession,2009,2009RegularSession_Day30,data\raw\alabama_legislature\senate_journals\2009_RegularSession\2009RegularSession_Day30.pdf,3ec54cf627f07a26604375e7ddf26e9802d8b4de588a4e92138107214820e749,346,635626,113,49
