source_row_id,target_norm,match_method,match_score,score_margin
149,SHILOH SCHOOL BUILDING,exact,100.0,100.0
150,TYLER COMMUNITY CENTER,exact,100.0,100.0
151,SAFFORD COMMUNITY CENTER,exact,100.0,100.0
152,CUBA COMMUNITY CENTER,exact,100.0,100.0
153,PLANTERSVILLE VOLUNTEER FIRE DEPARTMENT,exact,100.0,100.0
154,,unmatched,87.17948717948718,1.6794871794871824
155,,unmatched,85.5,7.068627450980387
156,GWC HOMES CENTER,exact,100.0,100.0
157,DALLAS COUNTY COURTHOUSE,exact,100.0,100.0
158,QUEEN OF PEACE SCHOOL,exact,100.0,100.0
159,,unmatched,85.71428571428572,30.329670329670336
160,,unmatched,90.0,33.0
161,,unmatched,74.84848484848484,19.463869463869457
162,,unmatched,68.39999999999999,18.39999999999999
163,,unmatched,85.5,20.282608695652172
164,,unmatched,85.5,43.96153846153846
165,,unmatched,90.0,8.181818181818187
166,COFFEE SPRINGS,exact,100.0,100.0
167,GILMORE VOTING HOUSE,exact,100.0,100.0
168,,unmatched,90.0,7.391304347826093
169,,unmatched,90.0,41.53846153846154
170,IDAHO FIRE DEPARTMENT,exact,100.0,100.0
171,MELLOW VALLEY HIGH,exact,100.0,100.0
172,HIPINE FIRE DEPARTMENT,exact,100.0,100.0
173,,unmatched,90.0,4.5
174,ELBA NATIONAL GUARD,exact,100.0,100.0
175,,unmatched,90.9090909090909,8.575757575757578
176,,unmatched,90.0,40.0
177,,unmatched,89.36170212765957,7.028368794326241
178,MOUNT PLEASANT SR CENTER,fuzzy,92.3076923076923,6.807692307692307
179,ENTERPRISE RECREATION CENTER,exact,100.0,100.0
180,FARM CENTER COMMUNITY ROOM,exact,100.0,100.0
181,,unmatched,90.0,36.0
182,,unmatched,90.0,29.999999999999993
183,,unmatched,90.0,4.5
184,,unmatched,90.0,24.545454545454533
185,,unmatched,91.30434782608697,5.804347826086968
186,,unmatched,90.0,18.0
187,,unmatched,90.0,43.36363636363637
188,VICTORIA BAPTIST CHURCH,fuzzy,95.0,50.29411764705882
189,COTTON VALLEY RECREATION CENTER,exact,100.0,100.0
190,,unmatched,90.47619047619048,4.976190476190482
191,NOTASULGA TOWN HALL,exact,100.0,100.0
192,DISTRICT 4 COMMUNITY CENTER,exact,100.0,100.0
193,FRANKLIN TOWN HALL,exact,100.0,100.0
194,WARRIOR DIST 2 RECREATION CENTER,exact,100.0,100.0
195,PRAIRIE FARM RECREATION CENTER,exact,100.0,100.0
196,BERRY CIVIC CENTER,exact,100.0,100.0
197,,unmatched,85.5,39.666666666666664
198,ANDALUSIA KIWANIS FAIR BD,fuzzy,95.0,55.0
199,,unmatched,90.0,45.0
200,RED OAK,exact,100.0,100.0
201,LOANGO FIRE DEPARTMENT,exact,100.0,100.0
202,GREENVILLE POLICE DEPARTMENT,exact,100.0,100.0
203,SR MUTLI PURPOSE CENTER,fuzzy,95.65217391304348,39.402173913043484
204,,unmatched,90.0,38.57142857142858
