district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,chamber,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,cycle,pres_swing_2012_2016
44.0,12093.384856070086,10718.720310109858,22812.105166179943,6.02603107405552,1.0000000000000002,True,house,11835.904881101376,10179.465512446111,22015.370393547488,7.52401317372681,1.0,True,2018,1.4979820996712903
45.0,7396.995074532494,11478.092895081714,18875.087969614207,-21.62160953696808,0.7738403357455128,True,house,7865.771012212778,13129.462182966357,20995.233195179135,-25.07088690952103,0.6098263822568668,True,2018,-3.449277372552949
46.0,13682.751773049644,12127.422642500656,25810.1744155503,6.026031074055514,1.0,True,house,13391.432624113475,11517.296558970316,24908.729183083793,7.524013173726809,1.0,True,2018,1.4979820996712947
47.0,10649.066958698373,9438.579161451815,20087.646120150188,6.02603107405552,1.0,True,house,10422.337922403005,8963.727784730914,19386.06570713392,7.524013173726806,1.0,True,2018,1.4979820996712867
48.0,13042.797969073392,14041.901848865795,27084.69981793919,-3.6888128223989396,0.915635811865966,True,house,12928.842858212965,13302.675230597728,26231.51808881069,-1.4251267163383285,0.8742640814573135,True,2018,2.263686106060611
49.0,1852.1445756730411,7280.978694898737,9133.123270571778,-59.44115674774885,0.3335230336003228,True,house,3686.332982292907,12111.070357683378,15797.403339976285,-53.329887159816735,0.28144436041590937,True,2018,6.111269587932114
50.0,2732.0771315713287,14997.215693395436,17729.292824966764,-69.18007775556666,0.3166623552068064,True,house,2387.8718539681936,14574.46063514195,16962.332489110144,-71.84500592119376,0.2894502949177193,True,2018,-2.664928165627103
51.0,11618.735085523573,10298.024351426939,21916.75943695051,6.026031074055523,1.0,True,house,11371.360867751357,9779.93460962005,21151.29547737141,7.524013173726806,1.0,True,2018,1.4979820996712832
52.0,9934.314768460576,8805.073413526166,18739.388181986742,6.026031074055521,1.0,True,house,9722.803504380476,8362.093473323135,18084.89697770361,7.524013173726806,1.0,True,2018,1.497982099671285
53.0,6344.242874306272,3082.256419236759,9426.499293543031,34.604431120086225,0.24252201913681046,True,house,7742.941024822933,3052.7385293728,10795.679554195733,43.445180749434996,0.07753607015793414,True,2018,8.840749629348771
54.0,10218.857738840217,9057.272161189141,19276.12990002936,6.026031074055519,1.0,True,house,10001.288277012934,8601.604196603781,18602.892473616717,7.524013173726802,0.9999999999999998,True,2018,1.4979820996712832
55.0,8717.137463496036,7726.253607904942,16443.391071400976,6.026031074055518,1.0000000000000002,True,house,8531.541093032958,7337.548687402463,15869.08978043542,7.524013173726806,1.0,True,2018,1.4979820996712885
56.0,10958.29912390488,9712.660663792703,20670.959787697582,6.02603107405552,1.0000000000000002,True,house,10724.986232790989,9224.020349510962,19949.00658230195,7.524013173726808,1.0,True,2018,1.4979820996712885
57.0,10420.691906549853,9236.163680681098,19656.85558723095,6.026031074055515,1.0,True,house,10198.825198164372,8771.495750861415,18970.320949025787,7.524013173726806,1.0,True,2018,1.4979820996712911
58.0,9366.463287442637,8301.770055934116,17668.233343376753,6.026031074055519,1.0,True,house,9167.042136003338,7884.111118836818,17051.153254840156,7.524013173726805,1.0,True,2018,1.4979820996712858
59.0,8335.689403420942,7388.165048131152,15723.854451552093,6.026031074055512,1.0,True,house,8158.214434710054,7016.469236236653,15174.683670946706,7.524013173726806,1.0000000000000002,True,2018,1.4979820996712947
60.0,10741.034209428452,9520.092422627049,20261.1266320555,6.026031074055517,1.0,True,house,10512.347100542343,9041.140144316198,19553.48724485854,7.524013173726798,1.0,True,2018,1.4979820996712814
61.0,10221.07863669657,15610.20939436181,25831.28803105838,-20.862803090521815,0.26055833142011553,True,house,7693.796221130271,15302.66538891044,22996.46161004071,-33.08713008464739,0.10107292347406185,True,2018,-12.224326994125576
62.0,9685.436896994066,14966.13579096504,24651.572687959106,-21.42134686826815,0.39648568049771193,True,house,6720.5799331211365,15025.986627114708,21746.566560235842,-38.19180683529243,0.14754985217336605,True,2018,-16.770459967024284
63.0,5109.760799627191,9272.652596769933,14382.413396397124,-28.944320277885836,0.3964856804977119,True,house,6181.684304486811,11109.492609380504,17291.176913867315,-28.49897568824046,0.14754985217336605,True,2018,0.4453445896453765
64.0,4054.538846572539,13486.284038062826,17540.822884635367,-53.77025498474128,0.4293602110553921,True,house,3706.195534925436,15163.714464566705,18869.90999949214,-60.7184609250899,0.19448237806793325,True,2018,-6.948205940348622
65.0,11144.411583605926,15290.524533384645,26434.93611699057,-15.6842177769209,0.3315285529045675,True,house,8909.618942315676,14426.957972633343,23336.57691494902,-23.642452148941146,0.11030456516328781,True,2018,-7.958234372020247
66.0,5648.107752410677,11506.03971667885,17154.147469089527,-34.1487793247885,0.21511113733235182,True,house,4842.362840505271,12728.315717651501,17570.678558156775,-44.88132231800098,0.13299819042117605,True,2018,-10.732542993212483
67.0,14971.712500956242,6625.927701609638,21597.64020256588,38.64211423595758,0.1991449167763445,True,house,13163.919896835125,6134.073760428482,19297.993657263607,36.427860125037746,0.19646895870909084,True,2018,-2.214254110919832
68.0,11066.238287779046,10293.20095382608,21359.439241605127,3.619183655567133,0.5136628732952594,True,house,10492.144107869355,9357.67784508238,19849.821952951737,5.715246542139768,0.16312985337161223,True,2018,2.096062886572635
69.0,7412.702295426669,5341.859996495532,12754.5622919222,16.23609067511988,0.6640417834868545,False,house,15514.98343715848,8578.75593788892,24093.7393750474,28.78850555863919,0.4740463692531568,True,2018,12.552414883519312
70.0,2293.612770158405,2410.5685699541955,4704.1813401126,-2.4862094239120243,0.396485680497712,True,house,9081.964488133746,5306.916085882621,14388.880574016366,26.235872782683032,0.14754985217336605,True,2018,28.722082206595054
71.0,15063.617554050279,8155.399344716588,23219.016898766866,29.75241475318698,0.2938331239422993,True,house,12364.490301926675,7226.6236811840445,19591.11398311072,26.225495013565475,0.11558547388186563,True,2018,-3.526919739621505
72.0,11414.671122583553,5239.325051383985,16653.99617396754,37.080265941531046,0.27086094324465265,False,house,13929.276757935062,7118.3851909951345,21047.661948930196,32.35937361340085,0.07830712774113069,True,2018,-4.720892328130198
73.0,3637.413295892108,12387.644783872729,16025.058079764836,-54.60343072971271,0.46752278285281895,True,house,4090.8589514116097,12004.15099257438,16095.00994398599,-49.16612085797204,0.22103306777484255,True,2018,5.437309871740673
74.0,,,,,,False,house,12027.208293576088,6941.427856719189,18968.63615029528,26.811524015540417,1.0,True,2018,
75.0,1383.5261208912684,4372.724134127608,5756.2502550188765,-51.9296048782809,0.282740380513608,False,house,12019.271006423018,11758.347212650018,23777.618219073036,1.0973504215981627,0.6868756450916436,True,2018,53.02695529987906
76.0,,,,,,False,house,10027.738092168038,5787.446166542022,15815.18425871006,26.81152401554042,1.0,True,2018,
77.0,,,,,,False,house,11446.814967635453,6606.457487685999,18053.27245532145,26.81152401554042,1.0000000000000002,True,2018,
78.0,,,,,,False,house,9480.010882739769,5471.328841839235,14951.339724579004,26.811524015540417,1.0,True,2018,
79.0,4678.938132952568,6348.52644283745,11027.464575790018,-15.140273617839048,0.4516836658167091,True,house,7488.81761412401,10064.392291871318,17553.20990599533,-14.672955496690186,0.23111357816892578,True,2018,0.4673181211488622
80.0,6864.789937381208,12617.02485739145,19481.814794772657,-29.52617597798783,0.3385376139539138,True,house,5250.910036760889,11039.999404615688,16290.909441376578,-35.53570406051942,0.1887813931925873,True,2018,-6.009528082531592
81.0,6674.180949588431,14914.655684986748,21588.83663457518,-38.17007314882798,0.29076189653782647,True,house,5639.777866516603,16327.48842724277,21967.266293759374,-48.65289298087313,0.22427748743386788,True,2018,-10.482819832045152
82.0,13205.511410412177,5786.089461613274,18991.60087202545,39.0668590752014,0.24367506587690346,True,house,12130.93459137966,7338.170133429717,19469.10472480938,24.617282230972588,0.12132701963949549,True,2018,-14.449576844228812
83.0,11022.298376880883,7448.6366575943275,18470.93503447521,19.34748680895942,0.31022276985163405,True,house,8956.155021954717,6179.716721784409,15135.871743739126,18.34343173077406,0.1760306076967149,True,2018,-1.0040550781853597
84.0,8187.031925744388,6881.51408768865,15068.546013433039,8.663860712851248,0.18898311468248533,False,house,10536.575325049631,8212.71368745619,18749.28901250582,12.394398721164418,0.09191420830764768,True,2018,3.73053800831317
85.0,8655.139859937977,13801.155839386469,22456.295699324444,-22.91569388090708,0.4818787330810602,True,house,5848.178582991585,8607.660636353732,14455.839219345318,-19.089047764652154,0.2367270819875011,True,2018,3.8266461162549277
86.0,5697.793569676337,17717.62303644733,23415.41660612367,-51.332972925314216,0.6076806686360688,True,house,4665.357152465363,16316.706373770543,20982.063526235906,-55.53004453892902,0.18740336296868962,True,2018,-4.197071613614803
87.0,2647.6574953052227,11656.90120647507,14304.558701780292,-62.981626340200144,0.326264715721431,True,house,2920.2796129414314,17303.81391124761,20224.09352418904,-71.12078611139106,0.1001955315805059,True,2018,-8.139159771190911
88.0,4816.168180836141,12157.44220719779,16973.61038803393,-43.25110485355023,0.5772228352435838,True,house,5493.139303892773,16259.94017215553,21753.079476048304,-49.49552489852196,0.14641522560170905,True,2018,-6.244420044971726
89.0,6821.114151198808,10806.054781509323,17627.168932708133,-22.60681023437774,0.18394823860903048,True,house,5603.370464599921,10139.567378437307,15742.937843037227,-28.814170258848165,0.04687677167219927,True,2018,-6.207360024470425
90.0,3272.608169949791,6169.708743485052,9442.316913434843,-30.682094236989336,0.1305185597649436,False,house,7454.750813809141,12264.70224337604,19719.45305718518,-24.391910950158408,0.11606360263680109,True,2018,6.290183286830928
91.0,4651.413738355734,13563.115581003536,18214.52931935927,-48.926336148450574,0.28945078568869326,True,house,3869.3106371215677,14484.788922208378,18354.099559329945,-57.83709656130007,0.1660529458598726,True,2018,-8.910760412849498
92.0,3920.1274790199973,14220.357062702611,18140.48454172261,-56.78034431766347,0.10337797159239738,True,house,2957.340114197803,15673.310045561726,18630.650159759527,-68.2529585512224,0.058628338623602255,True,2018,-11.472614233558936
