district,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,chamber,cycle
102.0,5325.936019668397,13404.579978457601,18730.515998126,-43.13092047008997,0.42176639620392387,True,house,2014
103.0,7981.784956755038,4799.372510525327,12781.157467280365,24.899250747646725,0.4217663962039239,True,house,2014
104.0,6882.882884391308,15238.04266546827,22120.925549859578,-37.77038968032692,0.421766396203924,True,house,2014
105.0,3674.738686611162,9121.127813408755,12795.866500019918,-42.56366012250218,0.4217663962039239,True,house,2014
33.0,41214.86431035772,20188.77876121606,61403.64307157378,34.24240728621439,0.4217663962039239,True,senate,2014
34.0,17125.051363998118,38796.55636030374,55921.60772430185,-38.753365431029685,0.4217663962039239,True,senate,2014
35.0,19116.94433503606,35100.4444480579,54217.38878309396,-29.48039452244112,0.4217663962039239,True,senate,2014
74.0,,,,,,False,house,2014
76.0,,,,,,False,house,2014
77.0,,,,,,False,house,2014
78.0,,,,,,False,house,2014
26.0,,,,,,False,senate,2014
8.0,6616.896513502752,11684.654272395992,18301.550785898744,-27.690318805103242,0.2796231824697932,True,house,2014
61.0,5933.925801608327,14835.072202394633,20768.99800400296,-42.85785187648785,0.06861856831635695,True,house,2014
50.0,2662.043233891901,14452.545013873336,17114.588247765238,-68.89153048435739,0.2788077376332959,True,house,2014
11.0,12907.70165629445,42005.53477140292,54913.23642769737,-52.98874189180367,0.19480609251234537,True,senate,2014
41.0,5713.265848311957,19693.03728609959,25406.303134411544,-55.024815550015,0.2393213944970226,True,house,2014
73.0,4463.791175867143,14845.166925450898,19308.95810131804,-53.7645568192264,0.23932139449702258,True,house,2014
62.0,6186.506708487712,13590.819357225526,19777.326065713238,-37.438390933819036,0.087189572728675,True,house,2014
63.0,4578.566372229786,10995.03266711151,15573.599039341298,-41.20092137130761,0.087189572728675,True,house,2014
70.0,11606.344997387434,5379.649422542681,16985.994419930117,36.65782185550942,0.08718957272867499,True,house,2014
