source_file_id,parser_name,input_candidate_rows,output_candidate_rows,input_votes,output_votes,vote_delta,reconciliation_status,note
SRC-902DF9744F41E7E55172,south_carolina_detail_zip,31,31,284208,284208,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-A157F34CA05160DBA41B,south_carolina_detail_zip,32,32,351667,351667,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-A2DE1F84EB7163691546,south_carolina_detail_zip,19,19,35852,35852,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-A7B2765928CB1A8AE2E2,south_carolina_detail_zip,20,20,54790,54790,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-AAB9188B1977F877F9BE,south_carolina_detail_zip,23,23,43272,43272,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-AD50C593A0552CF0AF88,south_carolina_detail_zip,45,45,508826,508826,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-AF7A18E860228D811E24,south_carolina_detail_zip,38,38,487232,487232,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-B52A1B04B721C707F324,south_carolina_detail_zip,20,20,78574,78574,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-BC6540AD69BDDCB20ADE,south_carolina_detail_zip,19,19,73360,73360,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-C0EAD8AC3F6721D165FB,south_carolina_detail_zip,19,19,31802,31802,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-C79B66D391F9E9435B84,south_carolina_detail_zip,28,28,118969,118969,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-CDF95A0F3AFDDB7CA0BB,south_carolina_detail_zip,24,24,42274,42274,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-CF96805705B94CE24F48,south_carolina_detail_zip,24,24,139018,139018,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-D8CDC99A0C86A0596F23,south_carolina_detail_zip,37,37,322175,322175,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-E0C176630039962B3FC3,south_carolina_detail_zip,23,23,52310,52310,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-E60C6784206572164B35,south_carolina_detail_zip,25,25,74338,74338,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-E8E2E23C9E9D73AA41FE,south_carolina_detail_zip,19,19,45630,45630,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-EA6097E4D4B1B201671F,south_carolina_detail_zip,21,21,71090,71090,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-EDFA4369B51AF33140BE,south_carolina_detail_zip,22,22,51522,51522,0,exact,Fixed-width county totals; party labels are absent from the provider export
SRC-F667D7B7D4D6FA1E3B34,south_carolina_detail_zip,29,29,325483,325483,0,exact,Fixed-width county totals; party labels are absent from the provider export
