state,cycle,chamber,district,party,candidate,provider_candidate,provider_identity,candidate_filer_id,campaign_id,match_score,match_margin,candidates_considered,match_status,event_target,committee_names,committee_name,source_path,registration_cycle,source_reported_total,match_method,adjudication_id,record_count,total_contributions
FL,2020,house,89,D,"bonfiglio, jim",Jim Bonfiglio,house|89|JIM BONFIGLIO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,89,R,"caruso, mike",Mike Caruso,house|89|MIKE CARUSO|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,90,D,"casello, joseph a",Joseph A. Casello,house|90|JOSEPH A CASELLO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,90,R,"maldonado, lydia",Lydia Maldonado,house|90|LYDIA MALDONADO|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,91,D,"slosberg, emily a",Emily Ann Slosberg,house|91|EMILY ANN SLOSBERG|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,91,R,"hussain, sayd",Sayd Hussain,house|91|SAYD HUSSAIN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,92,D,"hawkinswilliams, patricia",Patricia Hawkins-Williams,house|92|PATRICIA HAWKINS WILLIAMS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,93,D,"gonzalez, linda t",Linda Thompson Gonzalez,house|93|LINDA THOMPSON GONZALEZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,93,R,"lamarca, chip",Chip LaMarca,house|93|CHIP LA MARCA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,94,D,"dubose, bobby",Bobby DuBose,house|94|BOBBY DU BOSE|D,,,100.0,84.0,2,accepted_automatic,,,,,,,,,,
FL,2020,house,95,D,"omphroy, anika",Anika Omphroy,house|95|ANIKA OMPHROY|D,,,100.0,67.74193548387096,2,accepted_automatic,,,,,,,,,,
FL,2020,house,96,D,"hunschofsky, christine",Christine Hunschofsky,house|96|CHRISTINE HUNSCHOFSKY|D,,,100.0,47.05882352941176,3,accepted_automatic,,,,,,,,,,
FL,2020,house,97,D,"daley, dan",Dan Daley,house|97|DAN DALEY|D,,,100.0,68.75,2,accepted_automatic,,,,,,,,,,
FL,2020,house,98,D,"gottlieb, michael",Michael Gottlieb,house|98|MICHAEL GOTTLIEB|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,99,D,"jenne, evan b",Evan Jenne,house|99|EVAN JENNE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,100,D,"geller, joseph s (joe)","Joseph ""Joe"" Geller",house|100|JOSEPH JOE GELLER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,101,D,"woodson, marie",Marie Woodson,house|101|MARIE WOODSON|D,,,100.0,50.0,3,accepted_automatic,,,,,,,,,,
FL,2020,house,101,R,"parlatore, vincent (vinny)","Vincent ""Vinny"" Parlatore",house|101|VINCENT VINNY PARLATORE|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,102,D,"robinson, felicia s",Felicia Simone Robinson,house|102|FELICIA SIMONE ROBINSON|D,,,100.0,55.55555555555556,4,accepted_automatic,,,,,,,,,,
FL,2020,house,103,D,"polo, cindy",Cindy Polo,house|103|CINDY POLO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,103,R,"fabricio, tom",Tom Fabricio,house|103|TOM FABRICIO|R,,,100.0,76.92307692307693,2,accepted_automatic,,,,,,,,,,
FL,2020,house,104,D,"bartleman, robin",Robin Bartleman,house|104|ROBIN BARTLEMAN|D,,,100.0,62.96296296296296,2,accepted_automatic,,,,,,,,,,
FL,2020,house,104,R,"navarini, george",George Navarini,house|104|GEORGE NAVARINI|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,105,D,"porras, maureen",Maureen Porras,house|105|MAUREEN PORRAS|D,,,100.0,69.23076923076923,2,accepted_automatic,,,,,,,,,,
FL,2020,house,105,R,"borrero, david",David Borrero,house|105|DAVID BORRERO|R,,,100.0,53.84615384615385,4,accepted_automatic,,,,,,,,,,
FL,2020,house,106,D,"mcfadden, sara",Sara McFadden,house|106|SARA MC FADDEN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,106,R,"rommel, bob",Bob Rommel,house|106|BOB ROMMEL|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,107,D,"benjamin, christopher",Christopher Benjamin,house|107|CHRISTOPHER BENJAMIN|D,,,100.0,62.16216216216216,4,accepted_automatic,,,,,,,,,,
FL,2020,house,108,D,"joseph, dotie",Dotie Joseph,house|108|DOTIE JOSEPH|D,,,100.0,66.66666666666667,3,accepted_automatic,,,,,,,,,,
FL,2020,house,109,D,"bush, james, iii",James Bush III,house|109|JAMES BUSH|D,,,100.0,55.55555555555556,3,accepted_automatic,,,,,,,,,,
FL,2020,house,110,D,"collazo, annette",Annette Collazo,house|110|ANNETTE COLLAZO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,110,R,"rizo, alex",Alex Rizo,house|110|ALEX RIZO|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,111,D,"hancock, ross",Ross Elde Hancock,house|111|ROSS ELDE HANCOCK|D,,,100.0,72.72727272727273,2,accepted_automatic,,,,,,,,,,
FL,2020,house,111,R,"avila, bryan",Bryan Avila,house|111|BRYAN AVILA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,112,D,"duran, nicholas x",Nicholas Xavier Duran,house|112|NICHOLAS XAVIER DURAN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,112,R,"barreiro, bruno a",Bruno A. Barreiro,house|112|BRUNO A BARREIRO|R,,,100.0,54.285714285714285,2,accepted_automatic,,,,,,,,,,
FL,2020,house,113,D,"grieco, michael",Michael Grieco,house|113|MICHAEL GRIECO|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,114,D,"bado, jeanpierre",Jean-Pierre Bado,house|114|JEAN PIERRE BADO|D,,,100.0,62.5,3,accepted_automatic,,,,,,,,,,
FL,2020,house,114,R,"busattacabrera, demi",Demi Busatta Cabrera,house|114|DEMI BUSATTA CABRERA|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,115,D,"cestibrowne, franccesca",Franccesca Cesti-Browne,house|115|FRANCCESCA CESTI BROWNE|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,115,R,"aloupis, vance",Vance Aloupis,house|115|VANCE ALOUPIS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,116,D,"lynch, bob",Bob Lynch,house|116|BOB LYNCH|D,,,100.0,85.71428571428571,2,accepted_automatic,,,,,,,,,,
FL,2020,house,116,R,"perez, daniel a",Daniel A. Perez,house|116|DANIEL A PEREZ|R,,,100.0,52.0,2,accepted_automatic,,,,,,,,,,
FL,2020,house,117,D,"chambliss, kevin",Kevin Chambliss,house|117|KEVIN CHAMBLISS|D,,,100.0,68.42105263157895,4,accepted_automatic,,,,,,,,,,
FL,2020,house,118,D,"junquera, ricky",Ricky Junquera,house|118|RICKY JUNQUERA|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,118,R,"rodriguez, anthony",Anthony Rodriguez,house|118|ANTHONY RODRIGUEZ|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,119,D,"mohammad, imtiaz a",Imtiaz Ahmad Mohammad,house|119|IMTIAZ AHMAD MOHAMMAD|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,119,R,"fernandezbarquin, juan",Juan Fernandez-Barquin,house|119|JUAN FERNANDEZ BARQUIN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,120,D,"barras, clint",Clint Barras,house|120|CLINT BARRAS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,house,120,R,"vernonmooney, james (jim)","James ""Jim"" Vernon Mooney Jr",house|120|JAMES JIM VERNON MOONEY|R,,,100.0,65.85365853658537,3,accepted_automatic,,,,,,,,,,
FL,2020,senate,1,D,"butler, karen m",Karen M. Butler,senate|1|KAREN M BUTLER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,1,R,"broxson, doug",Douglas V. Broxson,senate|1|DOUGLAS V BROXSON|R,,,94.54545454545456,94.54545454545456,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,3,D,"ausley, loranne",Loranne Ausley,senate|3|LORANNE AUSLEY|D,,,100.0,70.58823529411765,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,3,R,"harrispreston, marva",Marva Harris Preston,senate|3|MARVA HARRIS PRESTON|R,,,100.0,66.66666666666666,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,5,D,"peters, stacey l",Stacey L. Peters,senate|5|STACEY L PETERS|D,,,100.0,71.42857142857143,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,5,R,"bradley, jennifer",Jennifer Bradley,senate|5|JENNIFER BRADLEY|R,,,100.0,60.0,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,7,D,"hunter, heather",Heather Hunter,senate|7|HEATHER HUNTER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,7,R,"hutson, travis",Travis J. Hutson,senate|7|TRAVIS J HUTSON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,9,D,"sigman, patricia",Patricia Sigman,senate|9|PATRICIA SIGMAN|D,,,100.0,56.52173913043478,6,accepted_automatic,,,,,,,,,,
FL,2020,senate,9,R,"brodeur, jason",Jason Brodeur,senate|9|JASON BRODEUR|R,,,100.0,71.42857142857143,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,11,D,"bracy, randolph",Randolph Bracy,senate|11|RANDOLPH BRACY|D,,,100.0,73.91304347826086,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,11,R,"adams, joshua e",Joshua Eli Adams,senate|11|JOSHUA ELI ADAMS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,13,D,"stewart, linda",Linda Stewart,senate|13|LINDA STEWART|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,13,R,"anderson, josh",Josh Anderson,senate|13|JOSH ANDERSON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,15,D,"torres, victor m, jr",Victor M. Torres Jr,senate|15|VICTOR M TORRES|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,15,R,"minnis, louis t",Louis T. Minnis Jr,senate|15|LOUIS T MINNIS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,17,D,"fretwell, scot",Scot Fretwell,senate|17|SCOT FRETWELL|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,17,R,"mayfield, debbie",Debbie Mayfield,senate|17|DEBBIE MAYFIELD|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,19,D,"rouson, darryl e",Darryl Ervin Rouson,senate|19|DARRYL ERVIN ROUSON|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,21,D,"eldon, anthony (tony)","Anthony ""Tony"" Eldon",senate|21|ANTHONY TONY ELDON|D,,,100.0,51.51515151515152,3,accepted_automatic,,,,,,,,,,
FL,2020,senate,21,R,"boyd, jim",John Manners Houman,senate|21|JOHN MANNERS HOUMAN|R,,,29.62962962962964,29.62962962962964,1,review_required,,,,,,,,,,
FL,2020,senate,23,D,"norman, katherine",Katherine Norman,senate|23|KATHERINE NORMAN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,23,R,"gruters, joe",Joe Gruters,senate|23|JOE GRUTERS|R,,,100.0,58.333333333333336,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,25,D,"balderramosrobinson, corinna",Corinna Balderramos Robinson,senate|25|CORINNA BALDERRAMOS ROBINSON|D,,,100.0,61.70212765957447,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,25,R,"harrell, gayle",Gayle Harrell,senate|25|GAYLE HARRELL|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,27,D,"brown, rachel",Rachel Brown,senate|27|RACHEL BROWN|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,27,R,"rodrigues, ray",Ray Rodrigues,senate|27|RAY RODRIGUES|R,,,100.0,66.66666666666666,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,29,D,"polsky, tina",Tina Polsky,senate|29|TINA POLSKY|D,,,100.0,63.63636363636363,3,accepted_automatic,,,,,,,,,,
FL,2020,senate,29,R,"norton, brian",Brian Norton,senate|29|BRIAN NORTON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,31,D,"berman, lori",Lori Berman,senate|31|LORI BERMAN|D,,,100.0,53.84615384615385,2,accepted_automatic,,,,,,,,,,
FL,2020,senate,31,R,"donnally, tami l",Tami Donnally,senate|31|TAMI DONNALLY|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,33,D,"thurston, perry e, jr",Perry E. Thurston Jr,senate|33|PERRY E THURSTON|D,,,100.0,43.75,4,accepted_automatic,,,,,,,,,,
FL,2020,senate,35,D,"jones, shevrin d (shev)","Shevrin ""Shev"" Jones",senate|35|SHEVRIN SHEV JONES|D,,,100.0,68.75,6,accepted_automatic,,,,,,,,,,
FL,2020,senate,37,D,"rodriguez, jose j",Jose Javier Rodriguez,senate|37|JOSE JAVIER RODRIGUEZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2020,senate,37,R,"garcia, ileana",Ileana Garcia,senate|37|ILEANA GARCIA|R,,,100.0,53.333333333333336,3,accepted_automatic,,,,,,,,,,
FL,2020,senate,39,D,"fernandez, javier",Javier E. Fernandez,senate|39|JAVIER E FERNANDEZ|D,,,100.0,58.82352941176471,3,accepted_automatic,,,,,,,,,,
FL,2020,senate,39,R,"rodriguez, ana m",Ana Maria Rodriguez,senate|39|ANA MARIA RODRIGUEZ|R,,,100.0,48.38709677419355,3,accepted_automatic,,,,,,,,,,
FL,2022,house,1,D,"mathis, franscine c",Franscine C. Mathis,house|1|FRANSCINE C MATHIS|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,1,R,"salzman, michelle",Michelle Salzman,house|1|MICHELLE SALZMAN|R,,,100.0,56.52173913043478,2,accepted_automatic,,,,,,,,,,
FL,2022,house,2,D,"taylor, carollyn r",Carollyn Rabeca Taylor,house|2|CAROLLYN RABECA TAYLOR|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,2,R,"andrade, alex",Alex Andrade,house|2|ALEX ANDRADE|R,,,100.0,65.21739130434783,3,accepted_automatic,,,,,,,,,,
FL,2022,house,3,R,"rudman, joel",Joel Rudman,house|3|JOEL RUDMAN|R,,,100.0,60.0,4,accepted_automatic,,,,,,,,,,
FL,2022,house,4,R,"maney, patt",Patt Maney,house|4|PATT MANEY|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,5,R,"abbott, shane",Shane Abbott,house|5|SHANE ABBOTT|R,,,100.0,60.0,3,accepted_automatic,,,,,,,,,,
FL,2022,house,6,R,"griffitts, griff",Griff Griffitts,house|6|GRIFF GRIFFITTS|R,,,100.0,68.0,3,accepted_automatic,,,,,,,,,,
FL,2022,house,7,R,"shoaf, jason",Jason Shoaf,house|7|JASON SHOAF|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,8,D,"franklin, gallop p",Gallop P. Franklin,house|8|GALLOP P FRANKLIN|D,,,100.0,57.89473684210527,7,accepted_automatic,,,,,,,,,,
FL,2022,house,8,R,"bender, curt",Curt Bender,house|8|CURT BENDER|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,9,D,"tant, allison",Allison Tant,house|9|ALLISON TANT|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,10,R,"brannan, chuck",Chuck Brannan,house|10|CHUCK BRANNAN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,11,D,"jones, cornelius",Cornelius Jones,house|11|CORNELIUS JONES|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,11,R,"garrison, sam",Sam Garrison,house|11|SAM GARRISON|R,,,100.0,69.23076923076923,3,accepted_automatic,,,,,,,,,,
FL,2022,house,12,R,"duggan, wyman",Wyman Duggan,house|12|WYMAN DUGGAN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,13,D,"nixon, angie",Angie Nixon,house|13|ANGIE NIXON|D,,,100.0,58.333333333333336,2,accepted_automatic,,,,,,,,,,
FL,2022,house,14,D,"daniels, kimberly",Kimberly Daniels,house|14|KIMBERLY DANIELS|D,,,100.0,60.0,4,accepted_automatic,,,,,,,,,,
FL,2022,house,15,R,"black, dean",Dean Black,house|15|DEAN BLACK|R,,,100.0,71.42857142857143,2,accepted_automatic,,,,,,,,,,
FL,2022,house,16,R,"michael, kiyan",Kiyan Michael,house|16|KIYAN MICHAEL|R,,,100.0,69.23076923076923,6,accepted_automatic,,,,,,,,,,
FL,2022,house,17,D,"anderson, michael",Michael Anderson,house|17|MICHAEL ANDERSON|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,17,R,"baker, jessica",Jessica Baker,house|17|JESSICA BAKER|R,,,100.0,65.51724137931035,3,accepted_automatic,,,,,,,,,,
FL,2022,house,18,R,"stevenson, cyndi",Cyndi Stevenson,house|18|CYNDI STEVENSON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,19,D,"morley, adam",Adam Morley,house|19|ADAM MORLEY|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,19,R,"renner, paul",Paul Renner,house|19|PAUL RENNER|R,,,100.0,77.77777777777777,2,accepted_automatic,,,,,,,,,,
FL,2022,house,20,R,"payne, bobby",Bobby Payne,house|20|BOBBY PAYNE|R,,,100.0,81.81818181818181,2,accepted_automatic,,,,,,,,,,
FL,2022,house,21,D,"hayeshinson, yvonne",Yvonne Hayes Hinson,house|21|YVONNE HAYES HINSON|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,21,R,"merton, hollye",Hollye Merton,house|21|HOLLYE MERTON|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,22,D,"peters, brandon",Brandon Peters,house|22|BRANDON PETERS|D,,,100.0,62.96296296296296,3,accepted_automatic,,,,,,,,,,
FL,2022,house,22,R,"clemons, chuck",Chuck Clemons,house|22|CHUCK CLEMONS|R,,,100.0,81.81818181818181,2,accepted_automatic,,,,,,,,,,
FL,2022,house,23,R,"massullo, ralph, jr",Ralph E. Massullo Jr,house|23|RALPH E MASSULLO|R,,,100.0,63.63636363636363,5,accepted_automatic,,,,,,,,,,
FL,2022,house,24,R,"harding, joe",Joe Harding,house|24|JOE HARDING|R,,,100.0,68.42105263157895,2,accepted_automatic,,,,,,,,,,
FL,2022,house,25,R,"yarkosky, taylor",Taylor Yarkosky,house|25|TAYLOR YARKOSKY|R,,,100.0,65.21739130434783,4,accepted_automatic,,,,,,,,,,
FL,2022,house,26,D,"kero, linda",Linda Kero,house|26|LINDA KERO|D,,,100.0,73.91304347826087,2,accepted_automatic,,,,,,,,,,
FL,2022,house,26,R,"truenow, keith",Keith Truenow,house|26|KEITH TRUENOW|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,27,R,"mcclain, stan",Stan McClain,house|27|STAN MC CLAIN|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,28,D,"navarra, john c",John Clifford Navarra,house|28|JOHN CLIFFORD NAVARRA|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,28,R,"leek, tom",Tom Leek,house|28|TOM LEEK|R,,,100.0,57.89473684210526,2,accepted_automatic,,,,,,,,,,
FL,2022,house,29,D,"karl, rick",Rick Karl,house|29|RICK KARL|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,29,R,"barnaby, webster",Webster Barnaby,house|29|WEBSTER BARNABY|R,,,100.0,60.0,2,accepted_automatic,,,,,,,,,,
FL,2022,house,30,R,"tramont, chase",Chase Tramont,house|30|CHASE TRAMONT|R,,,100.0,55.55555555555556,2,accepted_automatic,,,,,,,,,,
FL,2022,house,31,R,"sirois, tyler",Tyler Sirois,house|31|TYLER SIROIS|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,32,R,"altman, thad",Thad Altman,house|32|THAD ALTMAN|R,,,100.0,60.0,2,accepted_automatic,,,,,,,,,,
FL,2022,house,33,D,"yantz, anthony",Anthony Yantz,house|33|ANTHONY YANTZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,33,R,"fine, randy",Randy Fine,house|33|RANDY FINE|R,,,100.0,66.66666666666666,2,accepted_automatic,,,,,,,,,,
FL,2022,house,34,D,"greb, karen",Karen Greb,house|34|KAREN GREB|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,34,R,"brackett, robert",Robert Brackett,house|34|ROBERT BRACKETT|R,,,100.0,63.63636363636363,3,accepted_automatic,,,,,,,,,,
FL,2022,house,35,D,"bagga, rishi",Rishi Bagga,house|35|RISHI BAGGA|D,,,100.0,75.0,3,accepted_automatic,,,,,,,,,,
FL,2022,house,35,R,"hawkins, fred",Fred Hawkins,house|35|FRED HAWKINS|R,,,100.0,70.37037037037038,3,accepted_automatic,,,,,,,,,,
FL,2022,house,36,D,"poulalion, deborah",Deborah Poulalion,house|36|DEBORAH POULALION|D,,,100.0,70.37037037037037,2,accepted_automatic,,,,,,,,,,
FL,2022,house,36,R,"plakon, rachel",Rachel Plakon,house|36|RACHEL PLAKON|R,,,100.0,60.0,3,accepted_automatic,,,,,,,,,,
FL,2022,house,37,D,"smith, carlos g",Carlos Guillermo Smith,house|37|CARLOS GUILLERMO SMITH|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,37,R,"plasencia, susan",Susan Plasencia,house|37|SUSAN PLASENCIA|R,,,100.0,68.0,2,accepted_automatic,,,,,,,,,,
FL,2022,house,38,D,"henry, sarah",Sarah Henry,house|38|SARAH HENRY|D,,,100.0,61.90476190476191,4,accepted_automatic,,,,,,,,,,
FL,2022,house,38,R,"smith, david",David Smith,house|38|DAVID SMITH|R,,,100.0,58.62068965517241,3,accepted_automatic,,,,,,,,,,
FL,2022,house,39,D,"hughes, tiffany",Tiffany Hughes,house|39|TIFFANY HUGHES|D,,,100.0,70.37037037037038,2,accepted_automatic,,,,,,,,,,
FL,2022,house,39,R,"bankson, doug",Doug Bankson,house|39|DOUG BANKSON|R,,,100.0,63.63636363636363,4,accepted_automatic,,,,,,,,,,
FL,2022,house,40,D,"bracydavis, lavon",LaVon Bracy Davis,house|40|LA VON BRACY DAVIS|D,,,100.0,71.42857142857143,2,accepted_automatic,,,,,,,,,,
FL,2022,house,40,R,"robertson, nate",Nate Robertson,house|40|NATE ROBERTSON|R,,,100.0,62.5,2,accepted_automatic,,,,,,,,,,
FL,2022,house,41,D,"antone, bruce h",Bruce H. Antone,house|41|BRUCE H ANTONE|D,,,100.0,57.14285714285714,4,accepted_automatic,,,,,,,,,,
FL,2022,house,42,D,"eskamani, anna v",Anna V. Eskamani,house|42|ANNA V ESKAMANI|D,,,100.0,67.56756756756756,2,accepted_automatic,,,,,,,,,,
FL,2022,house,42,R,"jackson, bonnie",Bonnie Jackson,house|42|BONNIE JACKSON|R,,,100.0,82.6086956521739,2,accepted_automatic,,,,,,,,,,
FL,2022,house,43,D,"lopez, johanna",Johanna Lopez,house|43|JOHANNA LOPEZ|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,43,R,"wright, christopher",Christopher Wright,house|43|CHRISTOPHER WRIGHT|R,,,100.0,66.66666666666666,3,accepted_automatic,,,,,,,,,,
FL,2022,house,44,D,"harris, jennifer (rita)","Jennifer ""Rita"" Harris",house|44|JENNIFER RITA HARRIS|D,,,100.0,63.63636363636363,3,accepted_automatic,,,,,,,,,,
FL,2022,house,45,D,"braswell, allie",Allie Braswell,house|45|ALLIE BRASWELL|D,,,100.0,52.0,2,accepted_automatic,,,,,,,,,,
FL,2022,house,45,R,"amesty, carolina",Carolina Amesty,house|45|CAROLINA AMESTY|R,,,100.0,58.333333333333336,5,accepted_automatic,,,,,,,,,,
FL,2022,house,46,D,"arrington, kristen",Kristen Arrington,house|46|KRISTEN ARRINGTON|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,46,R,"delatorre, christian",Christian De La Torre,house|46|CHRISTIAN DE LA TORRE|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,47,D,"nieves, anthony",Anthony Nieves,house|47|ANTHONY NIEVES|D,,,100.0,54.83870967741935,3,accepted_automatic,,,,,,,,,,
FL,2022,house,47,R,"stark, paula a",Paula A. Stark,house|47|PAULA A STARK|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,48,R,"killebrew, sam",Sam Killebrew,house|48|SAM KILLEBREW|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,49,R,"bell, melony",Melony Bell,house|49|MELONY BELL|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,50,R,"canady, jennifer",Jennifer Canady,house|50|JENNIFER CANADY|R,,,100.0,77.77777777777777,2,accepted_automatic,,,,,,,,,,
FL,2022,house,51,R,"tomkow, josie",Josie Tomkow,house|51|JOSIE TOMKOW|R,,,100.0,66.66666666666667,2,accepted_automatic,,,,,,,,,,
FL,2022,house,52,D,"marwah, ash",Ash Marwah,house|52|ASH MARWAH|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,52,R,"temple, john",John Temple,house|52|JOHN TEMPLE|R,,,100.0,75.0,3,accepted_automatic,,,,,,,,,,
FL,2022,house,53,D,"laufenberg, keith g",Keith G. Laufenberg,house|53|KEITH G LAUFENBERG|D,,,100.0,58.82352941176471,2,accepted_automatic,,,,,,,,,,
FL,2022,house,53,R,"holcomb, jeff",Jeff Holcomb,house|53|JEFF HOLCOMB|R,,,100.0,68.0,2,accepted_automatic,,,,,,,,,,
FL,2022,house,54,D,"staver, brian",Brian Staver,house|54|BRIAN STAVER|D,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,54,R,"maggard, randy",Randy Maggard,house|54|RANDY MAGGARD|R,,,100.0,100.0,1,accepted_automatic,,,,,,,,,,
FL,2022,house,55,R,"steele, kevin m",Kevin M. Steele,house|55|KEVIN M STEELE|R,,,100.0,72.41379310344827,4,accepted_automatic,,,,,,,,,,
FL,2022,house,56,R,"yeager, brad",Brad Yeager,house|56|BRAD YEAGER|R,,,100.0,58.62068965517241,4,accepted_automatic,,,,,,,,,,
FL,2022,house,57,R,"anderson, adam",Adam Anderson,house|57|ADAM ANDERSON|R,,,100.0,64.28571428571429,2,accepted_automatic,,,,,,,,,,
