source_node_id,geo_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,node_id,year,county_key,precinct_key,vtd,geography_name,geography_source
16211,933,100.0,0,0.0,0,100.0,1,30.434782608695656,exact_name,1,16211,2010,BLOUNT,BLOUNTSVILLE,000007,Blountsville,census_vtd10
16212,919,100.0,0,0.0,0,100.0,1,55.0,exact_name,1,16212,2010,BLOUNT,SUMMIT,000008,Summit,census_vtd10
16213,921,100.0,0,0.0,0,100.0,1,33.33333333333333,exact_name,1,16213,2010,BLOUNT,ROYAL,000009,Royal,census_vtd10
16214,918,100.0,0,0.0,0,100.0,1,30.434782608695656,exact_name,1,16214,2010,BLOUNT,BROOKSVILLE,000010,Brooksville,census_vtd10
16215,922,100.0,0,0.0,0,100.0,1,45.45454545454546,exact_name,1,16215,2010,BLOUNT,SNEAD,000011,Snead,census_vtd10
16216,920,100.0,0,0.0,0,100.0,1,45.45454545454546,exact_name,1,16216,2010,BLOUNT,SUSAN MOORE,000012,Susan Moore,census_vtd10
16217,923,100.0,0,0.0,0,100.0,1,55.0,exact_name,1,16217,2010,BLOUNT,MURPHREE VALLEY,000013,Murphree Valley,census_vtd10
16218,925,83.87096774193549,0,0.0,0,83.87096774193549,1,2.3894862604539924,review,0,16218,2010,BLOUNT,ST. MOUNTAIN,000014,Straight Mountain,census_vtd10
16219,927,100.0,0,0.0,0,100.0,1,28.0,exact_name,1,16219,2010,BLOUNT,HOLLY SPRINGS,000015,Holly Springs,census_vtd10
16220,930,100.0,0,0.0,0,100.0,1,46.0,exact_name,1,16220,2010,BLOUNT,CLEVELAND,000016,Cleveland,census_vtd10
16221,931,100.0,0,0.0,0,100.0,1,52.0,exact_name,1,16221,2010,BLOUNT,LOCUST FORK,000017,Locust Fork,census_vtd10
16222,935,100.0,0,0.0,0,100.0,1,50.0,exact_name,1,16222,2010,BLOUNT,DALLAS-SELFVILLE,000018,Dallas /Selfville,census_vtd10
16223,934,100.0,0,0.0,0,100.0,1,50.909090909090914,exact_name,1,16223,2010,BLOUNT,REMLAP,000019,Remlap,census_vtd10
16224,929,100.0,0,0.0,0,100.0,1,27.61904761904762,exact_name,1,16224,2010,BLOUNT,PINE MOUNTAIN,000020,Pine Mountain,census_vtd10
16225,928,90.0,0,0.0,0,90.0,1,38.57142857142858,review,0,16225,2010,BLOUNT,ALLGOOD TOWN HALL,000021,Allgood,census_vtd10
16226,926,100.0,0,0.0,0,100.0,1,38.46153846153846,exact_name,1,16226,2010,BLOUNT,ONEONTA,000022,Oneonta,census_vtd10
16227,924,100.0,0,0.0,0,100.0,1,33.33333333333333,exact_name,1,16227,2010,BLOUNT,ROSA,000023,Rosa,census_vtd10
16228,913,100.0,0,0.0,0,100.0,1,28.0,exact_name,1,16228,2010,BLOUNT,ROCK SPRINGS,000024,Rock Springs,census_vtd10
16231,1422,100.0,0,0.0,0,100.0,1,50.909090909090914,exact_name,1,16231,2010,BULLOCK,MIDWAY,0001-1,Midway,census_vtd10
16232,1424,100.0,0,0.0,0,100.0,1,50.909090909090914,exact_name,1,16232,2010,BULLOCK,THREE NOTCH,0001-2,Three Notch,census_vtd10
16233,1425,100.0,0,0.0,0,100.0,1,50.0,exact_name,1,16233,2010,BULLOCK,GUERRYTON,0002-1,Guerryton,census_vtd10
16234,1426,100.0,0,0.0,0,100.0,1,55.0,exact_name,1,16234,2010,BULLOCK,PEACHBURG,0002-2,Peachburg,census_vtd10
16235,1427,91.89189189189189,0,0.0,0,91.89189189189189,1,46.89189189189189,review,0,16235,2010,BULLOCK,UNION SPGS-ARMORY,000003,Union Springs Armory,census_vtd10
16236,1433,100.0,0,0.0,0,100.0,1,57.14285714285714,exact_name,1,16236,2010,BULLOCK,ABERFOIL,0004-1,Aberfoil,census_vtd10
16237,1430,100.0,0,0.0,0,100.0,1,55.0,exact_name,1,16237,2010,BULLOCK,SARDIS,0004-2,Sardis,census_vtd10
16238,1423,100.0,0,0.0,0,100.0,1,50.909090909090914,exact_name,1,16238,2010,BULLOCK,INDIAN CREEK,000005,Indian Creek,census_vtd10
16239,1435,100.0,0,0.0,0,100.0,1,52.94117647058824,exact_name,1,16239,2010,BULLOCK,PEROTE,0006-1,Perote,census_vtd10
16240,1434,100.0,0,0.0,0,100.0,1,34.54545454545453,exact_name,1,16240,2010,BULLOCK,CORINTH,0006-2,Corinth,census_vtd10
16241,1431,100.0,0,0.0,0,100.0,1,50.0,exact_name,1,16241,2010,BULLOCK,INVERNESS,000007,Inverness,census_vtd10
16242,1436,95.0,0,0.0,0,95.0,1,50.0,review,0,16242,2010,BULLOCK,FITZPATRICK FIRE,0008-1,Fitzpatrick,census_vtd10
16243,1432,90.0,0,0.0,0,90.0,1,44.99999999999999,review,0,16243,2010,BULLOCK,THOMPSON NEW MT PLEASANT,0008-2,Thompson,census_vtd10
16244,1429,95.0,0,0.0,0,95.0,1,29.545454545454533,review,0,16244,2010,BULLOCK,CORNERSTONE FIRE,000009,Cornerstone,census_vtd10
16245,1428,100.0,0,0.0,0,100.0,1,55.0,exact_name,1,16245,2010,BULLOCK,POST OAK,000010,Post Oak,census_vtd10
16248,702,90.0,0,0.0,0,90.0,1,33.0,review,0,16248,2010,BUTLER,PROVIDENCE-VOTING HOUSE,000010,PROVIDENCE,census_vtd10
16249,724,90.0,0,0.0,0,90.0,1,42.0,review,0,16249,2010,BUTLER,INDUSTRY,000020,INDUSTRY SCHOOL HOUSE,census_vtd10
16250,725,96.55172413793103,0,0.0,0,96.55172413793103,1,51.55172413793103,review,0,16250,2010,BUTLER,STEINERS STORE,000050,STEINER'S STORE,census_vtd10
16251,726,90.0,0,0.0,0,90.0,1,33.0,review,0,16251,2010,BUTLER,MIDWAY - VOTING HOUSE,000060,MIDWAY,census_vtd10
16252,720,85.5,0,0.0,0,85.5,1,28.5,review,0,16252,2010,BUTLER,HARRISON - VOTING HOUSE,000070,HARRISON'S,census_vtd10
16253,716,90.0,0,0.0,0,90.0,1,4.5,review,0,16253,2010,BUTLER,SEARCY - VOLUNTEER FIRE,000080,SEARCY VOLUNTEER FIRE DEPT.,census_vtd10
16254,712,90.0,0,0.0,0,90.0,1,33.0,review,0,16254,2010,BUTLER,MANNINGHAM - VOTING HOUSE,000090,MANNINGHAM,census_vtd10
16255,706,86.36363636363636,0,0.0,0,86.36363636363636,1,18.181818181818173,review,0,16255,2010,BUTLER,MONTEREY - OLD SCHOOL HOU,001000,MONTEREY SCHOOL HOUSE,census_vtd10
16256,703,90.0,0,0.0,0,90.0,1,33.0,review,0,16256,2010,BUTLER,FOREST HOME - VOTING HOUS,001100,FOREST HOME,census_vtd10
16257,704,85.5,0,0.0,0,85.5,1,0.0,review,0,16257,2010,BUTLER,NEW ARMORY,001405,GEORGIANA NATIONAL GUARD ARMORY,census_vtd10
16258,707,90.0,0,0.0,0,90.0,1,4.5,review,0,16258,2010,BUTLER,HEALTH DEPARTMENT,001203,Office of the Butler County Health Department,census_vtd10
16259,718,100.0,0,0.0,0,100.0,1,13.84615384615384,exact_name,1,16259,2010,BUTLER,CENTRAL VOL. FIRE DEPT.,012-4A,CENTRAL VOLUNTEER FIRE DEPT.,census_vtd10
16260,709,100.0,0,0.0,0,100.0,1,43.0,exact_name,1,16260,2010,BUTLER,DUNBAR COMMUNITY CTR.,012-4B,DUNBAR COMMUNITY CENTER,census_vtd10
16261,705,90.0,0,0.0,0,90.0,1,33.0,review,0,16261,2010,BUTLER,GARLAND-VOTING HOUSE,001300,GARLAND,census_vtd10
16262,704,59.99999999999999,0,0.0,0,59.99999999999999,1,6.0,review,0,16262,2010,BUTLER,GEORGIANA NUTRITION CTR.,001405,GEORGIANA NATIONAL GUARD ARMORY,census_vtd10
16263,722,100.0,0,0.0,0,100.0,1,14.5,exact_name,1,16263,2010,BUTLER,CHAPMAN POST OFFICE,001401,CHAPMAN POST OFFICE,census_vtd10
16264,717,90.0,0,0.0,0,90.0,1,42.0,review,0,16264,2010,BUTLER,FRIENDSHIP,001500,FRIENDSHIP SCHOOL HOUSE,census_vtd10
16265,711,90.0,0,0.0,0,90.0,1,33.0,review,0,16265,2010,BUTLER,ROCKY CREEK-VOTING HOUSE,001600,ROCKY CREEK,census_vtd10
16266,723,85.5,0,0.0,0,85.5,1,27.72222222222223,review,0,16266,2010,BUTLER,CENTER HILL-VOTING HOUSE,001700,CENTRAL HILL,census_vtd10
16267,710,77.14285714285715,0,0.0,0,77.14285714285715,1,28.051948051948067,review,0,16267,2010,BUTLER,BOLLING-VOTING HOUSE,002000,BOILING,census_vtd10
16268,719,84.0,0,0.0,0,84.0,1,27.0,review,0,16268,2010,BUTLER,MCLAINS - VOTING HOUSE,001800,MCLAIN'S,census_vtd10
16269,721,83.33333333333334,0,0.0,0,83.33333333333334,1,30.000000000000007,review,0,16269,2010,BUTLER,MCKENZIE TOWN HALL,001900,MCKENZIE CITY HALL,census_vtd10
16272,1317,45.87804878048781,0,0.0,0,45.87804878048781,1,1.2693531283138952,review,0,16272,2010,CALHOUN,GLENWOOD MEADOWS MTG. RM.,000019,Saks High/ Leatherwood Civil Defence Voting District,census_vtd10
16273,1319,85.5,0,0.0,0,85.5,1,0.0,review,0,16273,2010,CALHOUN,EAGLEPOINT CHURCH,000016,Bethel United Methodist Church,census_vtd10
