cycle,chamber,district,baseline_low,baseline_high,baseline_mean,baseline_scenario_sd,baseline_range
2010,senate,26,20.261810311356754,20.261810311356754,20.261810311356754,0.0,0.0
2010,senate,27,-12.49939207695359,-12.499392076953585,-12.499392076953589,2.3498992183808826e-15,5.329070518200751e-15
2010,senate,28,21.841045833956652,21.841045833956656,21.841045833956656,1.7763568394002505e-15,3.552713678800501e-15
2010,senate,29,-15.923148745112734,-15.923148745112734,-15.923148745112735,0.0,0.0
2010,senate,30,-16.05842322857084,-16.058423228570838,-16.05842322857084,1.7763568394002505e-15,3.552713678800501e-15
2010,senate,31,-25.73280684779344,-25.73280684779344,-25.732806847793437,0.0,0.0
2010,senate,32,-56.884306986007466,-56.884306986007466,-56.88430698600747,0.0,0.0
2010,senate,33,13.049282454604452,13.049282454604453,13.049282454604452,8.881784197001252e-16,1.7763568394002505e-15
2010,senate,34,-33.11431781410919,-33.11431781410919,-33.11431781410919,0.0,0.0
2010,senate,35,-8.156060683148628,-8.156060683148628,-8.156060683148628,0.0,0.0
2014,house,1,-23.460643742750282,-20.95619650956908,-21.45708595620532,1.1200228518908872,2.504447233181203
2014,house,2,-42.06448488445948,-39.097447294153255,-41.471077366398234,1.3268995487443787,2.9670375903062265
2014,house,3,-12.105315115611784,-11.634913801588127,-11.72899406439286,0.21036986297242458,0.4704013140236576
2014,house,4,-49.672387593667786,-49.33482238919591,-49.40233543009028,0.15096374880754793,0.3375652044718791
2014,house,5,-47.68782188789504,-46.07265242841615,-47.364787995999265,0.7223257413152788,1.6151694594788921
2014,house,6,-39.63750664224314,-38.390646062448816,-38.640018178407686,0.5576130029769815,1.2468605797943226
2014,house,7,-33.16508617791213,-33.028038299478794,-33.05544787516546,0.06128967446981254,0.13704787843333577
2014,house,8,-48.30172840110251,-39.735668014342984,-41.44888009169489,3.8308586648324874,8.566060386759524
2014,house,9,-56.491043546543395,-52.55073117923072,-55.57217965914053,1.6917679568168111,3.9403123673126714
2014,house,10,-38.356171806080916,-33.54326757677252,-37.39359096021924,2.1523962051859606,4.812904229308394
2014,house,11,-60.45347595601453,-60.29383479650553,-60.41808929726237,0.06959477472242571,0.15964115950900037
2014,house,12,-59.05649853029346,-57.56861914973478,-57.98431912894762,0.6073557778657233,1.487879380558681
2014,house,13,-47.279624478365214,-46.31128852719373,-47.08595728813092,0.43305300237527,0.9683359511714826
2014,house,14,-41.52666875983131,-37.8461835132575,-40.790571710516545,1.645963040304822,3.6804852465738094
2014,house,15,-18.549240379116874,-17.129214301963383,-18.265235163686178,0.6350549676675131,1.4200260771534907
2014,house,16,-24.63198262245972,-24.231854659732488,-24.536900495017985,0.17156126624369014,0.4001279627272325
2014,house,17,-45.08689960457285,-44.482741716324334,-44.60357329397404,0.27018762145328,0.6041578882485155
2014,house,18,-25.835010766688466,-25.29781466072039,-25.72757154549485,0.24024140203855907,0.537196105968075
2014,house,19,-20.57847183083762,6.256435463779356,0.8894540048559609,12.000935376133707,26.834907294616976
2014,house,20,-45.47021746445456,-40.186317641446536,-44.413437499852954,2.363031838109008,5.283899823008021
2014,house,21,-39.89284883382068,-34.17132428265052,-38.748543923586645,2.558743566270092,5.7215245511701625
2014,house,22,-46.899268847833284,-38.59264669706087,-45.237944417678804,3.7148343585065247,8.306622150772412
2014,house,23,-35.86321544131286,-35.70145524436034,-35.73380728375084,0.07234135928791859,0.16176019695252108
2014,house,24,-52.39253852392538,-52.39253852392538,-52.39253852392538,0.0,0.0
2014,house,25,-39.90090424774344,-39.227807107926125,-39.76628481977998,0.3010181920184396,0.6730971398173153
2014,house,26,-58.6201469572796,-57.38990930141186,-57.84948932879318,0.5236018392322903,1.2302376558677395
2014,house,27,-59.12943897515541,-57.182400017374704,-58.30713835759284,0.9395396561083125,1.9470389577807055
2014,house,28,-28.028045856967076,-11.121611458667903,-14.502898338327736,7.560787314347541,16.906434398299172
