cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,core_index_margin,core_index_offices,baseline_allocation_method,core_index_complete,contested_two_party,raw_overperformance,score_status
1994,house,70,5757.0,0.0,5757.0,100.0,59.155578637294795,2,legislative_activity_split_provisional,True,False,40.844421362705205,provisional_raw_baseline_not_fitted_cmo
1994,house,71,9219.0,0.0,9219.0,100.0,41.796874969593745,2,legislative_activity_split_provisional,True,False,58.203125030406255,provisional_raw_baseline_not_fitted_cmo
1994,house,72,7631.0,2516.0,10147.0,50.4089878781906,32.22105173359933,2,legislative_activity_split_provisional,True,True,18.18793614459127,provisional_raw_baseline_not_fitted_cmo
1994,house,73,4101.0,11253.0,15354.0,-46.580695584212584,-46.11843235588606,2,legislative_activity_split_provisional,True,True,-0.46226322832652755,provisional_raw_baseline_not_fitted_cmo
1994,house,74,10410.0,0.0,10410.0,100.0,-57.1286289748631,2,legislative_activity_split_provisional,True,False,157.1286289748631,provisional_raw_baseline_not_fitted_cmo
1994,house,75,4646.0,9283.0,13929.0,-33.29025773565942,-43.96933487445888,2,legislative_activity_split_provisional,True,True,10.679077138799464,provisional_raw_baseline_not_fitted_cmo
1994,house,76,5965.0,2613.0,8578.0,39.076707857309394,29.793138529762246,2,legislative_activity_split_provisional,True,True,9.283569327547148,provisional_raw_baseline_not_fitted_cmo
1994,house,77,5784.0,0.0,5784.0,100.0,47.391951857452106,2,legislative_activity_split_provisional,True,False,52.608048142547894,provisional_raw_baseline_not_fitted_cmo
1994,house,78,5897.0,0.0,5897.0,100.0,50.424126247333334,2,legislative_activity_split_provisional,True,False,49.575873752666666,provisional_raw_baseline_not_fitted_cmo
1994,house,79,6019.0,4604.0,10623.0,13.320154382001318,-34.46901746173967,2,legislative_activity_split_provisional,True,True,47.78917184374099,provisional_raw_baseline_not_fitted_cmo
1994,house,80,5101.0,3082.0,8183.0,24.67310277404375,-3.6777744145291837,2,legislative_activity_split_provisional,True,True,28.35087718857293,provisional_raw_baseline_not_fitted_cmo
1994,house,81,8480.0,0.0,8480.0,100.0,-16.715462796311286,2,official_ballot_single_district,True,False,116.71546279631129,provisional_raw_baseline_not_fitted_cmo
1994,house,82,7716.0,0.0,7716.0,100.0,49.537295199803566,2,legislative_activity_split_provisional,True,False,50.462704800196434,provisional_raw_baseline_not_fitted_cmo
1994,house,83,4480.0,0.0,4480.0,100.0,40.380059864231136,2,legislative_activity_split_provisional,True,False,59.619940135768864,provisional_raw_baseline_not_fitted_cmo
1994,house,84,6801.0,0.0,6801.0,100.0,4.904899932115119,2,legislative_activity_split_provisional,True,False,95.09510006788489,provisional_raw_baseline_not_fitted_cmo
1994,house,85,3526.0,1843.0,5369.0,31.346619482212702,7.750508409472525,2,legislative_activity_split_provisional,True,True,23.59611107274018,provisional_raw_baseline_not_fitted_cmo
1994,house,86,5368.0,3997.0,9365.0,14.639615589962627,-30.3516565290807,2,legislative_activity_split_provisional,True,True,44.99127211904333,provisional_raw_baseline_not_fitted_cmo
1994,house,87,4277.0,7974.0,12251.0,-30.177128397681823,-29.13045869572815,2,legislative_activity_split_provisional,True,True,-1.0466697019536717,provisional_raw_baseline_not_fitted_cmo
1994,house,88,6575.0,6090.0,12665.0,3.8294512435846824,-42.023113198668504,2,legislative_activity_split_provisional,True,True,45.85256444225319,provisional_raw_baseline_not_fitted_cmo
1994,house,89,7798.0,0.0,7798.0,100.0,-15.509485768399962,2,legislative_activity_split_provisional,True,False,115.50948576839997,provisional_raw_baseline_not_fitted_cmo
1994,house,90,6209.0,0.0,6209.0,100.0,-13.89269962548736,2,legislative_activity_split_provisional,True,False,113.89269962548735,provisional_raw_baseline_not_fitted_cmo
1994,house,91,11761.0,0.0,11761.0,100.0,-15.055288430472462,2,official_ballot_single_district,True,False,115.05528843047246,provisional_raw_baseline_not_fitted_cmo
1994,house,93,3397.0,6184.0,9581.0,-29.088821626135058,-31.89699250140647,2,legislative_activity_split_provisional,True,True,2.8081708752714114,provisional_raw_baseline_not_fitted_cmo
1994,house,94,12329.0,0.0,12329.0,100.0,-41.95684190071079,2,legislative_activity_split_provisional,True,False,141.9568419007108,provisional_raw_baseline_not_fitted_cmo
1994,house,95,3908.0,8801.0,12709.0,-38.500275395389096,-40.22171106539562,2,legislative_activity_split_provisional,True,True,1.721435670006521,provisional_raw_baseline_not_fitted_cmo
1994,house,96,5676.0,3959.0,9635.0,17.82044628956928,-12.398150920209122,2,legislative_activity_split_provisional,True,True,30.2185972097784,provisional_raw_baseline_not_fitted_cmo
