person_id,candidate,max_cmo,min_cmo,median_cmo,stability_low,stability_high,cycles_observed,earliest_cycle,latest_cycle,chambers,districts,incumbent_cycles,wins,partial_issue_count,partial_evidence_records,full_name,identity_researchable,research_tail,extreme_cmo,tail_result_stable,priority_score,high_tail_rank,low_tail_rank,research_status,target_evidence
ALPERSON-ELLIOT-D-DICK-WEAVER,"ELLIOT D. ""DICK"" WEAVER",-24.153265246268056,-24.153265246268056,-24.153265246268056,-33.37905550817243,-14.927474984363688,1,2006,2006,house,64,0,0,,,True,True,high_overperformance,-24.153265246268056,False,31.61900114906778,338,44,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-JOHN-JODY-LETSON,JOHN 'Jody' LETSON,16.11830793561942,-0.1499156507621961,7.984196142428612,6.892517673715052,9.075874611142172,2,2010,2014,house,7,1,0,2.0,2.0,True,True,high_overperformance,16.11830793561942,True,31.61136937895997,85,195,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MARTIN-JAMES-M-JIMMY,"Martin, James M. ""Jimmy""",22.01709420993928,22.01709420993928,22.01709420993928,12.791303948034908,31.242884471843645,1,2002,2002,house,42,0,1,,,True,True,high_overperformance,22.01709420993928,True,31.482830112739006,59,339,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-HANK-SANDERS,HANK SANDERS,-19.982753736422215,-19.982753736422215,-19.982753736422215,-29.208543998326583,-10.75696347451785,1,2006,2006,senate,23,0,1,2.0,2.0,True,True,high_overperformance,-19.982753736422215,False,31.44848963922194,320,64,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-HAYDEN,Hayden,-4.177966638384341,-15.864095613424888,-10.021031125904614,-13.403756900288707,-6.638305351520518,2,1994,1998,house,72,0,2,2.0,2.0,False,True,low_overperformance,-15.864095613424888,True,31.357157056765438,226,85,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MICHAEL-J-GLADDEN,Michael J. Gladden,-23.79487512754682,-23.79487512754682,-23.79487512754682,-33.02066538945119,-14.569084865642452,1,2014,2014,house,29,1,0,,,True,True,high_overperformance,-23.79487512754682,False,31.260611030346546,337,45,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-CAROTHERS,Carothers,25.40855377827529,25.40855377827529,25.40855377827529,16.182763516370922,34.634344040179656,1,1994,1994,house,86,0,1,,,False,False,high_overperformance,25.40855377827529,True,30.874289681075016,48,347,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-SCOTT-A-BUZBEE,SCOTT A BUZBEE,-21.196152481927676,-21.196152481927676,-21.196152481927676,-30.42194274383204,-11.970362220023304,1,2010,2010,senate,35,0,0,1.0,1.0,True,True,high_overperformance,-21.196152481927676,False,30.6618883847274,326,58,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-GRAY-PRESTON-R-JR,"Gray, Preston R., Jr.",-22.80879814474625,-22.80879814474625,-22.80879814474625,-32.03458840665061,-13.58300788284188,1,2002,2002,senate,12,0,0,,,True,True,high_overperformance,-22.80879814474625,False,30.274534047545973,335,47,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-LARRY-MEANS,Larry Means,16.80102713840006,16.80102713840006,16.80102713840006,7.57523687649569,26.026817400304427,1,2014,2014,senate,10,0,0,2.0,2.0,True,True,high_overperformance,16.80102713840006,True,30.266763041199784,82,320,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MULLINS,Mullins,-26.77719041840247,-26.77719041840247,-26.77719041840247,-36.002980680306834,-17.5514001564981,1,1998,1998,house,51,0,0,,,False,False,high_overperformance,-26.77719041840247,False,30.242926321202194,344,37,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-JOHN-ROBINSON,John Robinson,10.772683498389448,10.772683498389448,10.772683498389448,1.5468932364850794,19.998473760293816,1,2014,2014,house,23,1,0,13.0,86.0,True,True,high_overperformance,10.772683498389448,True,30.238419401189176,119,285,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-DAVID-S-DARBY,DAVID S. DARBY,-18.45680543546084,-18.45680543546084,-18.45680543546084,-27.682595697365205,-9.231015173556468,1,2010,2010,house,92,0,0,2.0,2.0,True,True,high_overperformance,-18.45680543546084,False,29.922541338260565,316,68,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-REX-CHEATHAM,Rex Cheatham,20.26491815010981,20.26491815010981,20.26491815010981,11.039127888205446,29.490708412014182,1,2014,2014,house,8,0,0,,,True,True,high_overperformance,20.26491815010981,True,29.730654052909536,69,328,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-ALVIN-HOLMES,Alvin Holmes,10.246033507645793,10.246033507645793,10.246033507645793,1.0202432457414226,19.47182376955016,1,2014,2014,house,78,1,1,14.0,81.0,True,True,high_overperformance,10.246033507645793,True,29.71176941044552,122,282,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-RON-CRUMPTON,Ron Crumpton,-22.05846893251289,-22.05846893251289,-22.05846893251289,-31.284259194417263,-12.832678670608528,1,2014,2014,senate,11,0,0,,,True,True,high_overperformance,-22.05846893251289,False,29.524204835312617,332,51,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-DOLBARE,Dolbare,13.911568568218936,1.2840770598910254,7.597822814054981,4.685778306314568,10.509867321795394,2,1994,1998,house,65,0,2,2.0,2.0,False,True,high_overperformance,13.911568568218936,True,29.404630011559483,95,212,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-BLACK,Black,13.83330796133159,5.320570142434491,9.576939051883041,4.607517699427222,14.54636040433886,2,1994,1998,house,3,0,2,2.0,2.0,False,True,high_overperformance,13.83330796133159,True,29.32636940467214,96,243,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-FRANK-MCDANIEL,FRANK MCDANIEL,19.85822511400461,19.85822511400461,19.85822511400461,10.632434852100245,29.08401537590898,1,2006,2006,house,26,0,1,,,True,True,high_overperformance,19.85822511400461,True,29.323961016804336,71,327,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-WILLIAM-E-THIGPEN-SR,"WILLIAM E. THIGPEN, SR.",11.470108117331922,11.470108117331922,11.470108117331922,2.2443178554275534,20.69589837923629,1,2010,2010,house,16,1,0,4.0,5.0,True,True,high_overperformance,11.470108117331922,True,28.935844020131647,112,292,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-WILBURN,Wilburn,-25.38445434820028,-25.38445434820028,-25.38445434820028,-34.610244610104644,-16.15866408629591,1,1998,1998,house,20,0,0,,,False,False,high_overperformance,-25.38445434820028,False,28.850190251000004,341,41,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MEANS-LARRY,"Means, Larry",17.154048054247234,17.154048054247234,17.154048054247234,7.928257792342865,26.3798383161516,1,2002,2002,senate,10,0,1,1.0,1.0,True,True,high_overperformance,17.154048054247234,True,28.61978395704696,79,323,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-ENFINGER-JEFF,"Enfinger, Jeff",16.89616054639596,16.89616054639596,16.89616054639596,7.670370284491593,26.12195080830033,1,2002,2002,senate,7,0,1,1.0,1.0,True,True,high_overperformance,16.89616054639596,True,28.361896449195687,81,321,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
