model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
pooled_lag,leave_state_out,TN,321,15.565058820492085,20.321564645378967,5.807812442156965,0.7663551401869159,19.749065715585793
pooled_lag,leave_state_out,TX,426,11.632659819137372,15.256135301151925,-1.4077781182729414,0.823943661971831,15.300216987215903
portable_temporal,leave_state_out,AL,52,11.36802413964623,14.602648267291027,5.368391394580144,0.8269230769230769,10.051582853644412
portable_temporal,leave_state_out,AR,110,12.480234177422414,15.318879992113501,-7.491633787307481,0.8545454545454545,
portable_temporal,leave_state_out,FL,69,15.83999248332352,18.74064195083853,15.759838019569832,0.8695652173913043,18.74064195083853
portable_temporal,leave_state_out,GA,96,8.233909215362386,10.347520611719593,-6.142785527572793,0.9166666666666666,7.25528075984234
portable_temporal,leave_state_out,KY,66,14.148329180510824,18.72650100425513,-0.5639140364465827,0.803030303030303,17.494236375045375
portable_temporal,leave_state_out,MO,812,10.702223989216698,13.51459554032656,-2.8923811159450357,0.8817733990147784,12.79885470562445
portable_temporal,leave_state_out,NC,316,10.466621451865048,13.086746039857042,-1.53455475008314,0.8575949367088608,11.865420330844715
portable_temporal,leave_state_out,OK,98,14.358861017552194,18.64691811679861,9.625234273277922,0.8061224489795918,22.398364789610607
portable_temporal,leave_state_out,SC,36,13.174871037992537,16.09587816504499,9.802292069575564,0.8611111111111112,11.462171566216746
portable_temporal,leave_state_out,TN,321,12.837783535560982,16.585645516510613,4.383958991508737,0.8598130841121495,15.895062791247765
portable_temporal,leave_state_out,TX,426,10.411315552598879,12.923422400268604,-1.771740494324543,0.8497652582159625,12.918698640633872
state_chamber_incumbency,leave_state_out,AL,52,14.748508192739605,18.87823556397606,11.508470930509988,0.8076923076923077,4.499911084933338
state_chamber_incumbency,leave_state_out,AR,110,19.1726141755007,23.034519121923523,-18.864429399759217,0.8090909090909091,
state_chamber_incumbency,leave_state_out,FL,69,22.3499532323611,24.661660732836307,21.79987282502485,0.8695652173913043,24.661660732836307
state_chamber_incumbency,leave_state_out,GA,96,15.131870473522048,17.249231393151284,-14.312673323336346,0.8229166666666666,16.729487999354706
state_chamber_incumbency,leave_state_out,KY,66,16.372696169243255,20.62136366710029,-3.8658827088258256,0.7878787878787878,19.688979352183505
state_chamber_incumbency,leave_state_out,MO,812,12.747577909129795,15.742763136873734,-9.555461070195099,0.8041871921182266,15.782926432546622
