county,precinct,office,district,party,candidate,votes
Franklin,NEWBURG PRCT 20,Governor,,DEM,Parker Griffith,52
Franklin,NEWBURG PRCT 20,Governor,,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,Governor,,REP,Robert Bentley,42
Franklin,NEWBURG PRCT 20,Governor,,,Over Votes,0
Franklin,NEWBURG PRCT 20,Governor,,,Under Votes,5
Franklin,NEWBURG PRCT 20,Lieutenant Governor,,DEM,"James C. Fields, Jr.",53
Franklin,NEWBURG PRCT 20,Lieutenant Governor,,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,Lieutenant Governor,,REP,Kay Ivey,36
Franklin,NEWBURG PRCT 20,Lieutenant Governor,,,Over Votes,0
Franklin,NEWBURG PRCT 20,Lieutenant Governor,,,Under Votes,10
Franklin,NEWBURG PRCT 20,State House,7,DEM,John (Jody) Letson,70
Franklin,NEWBURG PRCT 20,State House,7,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,State House,7,REP,Ken Johnson,26
Franklin,NEWBURG PRCT 20,State House,7,,Over Votes,0
Franklin,NEWBURG PRCT 20,State House,7,,Under Votes,3
Franklin,NEWBURG PRCT 20,State Senate,6,DEM,"Roger Bedford, Jr.",71
Franklin,NEWBURG PRCT 20,State Senate,6,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,State Senate,6,REP,Larry Stutts,24
Franklin,NEWBURG PRCT 20,State Senate,6,,Over Votes,0
Franklin,NEWBURG PRCT 20,State Senate,6,,Under Votes,4
Franklin,NEWBURG PRCT 20,State Treasurer,,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,State Treasurer,,REP,Young Boozer,39
Franklin,NEWBURG PRCT 20,State Treasurer,,,Over Votes,0
Franklin,NEWBURG PRCT 20,State Treasurer,,,Under Votes,60
Franklin,NEWBURG PRCT 20,U.S. House,4,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,U.S. House,4,REP,Robert Aderholt,44
Franklin,NEWBURG PRCT 20,U.S. House,4,,Over Votes,0
Franklin,NEWBURG PRCT 20,U.S. House,4,,Under Votes,55
Franklin,NEWBURG PRCT 20,U.S. Senate,,NON,Write-ins,0
Franklin,NEWBURG PRCT 20,U.S. Senate,,REP,Jeff Sessions,44
Franklin,NEWBURG PRCT 20,U.S. Senate,,,Over Votes,0
Franklin,NEWBURG PRCT 20,U.S. Senate,,,Under Votes,55
Franklin,PHIL CAMPBELL PRCT 9,Attorney General,,DEM,Joe Hubbard,160
Franklin,PHIL CAMPBELL PRCT 9,Attorney General,,NON,Write-ins,0
Franklin,PHIL CAMPBELL PRCT 9,Attorney General,,REP,Luther Strange,334
Franklin,PHIL CAMPBELL PRCT 9,Attorney General,,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,Attorney General,,,Under Votes,17
Franklin,PHIL CAMPBELL PRCT 9,Governor,,DEM,Parker Griffith,151
Franklin,PHIL CAMPBELL PRCT 9,Governor,,NON,Write-ins,0
Franklin,PHIL CAMPBELL PRCT 9,Governor,,REP,Robert Bentley,352
Franklin,PHIL CAMPBELL PRCT 9,Governor,,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,Governor,,,Under Votes,8
Franklin,PHIL CAMPBELL PRCT 9,Lieutenant Governor,,DEM,"James C. Fields, Jr.",156
Franklin,PHIL CAMPBELL PRCT 9,Lieutenant Governor,,NON,Write-ins,0
Franklin,PHIL CAMPBELL PRCT 9,Lieutenant Governor,,REP,Kay Ivey,332
Franklin,PHIL CAMPBELL PRCT 9,Lieutenant Governor,,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,Lieutenant Governor,,,Under Votes,23
Franklin,PHIL CAMPBELL PRCT 9,State House,18,DEM,Johnny MacK Morrow,49
Franklin,PHIL CAMPBELL PRCT 9,State House,18,NON,Write-ins,0
Franklin,PHIL CAMPBELL PRCT 9,State House,18,REP,Gerry Wallace,35
Franklin,PHIL CAMPBELL PRCT 9,State House,18,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,State House,18,,Under Votes,2
Franklin,PHIL CAMPBELL PRCT 9,State House,7,DEM,John (Jody) Letson,188
Franklin,PHIL CAMPBELL PRCT 9,State House,7,NON,Write-ins,0
Franklin,PHIL CAMPBELL PRCT 9,State House,7,REP,Ken Johnson,217
Franklin,PHIL CAMPBELL PRCT 9,State House,7,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,State House,7,,Under Votes,20
Franklin,PHIL CAMPBELL PRCT 9,State Senate,6,DEM,"Roger Bedford, Jr.",261
Franklin,PHIL CAMPBELL PRCT 9,State Senate,6,NON,Write-ins,0
Franklin,PHIL CAMPBELL PRCT 9,State Senate,6,REP,Larry Stutts,246
Franklin,PHIL CAMPBELL PRCT 9,State Senate,6,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,State Senate,6,,Under Votes,4
Franklin,PHIL CAMPBELL PRCT 9,State Treasurer,,NON,Write-ins,6
Franklin,PHIL CAMPBELL PRCT 9,State Treasurer,,REP,Young Boozer,335
Franklin,PHIL CAMPBELL PRCT 9,State Treasurer,,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,State Treasurer,,,Under Votes,170
Franklin,PHIL CAMPBELL PRCT 9,U.S. House,4,NON,Write-ins,7
Franklin,PHIL CAMPBELL PRCT 9,U.S. House,4,REP,Robert Aderholt,395
Franklin,PHIL CAMPBELL PRCT 9,U.S. House,4,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,U.S. House,4,,Under Votes,109
Franklin,PHIL CAMPBELL PRCT 9,U.S. Senate,,NON,Write-ins,7
Franklin,PHIL CAMPBELL PRCT 9,U.S. Senate,,REP,Jeff Sessions,390
Franklin,PHIL CAMPBELL PRCT 9,U.S. Senate,,,Over Votes,0
Franklin,PHIL CAMPBELL PRCT 9,U.S. Senate,,,Under Votes,114
Franklin,PROVISIONAL,Attorney General,,DEM,Joe Hubbard,0
Franklin,PROVISIONAL,Attorney General,,NON,Write-ins,0
Franklin,PROVISIONAL,Attorney General,,REP,Luther Strange,0
Franklin,PROVISIONAL,Attorney General,,,Over Votes,0
Franklin,PROVISIONAL,Attorney General,,,Under Votes,0
Franklin,PROVISIONAL,Governor,,DEM,Parker Griffith,0
Franklin,PROVISIONAL,Governor,,NON,Write-ins,0
Franklin,PROVISIONAL,Governor,,REP,Robert Bentley,0
Franklin,PROVISIONAL,Governor,,,Over Votes,0
Franklin,PROVISIONAL,Governor,,,Under Votes,0
Franklin,PROVISIONAL,Lieutenant Governor,,DEM,"James C. Fields, Jr.",0
Franklin,PROVISIONAL,Lieutenant Governor,,NON,Write-ins,0
Franklin,PROVISIONAL,Lieutenant Governor,,REP,Kay Ivey,0
Franklin,PROVISIONAL,Lieutenant Governor,,,Over Votes,0
Franklin,PROVISIONAL,Lieutenant Governor,,,Under Votes,0
Franklin,PROVISIONAL,State House,18,DEM,Johnny MacK Morrow,0
Franklin,PROVISIONAL,State House,18,NON,Write-ins,0
Franklin,PROVISIONAL,State House,18,REP,Gerry Wallace,0
Franklin,PROVISIONAL,State House,18,,Over Votes,0
Franklin,PROVISIONAL,State House,18,,Under Votes,0
Franklin,PROVISIONAL,State House,7,DEM,John (Jody) Letson,0
Franklin,PROVISIONAL,State House,7,NON,Write-ins,0
Franklin,PROVISIONAL,State House,7,REP,Ken Johnson,0
Franklin,PROVISIONAL,State House,7,,Over Votes,0
Franklin,PROVISIONAL,State House,7,,Under Votes,0
Franklin,PROVISIONAL,State Senate,6,DEM,"Roger Bedford, Jr.",0
Franklin,PROVISIONAL,State Senate,6,NON,Write-ins,0
Franklin,PROVISIONAL,State Senate,6,REP,Larry Stutts,0
Franklin,PROVISIONAL,State Senate,6,,Over Votes,0
Franklin,PROVISIONAL,State Senate,6,,Under Votes,0
Franklin,PROVISIONAL,State Treasurer,,NON,Write-ins,0
Franklin,PROVISIONAL,State Treasurer,,REP,Young Boozer,0
Franklin,PROVISIONAL,State Treasurer,,,Over Votes,0
Franklin,PROVISIONAL,State Treasurer,,,Under Votes,0
Franklin,PROVISIONAL,U.S. House,4,NON,Write-ins,0
Franklin,PROVISIONAL,U.S. House,4,REP,Robert Aderholt,0
Franklin,PROVISIONAL,U.S. House,4,,Over Votes,0
Franklin,PROVISIONAL,U.S. House,4,,Under Votes,0
Franklin,PROVISIONAL,U.S. Senate,,NON,Write-ins,0
Franklin,PROVISIONAL,U.S. Senate,,REP,Jeff Sessions,0
Franklin,PROVISIONAL,U.S. Senate,,,Over Votes,0
Franklin,PROVISIONAL,U.S. Senate,,,Under Votes,0
Franklin,RED BAY PRCT 5,Attorney General,,DEM,Joe Hubbard,231
Franklin,RED BAY PRCT 5,Attorney General,,NON,Write-ins,1
Franklin,RED BAY PRCT 5,Attorney General,,REP,Luther Strange,484
Franklin,RED BAY PRCT 5,Attorney General,,,Over Votes,0
Franklin,RED BAY PRCT 5,Attorney General,,,Under Votes,40
Franklin,RED BAY PRCT 5,Governor,,DEM,Parker Griffith,206
Franklin,RED BAY PRCT 5,Governor,,NON,Write-ins,0
Franklin,RED BAY PRCT 5,Governor,,REP,Robert Bentley,530
Franklin,RED BAY PRCT 5,Governor,,,Over Votes,1
Franklin,RED BAY PRCT 5,Governor,,,Under Votes,19
Franklin,RED BAY PRCT 5,Lieutenant Governor,,DEM,"James C. Fields, Jr.",213
Franklin,RED BAY PRCT 5,Lieutenant Governor,,NON,Write-ins,1
Franklin,RED BAY PRCT 5,Lieutenant Governor,,REP,Kay Ivey,496
Franklin,RED BAY PRCT 5,Lieutenant Governor,,,Over Votes,0
Franklin,RED BAY PRCT 5,Lieutenant Governor,,,Under Votes,46
Franklin,RED BAY PRCT 5,State House,18,DEM,Johnny MacK Morrow,480
Franklin,RED BAY PRCT 5,State House,18,NON,Write-ins,0
Franklin,RED BAY PRCT 5,State House,18,REP,Gerry Wallace,269
Franklin,RED BAY PRCT 5,State House,18,,Over Votes,1
Franklin,RED BAY PRCT 5,State House,18,,Under Votes,6
Franklin,RED BAY PRCT 5,State Senate,6,DEM,"Roger Bedford, Jr.",381
Franklin,RED BAY PRCT 5,State Senate,6,NON,Write-ins,0
Franklin,RED BAY PRCT 5,State Senate,6,REP,Larry Stutts,370
Franklin,RED BAY PRCT 5,State Senate,6,,Over Votes,0
Franklin,RED BAY PRCT 5,State Senate,6,,Under Votes,5
Franklin,RED BAY PRCT 5,State Treasurer,,NON,Write-ins,4
Franklin,RED BAY PRCT 5,State Treasurer,,REP,Young Boozer,505
Franklin,RED BAY PRCT 5,State Treasurer,,,Over Votes,0
Franklin,RED BAY PRCT 5,State Treasurer,,,Under Votes,247
Franklin,RED BAY PRCT 5,U.S. House,4,NON,Write-ins,9
Franklin,RED BAY PRCT 5,U.S. House,4,REP,Robert Aderholt,571
Franklin,RED BAY PRCT 5,U.S. House,4,,Over Votes,0
Franklin,RED BAY PRCT 5,U.S. House,4,,Under Votes,176
Franklin,RED BAY PRCT 5,U.S. Senate,,NON,Write-ins,11
Franklin,RED BAY PRCT 5,U.S. Senate,,REP,Jeff Sessions,561
Franklin,RED BAY PRCT 5,U.S. Senate,,,Over Votes,0
Franklin,RED BAY PRCT 5,U.S. Senate,,,Under Votes,184
Franklin,ROCKWOOD PRCT 10,Attorney General,,DEM,Joe Hubbard,96
Franklin,ROCKWOOD PRCT 10,Attorney General,,NON,Write-ins,0
Franklin,ROCKWOOD PRCT 10,Attorney General,,REP,Luther Strange,168
Franklin,ROCKWOOD PRCT 10,Attorney General,,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,Attorney General,,,Under Votes,13
Franklin,ROCKWOOD PRCT 10,Governor,,DEM,Parker Griffith,93
Franklin,ROCKWOOD PRCT 10,Governor,,NON,Write-ins,0
Franklin,ROCKWOOD PRCT 10,Governor,,REP,Robert Bentley,182
Franklin,ROCKWOOD PRCT 10,Governor,,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,Governor,,,Under Votes,2
Franklin,ROCKWOOD PRCT 10,Lieutenant Governor,,DEM,"James C. Fields, Jr.",99
Franklin,ROCKWOOD PRCT 10,Lieutenant Governor,,NON,Write-ins,0
Franklin,ROCKWOOD PRCT 10,Lieutenant Governor,,REP,Kay Ivey,161
Franklin,ROCKWOOD PRCT 10,Lieutenant Governor,,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,Lieutenant Governor,,,Under Votes,17
Franklin,ROCKWOOD PRCT 10,State House,18,DEM,Johnny MacK Morrow,182
Franklin,ROCKWOOD PRCT 10,State House,18,NON,Write-ins,0
Franklin,ROCKWOOD PRCT 10,State House,18,REP,Gerry Wallace,85
Franklin,ROCKWOOD PRCT 10,State House,18,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,State House,18,,Under Votes,10
Franklin,ROCKWOOD PRCT 10,State Senate,6,DEM,"Roger Bedford, Jr.",176
Franklin,ROCKWOOD PRCT 10,State Senate,6,NON,Write-ins,0
Franklin,ROCKWOOD PRCT 10,State Senate,6,REP,Larry Stutts,99
Franklin,ROCKWOOD PRCT 10,State Senate,6,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,State Senate,6,,Under Votes,2
Franklin,ROCKWOOD PRCT 10,State Treasurer,,NON,Write-ins,5
Franklin,ROCKWOOD PRCT 10,State Treasurer,,REP,Young Boozer,149
Franklin,ROCKWOOD PRCT 10,State Treasurer,,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,State Treasurer,,,Under Votes,123
Franklin,ROCKWOOD PRCT 10,U.S. House,4,NON,Write-ins,5
Franklin,ROCKWOOD PRCT 10,U.S. House,4,REP,Robert Aderholt,187
Franklin,ROCKWOOD PRCT 10,U.S. House,4,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,U.S. House,4,,Under Votes,85
Franklin,ROCKWOOD PRCT 10,U.S. Senate,,NON,Write-ins,4
Franklin,ROCKWOOD PRCT 10,U.S. Senate,,REP,Jeff Sessions,190
Franklin,ROCKWOOD PRCT 10,U.S. Senate,,,Over Votes,0
Franklin,ROCKWOOD PRCT 10,U.S. Senate,,,Under Votes,83
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Attorney General,,DEM,Joe Hubbard,178
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Attorney General,,NON,Write-ins,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Attorney General,,REP,Luther Strange,198
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Attorney General,,,Over Votes,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Attorney General,,,Under Votes,25
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Governor,,DEM,Parker Griffith,187
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Governor,,NON,Write-ins,1
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Governor,,REP,Robert Bentley,209
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Governor,,,Over Votes,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Governor,,,Under Votes,4
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Lieutenant Governor,,DEM,"James C. Fields, Jr.",181
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Lieutenant Governor,,NON,Write-ins,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Lieutenant Governor,,REP,Kay Ivey,192
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Lieutenant Governor,,,Over Votes,1
Franklin,RUSSELLVILLE ELEC_ PCT2-5,Lieutenant Governor,,,Under Votes,27
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State House,18,DEM,Johnny MacK Morrow,285
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State House,18,NON,Write-ins,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State House,18,REP,Gerry Wallace,113
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State House,18,,Over Votes,2
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State House,18,,Under Votes,1
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Senate,6,DEM,"Roger Bedford, Jr.",307
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Senate,6,NON,Write-ins,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Senate,6,REP,Larry Stutts,93
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Senate,6,,Over Votes,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Senate,6,,Under Votes,1
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Treasurer,,NON,Write-ins,6
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Treasurer,,REP,Young Boozer,213
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Treasurer,,,Over Votes,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,State Treasurer,,,Under Votes,182
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. House,4,NON,Write-ins,7
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. House,4,REP,Robert Aderholt,243
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. House,4,,Over Votes,0
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. House,4,,Under Votes,151
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. Senate,,NON,Write-ins,5
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. Senate,,REP,Jeff Sessions,249
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. Senate,,,Over Votes,1
Franklin,RUSSELLVILLE ELEC_ PCT2-5,U.S. Senate,,,Under Votes,146
Franklin,RUSSELLVILLE HIGH PRCT2-1,Attorney General,,DEM,Joe Hubbard,264
Franklin,RUSSELLVILLE HIGH PRCT2-1,Attorney General,,NON,Write-ins,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,Attorney General,,REP,Luther Strange,479
Franklin,RUSSELLVILLE HIGH PRCT2-1,Attorney General,,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,Attorney General,,,Under Votes,32
Franklin,RUSSELLVILLE HIGH PRCT2-1,Governor,,DEM,Parker Griffith,242
Franklin,RUSSELLVILLE HIGH PRCT2-1,Governor,,NON,Write-ins,3
Franklin,RUSSELLVILLE HIGH PRCT2-1,Governor,,REP,Robert Bentley,507
Franklin,RUSSELLVILLE HIGH PRCT2-1,Governor,,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,Governor,,,Under Votes,23
Franklin,RUSSELLVILLE HIGH PRCT2-1,Lieutenant Governor,,DEM,"James C. Fields, Jr.",286
Franklin,RUSSELLVILLE HIGH PRCT2-1,Lieutenant Governor,,NON,Write-ins,1
Franklin,RUSSELLVILLE HIGH PRCT2-1,Lieutenant Governor,,REP,Kay Ivey,439
Franklin,RUSSELLVILLE HIGH PRCT2-1,Lieutenant Governor,,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,Lieutenant Governor,,,Under Votes,49
Franklin,RUSSELLVILLE HIGH PRCT2-1,State House,18,DEM,Johnny MacK Morrow,507
Franklin,RUSSELLVILLE HIGH PRCT2-1,State House,18,NON,Write-ins,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,State House,18,REP,Gerry Wallace,257
Franklin,RUSSELLVILLE HIGH PRCT2-1,State House,18,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,State House,18,,Under Votes,11
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Senate,6,DEM,"Roger Bedford, Jr.",562
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Senate,6,NON,Write-ins,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Senate,6,REP,Larry Stutts,212
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Senate,6,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Senate,6,,Under Votes,1
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Treasurer,,NON,Write-ins,2
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Treasurer,,REP,Young Boozer,457
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Treasurer,,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,State Treasurer,,,Under Votes,316
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. House,4,NON,Write-ins,5
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. House,4,REP,Robert Aderholt,534
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. House,4,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. House,4,,Under Votes,236
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. Senate,,NON,Write-ins,8
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. Senate,,REP,Jeff Sessions,543
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. Senate,,,Over Votes,0
Franklin,RUSSELLVILLE HIGH PRCT2-1,U.S. Senate,,,Under Votes,224
Franklin,SPRUCE PINE PRCT 18,Attorney General,,DEM,Joe Hubbard,135
Franklin,SPRUCE PINE PRCT 18,Attorney General,,NON,Write-ins,0
Franklin,SPRUCE PINE PRCT 18,Attorney General,,REP,Luther Strange,212
Franklin,SPRUCE PINE PRCT 18,Attorney General,,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,Attorney General,,,Under Votes,20
Franklin,SPRUCE PINE PRCT 18,Governor,,DEM,Parker Griffith,119
Franklin,SPRUCE PINE PRCT 18,Governor,,NON,Write-ins,0
Franklin,SPRUCE PINE PRCT 18,Governor,,REP,Robert Bentley,238
Franklin,SPRUCE PINE PRCT 18,Governor,,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,Governor,,,Under Votes,10
Franklin,SPRUCE PINE PRCT 18,Lieutenant Governor,,DEM,"James C. Fields, Jr.",124
Franklin,SPRUCE PINE PRCT 18,Lieutenant Governor,,NON,Write-ins,0
Franklin,SPRUCE PINE PRCT 18,Lieutenant Governor,,REP,Kay Ivey,213
Franklin,SPRUCE PINE PRCT 18,Lieutenant Governor,,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,Lieutenant Governor,,,Under Votes,30
Franklin,SPRUCE PINE PRCT 18,State House,18,DEM,Johnny MacK Morrow,246
Franklin,SPRUCE PINE PRCT 18,State House,18,NON,Write-ins,0
Franklin,SPRUCE PINE PRCT 18,State House,18,REP,Gerry Wallace,115
Franklin,SPRUCE PINE PRCT 18,State House,18,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,State House,18,,Under Votes,6
Franklin,SPRUCE PINE PRCT 18,State Senate,6,DEM,"Roger Bedford, Jr.",209
Franklin,SPRUCE PINE PRCT 18,State Senate,6,NON,Write-ins,0
Franklin,SPRUCE PINE PRCT 18,State Senate,6,REP,Larry Stutts,153
Franklin,SPRUCE PINE PRCT 18,State Senate,6,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,State Senate,6,,Under Votes,5
Franklin,SPRUCE PINE PRCT 18,State Treasurer,,NON,Write-ins,1
Franklin,SPRUCE PINE PRCT 18,State Treasurer,,REP,Young Boozer,198
Franklin,SPRUCE PINE PRCT 18,State Treasurer,,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,State Treasurer,,,Under Votes,168
Franklin,SPRUCE PINE PRCT 18,U.S. House,4,NON,Write-ins,3
Franklin,SPRUCE PINE PRCT 18,U.S. House,4,REP,Robert Aderholt,238
Franklin,SPRUCE PINE PRCT 18,U.S. House,4,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,U.S. House,4,,Under Votes,126
Franklin,SPRUCE PINE PRCT 18,U.S. Senate,,NON,Write-ins,4
Franklin,SPRUCE PINE PRCT 18,U.S. Senate,,REP,Jeff Sessions,238
Franklin,SPRUCE PINE PRCT 18,U.S. Senate,,,Over Votes,0
Franklin,SPRUCE PINE PRCT 18,U.S. Senate,,,Under Votes,125
Franklin,THARPTOWN PRCT 13,Attorney General,,DEM,Joe Hubbard,107
Franklin,THARPTOWN PRCT 13,Attorney General,,NON,Write-ins,0
Franklin,THARPTOWN PRCT 13,Attorney General,,REP,Luther Strange,144
Franklin,THARPTOWN PRCT 13,Attorney General,,,Over Votes,0
Franklin,THARPTOWN PRCT 13,Attorney General,,,Under Votes,16
Franklin,THARPTOWN PRCT 13,Governor,,DEM,Parker Griffith,92
Franklin,THARPTOWN PRCT 13,Governor,,NON,Write-ins,0
Franklin,THARPTOWN PRCT 13,Governor,,REP,Robert Bentley,164
Franklin,THARPTOWN PRCT 13,Governor,,,Over Votes,0
Franklin,THARPTOWN PRCT 13,Governor,,,Under Votes,11
Franklin,THARPTOWN PRCT 13,Lieutenant Governor,,DEM,"James C. Fields, Jr.",99
Franklin,THARPTOWN PRCT 13,Lieutenant Governor,,NON,Write-ins,0
Franklin,THARPTOWN PRCT 13,Lieutenant Governor,,REP,Kay Ivey,136
Franklin,THARPTOWN PRCT 13,Lieutenant Governor,,,Over Votes,0
Franklin,THARPTOWN PRCT 13,Lieutenant Governor,,,Under Votes,32
Franklin,THARPTOWN PRCT 13,State House,7,DEM,John (Jody) Letson,124
Franklin,THARPTOWN PRCT 13,State House,7,NON,Write-ins,0
Franklin,THARPTOWN PRCT 13,State House,7,REP,Ken Johnson,116
Franklin,THARPTOWN PRCT 13,State House,7,,Over Votes,0
Franklin,THARPTOWN PRCT 13,State House,7,,Under Votes,27
Franklin,THARPTOWN PRCT 13,State Senate,6,DEM,"Roger Bedford, Jr.",163
Franklin,THARPTOWN PRCT 13,State Senate,6,NON,Write-ins,0
Franklin,THARPTOWN PRCT 13,State Senate,6,REP,Larry Stutts,101
Franklin,THARPTOWN PRCT 13,State Senate,6,,Over Votes,0
Franklin,THARPTOWN PRCT 13,State Senate,6,,Under Votes,3
Franklin,THARPTOWN PRCT 13,State Treasurer,,NON,Write-ins,1
Franklin,THARPTOWN PRCT 13,State Treasurer,,REP,Young Boozer,128
Franklin,THARPTOWN PRCT 13,State Treasurer,,,Over Votes,0
Franklin,THARPTOWN PRCT 13,State Treasurer,,,Under Votes,138
Franklin,THARPTOWN PRCT 13,U.S. House,4,NON,Write-ins,2
Franklin,THARPTOWN PRCT 13,U.S. House,4,REP,Robert Aderholt,161
Franklin,THARPTOWN PRCT 13,U.S. House,4,,Over Votes,0
Franklin,THARPTOWN PRCT 13,U.S. House,4,,Under Votes,104
Franklin,THARPTOWN PRCT 13,U.S. Senate,,NON,Write-ins,4
Franklin,THARPTOWN PRCT 13,U.S. Senate,,REP,Jeff Sessions,159
Franklin,THARPTOWN PRCT 13,U.S. Senate,,,Over Votes,0
Franklin,THARPTOWN PRCT 13,U.S. Senate,,,Under Votes,104
Franklin,UNION COMMUNITY PRCT 1,Attorney General,,DEM,Joe Hubbard,95
Franklin,UNION COMMUNITY PRCT 1,Attorney General,,NON,Write-ins,0
Franklin,UNION COMMUNITY PRCT 1,Attorney General,,REP,Luther Strange,179
Franklin,UNION COMMUNITY PRCT 1,Attorney General,,,Over Votes,1
Franklin,UNION COMMUNITY PRCT 1,Attorney General,,,Under Votes,19
Franklin,UNION COMMUNITY PRCT 1,Governor,,DEM,Parker Griffith,61
Franklin,UNION COMMUNITY PRCT 1,Governor,,NON,Write-ins,2
Franklin,UNION COMMUNITY PRCT 1,Governor,,REP,Robert Bentley,228
Franklin,UNION COMMUNITY PRCT 1,Governor,,,Over Votes,0
Franklin,UNION COMMUNITY PRCT 1,Governor,,,Under Votes,3
Franklin,UNION COMMUNITY PRCT 1,Lieutenant Governor,,DEM,"James C. Fields, Jr.",88
Franklin,UNION COMMUNITY PRCT 1,Lieutenant Governor,,NON,Write-ins,0
Franklin,UNION COMMUNITY PRCT 1,Lieutenant Governor,,REP,Kay Ivey,182
Franklin,UNION COMMUNITY PRCT 1,Lieutenant Governor,,,Over Votes,0
