state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_office,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,minimum_party_vote_coverage,allocated_votes,source_votes,source_legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,cycle_gate,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
MO,2010,house,145,0.0,11230.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"fraker, lyndall",USS,3509.3609835433967,8802.114201282195,-42.990406415815535,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,11230.0,-100.0,-57.009593584184465,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,146,0.0,11264.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"pollock, darrell",USS,2955.3234535712922,8795.449425366924,-49.699930651058054,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,11264.0,-100.0,-50.300069348941946,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,147,0.0,8143.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"wells, don",USS,2720.859459631364,6009.155264880514,-37.666555086286046,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,8143.0,-100.0,-62.333444913713954,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,148,0.0,7963.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"day, david",USS,2323.0368989781327,6105.883303496159,-44.8793714218291,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,7963.0,-100.0,-55.1206285781709,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,149,3926.0,7370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"long, paul i","frederick, keith",USS,3815.699694624243,7041.246106960597,-29.709519337063522,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,3926.0,7370.0,-30.488668555240793,-0.7791492181772703,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,150,0.0,9807.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"smith, jason t",USS,3293.398481725493,7184.453074632967,-37.135996554047345,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,9807.0,-100.0,-62.864003445952655,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,151,0.0,9338.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"franz, ward",USS,2954.8923817506197,7102.673935437748,-41.24040968637288,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,9338.0,-100.0,-58.75959031362712,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,152,4869.0,6302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"vansteenis, shane","fitzwater, paul",USS,4606.39271547222,5617.864440421008,-9.89286272368237,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,4869.0,6302.0,-12.827857846208934,-2.934995122526564,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,153,3856.0,6393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"meyers, george","cookson, steve",USS,3480.8027865690665,6753.020651013608,-31.974538982445743,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,3856.0,6393.0,-24.75363450092692,7.220904481518822,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,154,3011.0,6935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"yarbro, ron","richardson, todd",USS,2498.025534108737,7021.7349131469,-47.5191513914855,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,3011.0,6935.0,-39.453046450834506,8.066104940650995,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,155,5439.0,10394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"page, john w","franklin, diane",USS,4370.765016154408,10486.507558593143,-41.16329233155132,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,5439.0,10394.0,-31.295395692540897,9.867896639010421,0.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,156,0.0,9162.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"keeney, shelley (white)",USS,3251.1390488110137,7057.756195244055,-36.925558523142826,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,9162.0,-100.0,-63.074441476857174,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,157,0.0,10985.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"lichtenegger, donna",USS,3255.945861866244,10025.643562269137,-50.97053887316347,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,10985.0,-100.0,-49.02946112683653,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,158,0.0,8742.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,"wallingford, wayne",USS,3773.7346444494424,7561.664814821747,-33.41682120672129,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,8742.0,-100.0,-66.5831787932787,0.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,159,3741.0,8847.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"burlison, bill d","wright, billy p",USS,3361.1507264922548,8738.211826906208,-44.44086270399136,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,3741.0,8847.0,-40.56244041944709,3.878422284544264,-1.0,True,True,True,True,True,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
MO,2010,house,160,0.0,8450.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"brandom, ellen",USS,2706.0218518747415,6737.055951767298,-42.687714574774056,0.9995892464142065,1843227.0,1843896.0,1815013.0,1815012.0,0.9999994490397589,0.0,8450.0,-100.0,-57.312285425225944,-1.0,False,True,True,False,False,oe_legislative_turnout_join_95pct,OpenElections context + Klarner outcome
