family,scale,df,brier,log_loss
student_t,4.0,8.0,0.03064267973748284,0.10945030360021775
student_t,4.25,8.0,0.030453856854385376,0.10679791032503487
student_t,4.5,8.0,0.030292817871907487,0.10464061963415154
student_t,4.75,8.0,0.030157295718249495,0.102910967252348
student_t,5.0,8.0,0.030045535069561015,0.10155351696427685
student_t,5.25,8.0,0.02995617774451884,0.10052221546094081
student_t,5.5,8.0,0.029888164395049325,0.09977842639564481
student_t,5.75,8.0,0.029840654164088133,0.09928944555762312
student_t,6.0,8.0,0.02981296132365404,0.09902736157532217
student_t,6.25,8.0,0.029804506731795192,0.09896817203557234
student_t,6.5,8.0,0.029814781595108527,0.09909109742874789
student_t,6.75,8.0,0.029843321099880728,0.09937803522928208
student_t,7.0,8.0,0.029889685749273826,0.0998131247753916
student_t,7.25,8.0,0.02995344858664864,0.1003823955049113
student_t,7.5,8.0,0.030034186827292413,0.10107348296101389
student_t,7.75,8.0,0.030131476729465215,0.10187539518748244
student_t,8.0,8.0,0.03024489079832704,0.10277832037611719
student_t,8.25,8.0,0.030373996631442045,0.10377346708109172
student_t,8.5,8.0,0.030518356886150445,0.10485293060333857
student_t,8.75,8.0,0.03067752998329789,0.10600958055956697
student_t,9.0,8.0,0.030851071265196428,0.1072369657207315
student_t,9.25,8.0,0.03103853440438795,0.10852923302253985
student_t,9.5,8.0,0.031239472919089337,0.1098810582801318
student_t,9.75,8.0,0.03145344169550217,0.11128758662718764
student_t,10.0,8.0,0.03167999844998578,0.11274438108083149
student_t,10.25,8.0,0.03191870508818569,0.11424737793325944
student_t,10.5,8.0,0.032169128935720784,0.11579284790803385
student_t,10.75,8.0,0.032430843827602786,0.11737736220770628
student_t,11.0,8.0,0.032703431052439155,0.11899776273063409
student_t,11.25,8.0,0.032986480153600846,0.1206511358567267
student_t,11.5,8.0,0.03327958959363279,0.12233478930066255
student_t,11.75,8.0,0.03358236729078515,0.1240462316116687
student_t,12.0,8.0,0.03389443103805221,0.12578315396498133
