state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible,incumbency_model_ready,open_seat,gap,dem_candidate_id,rep_candidate_id,prior_quality_differential,prior_quality_available,demographic_type
AR,2022,upper,6.0,9307.0,21453.0,-39.48634590377113,0,0.0,Klarner SLER contest file,-34.79744122377403,2020 block results aggregated to 2022 BAF,-7.177168,-41.97460922377403,0.1934754705407954,0.2516640445358828,0.2691321534133399,2022,ACS 2022 5-year direct SLD tabulation,-1.3886059559503394,-1.9316066792493136,2.4882633200029005,True,True,1.0,2.4882633200029005,CORTNEY WARWICKMCKEE,MATT MCKEE,0.0,0,other
AR,2022,upper,9.0,10119.0,8793.0,7.011421319796955,1,0.0,Klarner SLER contest file,14.59453673542852,2020 block results aggregated to 2022 BAF,-7.177168,7.417368735428521,0.6377877801412606,0.1536962545812103,0.2168210544541598,2022,ACS 2022 5-year direct SLD tabulation,-4.577510046420891,-1.5561611337546533,-0.4059474156315668,True,True,1.0,-0.4059474156315668,REGINALD MURDOCK,TERRY FULLER,0.0,0,majority_nonwhite
AR,2022,upper,10.0,6736.0,17753.0,-44.98754542855976,0,-1.0,Klarner SLER contest file,-41.063844122916905,2020 block results aggregated to 2022 BAF,-7.177168,-48.241012122916906,0.2941464302783404,0.1437644154240977,0.1611208406304728,2022,ACS 2022 5-year direct SLD tabulation,-2.111138346707936,-1.156391341506129,3.253466694357144,True,True,0.0,3.2534666943571438,CLIFF HART,RONALD CALDWELL,0.0,0,other
AR,2022,upper,13.0,13963.0,16522.0,-8.39429227488929,0,-1.0,Klarner SLER contest file,-4.997088568153584,2020 block results aggregated to 2022 BAF,-7.177168,-12.174256568153584,0.3400146105378504,0.3747474913366946,0.3796558334854847,2022,ACS 2022 5-year direct SLD tabulation,-2.440341982284723,-2.724853699105349,3.7799642932642943,True,True,0.0,3.7799642932642943,ALLISON GRIGSBYSWEATMAN,JANE ENGLISH,0.0,0,high_white_college
AR,2022,upper,14.0,23273.0,13375.0,27.00829513206724,1,1.0,Klarner SLER contest file,24.57773696160255,2020 block results aggregated to 2022 BAF,-7.177168,17.400568961602552,0.2955412176843599,0.6119455228155031,0.6809842249657064,2022,ACS 2022 5-year direct SLD tabulation,-2.121148970245222,-4.887538187928669,9.607726170464684,True,True,0.0,9.607726170464687,CLARKE TUCKER,BETH MASON,0.0,0,high_white_college
AR,2022,upper,17.0,11834.0,16835.0,-17.443928982524678,0,-1.0,Klarner SLER contest file,-11.342358866980996,2020 block results aggregated to 2022 BAF,-7.177168,-18.519526866981,0.2716934706227901,0.407264521764449,0.425625815636493,2022,ACS 2022 5-year direct SLD tabulation,-1.9499896831628287,-3.054787983960137,1.075597884456318,True,True,0.0,1.0755978844563217,DAVID BARBER,MARK JOHNSON,0.0,0,high_white_college
AR,2022,upper,18.0,4383.0,21632.0,-66.30405535268115,0,-1.0,Klarner SLER contest file,-61.71117737504414,2020 block results aggregated to 2022 BAF,-7.177168,-68.88834537504414,0.1330085234079939,0.201048890729048,0.2094638802293807,2022,ACS 2022 5-year direct SLD tabulation,-0.9546245179311048,-1.5033574583381435,2.5842900223629925,True,True,0.0,2.5842900223629925,NICK CARTWRIGHT,JONATHAN DISMANG,0.0,0,other
AR,2022,upper,20.0,7820.0,12951.0,-24.702710509845456,0,-1.0,Klarner SLER contest file,-29.56690472043198,2020 block results aggregated to 2022 BAF,-7.177168,-36.74407272043198,0.3160846085644869,0.3064415603460918,0.3343885170238987,2022,ACS 2022 5-year direct SLD tabulation,-2.2685923378815613,-2.399962563951381,12.041362210586524,True,True,0.0,12.041362210586524,CHENOA SUMMERS,DAN SULLIVAN,0.0,0,other
AR,2022,upper,23.0,6088.0,23951.0,-59.46602749758648,0,-1.0,Klarner SLER contest file,-58.47929305879276,2020 block results aggregated to 2022 BAF,-7.177168,-65.65646105879276,0.0818735545327562,0.1648858224447429,0.1677157828823781,2022,ACS 2022 5-year direct SLD tabulation,-0.5876202556387528,-1.203724349998352,6.190433561206284,True,True,0.0,6.190433561206277,DEREK HUBER,SCOTT FLIPPO,0.0,0,other
AR,2022,upper,27.0,6741.0,11765.0,-27.14795201556252,0,0.0,Klarner SLER contest file,-18.12553364091702,2020 block results aggregated to 2022 BAF,-7.177168,-25.30270164091702,0.4142742940443441,0.2450868495202768,0.2951426704421694,2022,ACS 2022 5-year direct SLD tabulation,-2.9733162064376573,-2.118288529732084,-1.845250374645499,True,True,1.0,-1.8452503746454987,BECKY WARD,JUSTIN BOYD,0.0,0,other
