district_result_id,build_run_id,result_source_file_id,assignment_source_file_id,contract_version,state_code,election_cycle,plan_cycle,chamber,district,geography_unit_id,dem_votes,rep_votes,other_votes,total_votes,two_party_dem_margin,allocated_result_geographies,allocation_method,allocation_status
PRESDIST-463A973388822FC89C7615D3,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,67,,45045.899999999914,29804.780000000002,632.1199999999994,75482.80000000006,0.20362032783135608,1484,exact_2020_census_block_assignment,passed
PRESDIST-9F57B8406FBC01870E9AE128,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,68,,32970.23000000005,52663.22000000008,720.8999999999983,86354.34999999989,-0.2299684293929534,2448,exact_2020_census_block_assignment,passed
PRESDIST-2518C8374404E91DC27EC103,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,69,,43887.509999999944,45872.81999999996,760.6499999999994,90520.97999999986,-0.022117899967613996,1669,exact_2020_census_block_assignment,passed
PRESDIST-C20AD6212C1937DFAF5B9450,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,7,,22742.810000000038,67673.20999999998,500.14999999999407,90916.16999999995,-0.49692963702671195,11115,exact_2020_census_block_assignment,passed
PRESDIST-90218E3CC2D66E79CA1ED905,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,70,,43959.28000000006,52928.58999999995,674.3899999999978,97562.25999999995,-0.09257412718434098,2517,exact_2020_census_block_assignment,passed
PRESDIST-3EDC769828699114405B5786,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,71,,38081.579999999965,46144.09000000007,533.849999999996,84759.51999999989,-0.09572509188707078,3810,exact_2020_census_block_assignment,passed
PRESDIST-87252C8872AA3BE2363545B7,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,72,,41578.509999999944,61215.52000000005,575.0699999999995,103369.09999999985,-0.19103259206784776,2618,exact_2020_census_block_assignment,passed
PRESDIST-56B831D671F763B70D4CE106,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,73,,57541.04000000019,57830.90999999998,590.2199999999973,115962.16999999998,-0.002512482453488835,3669,exact_2020_census_block_assignment,passed
PRESDIST-7BA861518B05A9AA7C4B2FDF,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,74,,44522.62999999991,63287.87000000013,683.409999999994,108493.9099999999,-0.17405762889514673,4102,exact_2020_census_block_assignment,passed
PRESDIST-B1FFBA453032AAAF3282FC9F,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,75,,44215.55000000006,71304.33999999987,617.7199999999928,116137.61000000018,-0.23449459655821886,6754,exact_2020_census_block_assignment,passed
PRESDIST-E97B80173792A817ABB26C37,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,76,,34320.93999999992,64845.65999999992,429.8300000000001,99596.43000000002,-0.30781250945378835,4903,exact_2020_census_block_assignment,passed
PRESDIST-8096973F9E4C8E8E875E841A,RUN-3F9B3CEA244646B796CF86E962A919FE,RDH-NATIONAL-2020-PRES-BLOCKS,RDH-NATIONAL-2024-SLD-BAF,1,FL,2020,2024,lower,77,,32363.42999999991,42170.63000000008,456.65999999998877,74990.71999999988,-0.1315801125015888,5230,exact_2020_census_block_assignment,passed
