state,year,county,precinct,county_raw,county_match_confidence,dem_votes,rep_votes,ocr_min_numeric_confidence,source_page,source_line,duplicate_ocr_rows
TN,1998,BLEDSOE,2-1COLD SPRINGS,BLEDSOE,1.0,98,158,0.9418294827143352,2,2-1COLD SPRINGS 98 158 1 3,1
TN,1998,BLEDSOE,2-2 LUMINARY,BLEDSOE,1.0,25,67,0.9926477372646332,2,2-2 LUMINARY 25 67 0 3 1 1 0,1
TN,1998,BLEDSOE,3-1BRAYTON,BLEDSOE,1.0,40,116,0.9184531569480896,2,3-1BRAYTON 40 116 0 1 0 0,1
TN,1998,BLEDSOE,3-2.RIGSBY,BLEDSOE,1.0,41,169,0.8640565872192383,2,3-2.RIGSBY 4 1 169 0 0 0 0,1
TN,1998,BLEDSOE,4-1 PIKEVILLE4TH,BLEDSOE,1.0,101,152,0.9414304892222086,2,4-1 PIKEVILLE4TH 101 152 2 0 D 0,1
TN,1998,BLEDSOE,4-2PIKEVILLE7TH,BLEDSOE,1.0,77,110,0.9791601896286012,2,4-2PIKEVILLE7TH 77 110 0 4 0 0,1
TN,1998,BLEDSOE,5-1 BELLVIEW,BLEDSOE,1.0,100,162,0.9574471910794576,2,5-1 BELLVIEW 100 162 1 2 0,1
TN,1998,BLEDSOE,6-1 LEE STATION,BLEDSOE,1.0,69,59,0.9937447607517242,2,6-1 LEE STATION 69 59 0 0,1
TN,1998,BLEDSOE,6-2LUSK,BLEDSOE,1.0,122,110,0.986300508181254,2,6-2LUSK 122 110 1 0 4,1
TN,1998,BLEDSOE,6-3 SUNNYSIDE,BLEDSOE,1.0,27,39,0.8836966355641683,2,6-3 SUNNYSIDE 27 39. 1,1
TN,1998,BLEDSOE,ABSENTEE,BLEDSOE,1.0,142,244,0.878660187125206,2,ABSENTEE 1.42 24.4 0 2,1
TN,1998,BLEDSOE,STIW ENIN Z-S,BLEDSOE,1.0,23,100,0.8855616847674052,2,STIW ENIN Z-S 23 100 1 0,1
TN,1998,BLOUNT,01.ALCOA HIGH,.. BLOUNT,1.0,186,962,0.8596848174929619,2,01.ALCOA HIGH 186. 962 11 5 7,1
TN,1998,BLOUNT,02.ALCOA MIDDLE,.. BLOUNT,1.0,237,243,0.9974300662676492,2,02.ALCOA MIDDLE 237 243 6 2 3 D,1
TN,1998,BLOUNT,03.BIGSPRINGS,.. BLOUNT,1.0,25,121,0.9977938930193584,2,03.BIGSPRINGS 25 121 2 0 0,1
TN,1998,BLOUNT,04.BINFIELD,.. BLOUNT,1.0,151,663,0.98360941807429,2,04.BINFIELD 151 663 8: 1 1 0,1
TN,1998,BLOUNT,06.CHANDLER STA,.. BLOUNT,1.0,163,487,0.99465541044871,2,06.CHANDLER STA 163 487 9 0 8 2,1
TN,1998,BLOUNT,07.CHILHOWEE VIEW,.. BLOUNT,1.0,139,396,0.9953535000483196,2,07.CHILHOWEE VIEW 139 396 3. 2 S,1
TN,1998,BLOUNT,08.EAG.ELEN.CAFE,.. BLOUNT,1.0,50,213,0.9928856492042542,2,08.EAG.ELEN.CAFE 50 213 3,1
TN,1998,BLOUNT,09. EAG.GYM20,.. BLOUNT,1.0,122,575,0.9562670389811198,2,09. EAG.GYM20 122 575 3 1 3,1
TN,1998,BLOUNT,10. EAG.GYM,.. BLOUNT,1.0,26,120,0.9871519009272256,2,10. EAG.GYM 26 120 0,1
TN,1998,BLOUNT,11. EVERETT,.. BLOUNT,1.0,99,290,0.9954204857349396,2,11. EVERETT 99 290 1 2 1,1
TN,1998,BLOUNT,12. FAIRVIEW NORTH,.. BLOUNT,1.0,43,151,0.9942407806714376,2,12. FAIRVIEW NORTH 43 151 v-1 1,1
TN,1998,BLOUNT,"13,FAIRVIEW HLNOS",.. BLOUNT,1.0,115,530,0.9901210069656372,2,"13,FAIRVIEW HLNOS 115 530 3",1
TN,1998,BLOUNT,14.FRIENDSVILLE,.. BLOUNT,1.0,29,153,0.9932352900505066,2,14.FRIENDSVILLE 29 153 2,1
TN,1998,BLOUNT,15.FRIENDSVLLECITY,.. BLOUNT,1.0,29,214,0.9936211307843528,2,15.FRIENDSVLLECITY 29 214 1 2,1
TN,1998,BLOUNT,16.HAPPY VALLSY,.. BLOUNT,1.0,20,22,0.996396780014038,2,16.HAPPY VALLSY 20 22 1 0,1
TN,1998,BLOUNT,16.HUBBARD,.. BLOUNT,1.0,135,485,0.993694027264913,2,16.HUBBARD 135 485 5 3 1,1
TN,1998,BLOUNT,17.HOUSTON STATION,.. BLOUNT,1.0,111,383,0.9576114217440288,2,17.HOUSTON STATION 111 383 2 2,1
TN,1998,BLOUNT,19.JOHN SSVIER,.. BLOUNT,1.0,83,432,0.9945529898007712,2,19.JOHN SSVIER 83 432 2 1 3,1
TN,1998,BLOUNT,20.LANIER,.. BLOUNT,1.0,71,366,0.9736230969429016,2,20.LANIER 71 366 1,1
TN,1998,BLOUNT,21 HIOCETTIASICCT,.. BLOUNT,1.0,69,335,0.922128528356552,2,21 HIOCETTIASICCT 69 335 3 2 2,1
TN,1998,BLOUNT,22. MIDDLESETTLEMENT,.. BLOUNT,1.0,53,150,0.9743796785672506,2,22. MIDDLESETTLEMENT 53 150 5. 0,1
TN,1998,BLOUNT,"23, MARYVILLE COLL",.. BLOUNT,1.0,86,345,0.9905215203762054,2,"23, MARYVILLE COLL 86 345 0",1
TN,1998,BLOUNT,24. MARYVILLE HS,.. BLOUNT,1.0,88,558,0.7754890521367391,2,24. MARYVILLE HS 88 558 3 5,1
TN,1998,BLOUNT,25. MARYVILLE MS,.. BLOUNT,1.0,115,807,0.989800214767456,2,25. MARYVILLE MS 115 807 2,1
TN,1998,BLOUNT,26. MARY MUNIHD20,.. BLOUNT,1.0,82,281,0.8783546090126038,2,26. MARY MUNIHD20 82 281 0,1
TN,1998,BLOUNT,27 MENTOR,.. BLOUNT,1.0,52,225,0.9955747425556184,2,27 MENTOR 52 225 4 0 2,1
TN,1998,BLOUNT,28. MISER STATION,.. BLOUNT,1.0,66,210,0.741349071264267,2,28. MISER STATION 66 210 5 2,1
TN,1998,BLOUNT,29.MONTVALE,.. BLOUNT,1.0,149,725,0.9450560361146928,3,29.MONTVALE 14 9 725 4 3 2 0 0 0,1
TN,1998,BLOUNT,30.OAK VIEW,.. BLOUNT,1.0,82,434,0.9972119331359864,3,30.OAK VIEW 82 434 2 3 1 0 0 0,1
TN,1998,BLOUNT,31.PORTER,.. BLOUNT,1.0,71,477,0.9976576964060464,3,31.PORTER 71 477 1 3 6 1 0 0，,1
TN,1998,BLOUNT,32.ROCKFORD CITY,.. BLOUNT,1.0,112,254,0.9984163244565328,3,32.ROCKFORD CITY 112 254 3 3 1 2 0,1
TN,1998,BLOUNT,33.ROCKFORD CO,.. BLOUNT,1.0,62,173,0.9990998804569244,3,33.ROCKFORD CO 62 173 2 0 1 0 。 0,1
