cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status
2014,house,63,0.0,6249.0,6249.0,-100.0,False,R,2012_enacted,-26.424041409517905,2,-26.424041409517905,2,True,complete_core_limited_expanded,-73.57595859048209,-73.57595859048209,1,Bill Poole,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,64,0.0,8781.0,8781.0,-100.0,False,R,2012_enacted,-58.033352871927605,3,-56.05240771578211,2,True,complete_core_expanded,-41.9666471280724,-43.94759228421789,1,Harry Shiver,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,65,8469.0,0.0,8469.0,100.0,False,D,2012_enacted,-24.550785435303357,3,-22.699049990266808,2,True,complete_core_expanded,124.55078543530335,122.6990499902668,1,Elaine Beech,D,prior_winner_match,1.0,True,False,False,incumbent_running
2014,house,66,0.0,7079.0,7079.0,-100.0,False,R,2012_enacted,-49.19277755789795,3,-52.10425562817365,2,True,complete_core_expanded,-50.80722244210205,-47.89574437182635,1,Alan Baker,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,67,9836.0,0.0,9836.0,100.0,False,D,2012_enacted,37.47384628598912,3,39.918778186235386,2,True,complete_core_expanded,62.52615371401088,60.08122181376461,1,Darrio Melton,D,prior_winner_match,0.96,True,False,False,incumbent_running
2014,house,68,8998.0,0.0,8998.0,100.0,False,D,2012_enacted,3.317874210043366,3,5.350930403619092,2,True,complete_core_expanded,96.68212578995664,94.64906959638093,1,"Thomas E ""Action"" Jackson",D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,69,9396.0,4340.0,13736.0,36.808386721025045,True,D,2012_enacted,30.68603892487343,3,32.84508504064683,2,True,complete_core_expanded,6.122347796151615,3.963301680378216,0,,,,,False,False,True,open
2014,house,70,6799.0,0.0,6799.0,100.0,False,D,2012_enacted,-6.405983553724259,2,-6.405983553724259,2,True,complete_core_limited_expanded,106.40598355372424,106.40598355372424,1,Christopher John England,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,71,9942.0,0.0,9942.0,100.0,False,D,2012_enacted,25.83070473175364,3,21.878182738069967,2,True,complete_core_expanded,74.16929526824636,78.12181726193003,1,Artis (A.J.) McCampbell,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,72,10435.0,0.0,10435.0,100.0,False,D,2012_enacted,34.43977067927724,3,36.21110797948991,2,True,complete_core_expanded,65.56022932072275,63.78889202051009,1,Ralph A. Howard,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,73,0.0,9183.0,9183.0,-100.0,False,R,2012_enacted,-53.67599899292546,3,-52.201386956860105,2,True,complete_core_expanded,-46.32400100707454,-47.798613043139895,0,,,,,False,False,True,open
2014,house,74,3621.0,9481.0,13102.0,-44.72599603114028,True,R,2012_enacted,-2.066871613080054,3,1.7807543504659784,2,True,complete_core_expanded,-42.65912441806023,-46.50675038160626,0,,,,,False,False,True,open
2014,house,75,0.0,8338.0,8338.0,-100.0,False,R,2012_enacted,-3.40985043860718,3,3.398365306321236,2,True,complete_core_expanded,-96.59014956139282,-103.39836530632124,0,,,,,False,False,True,open
2014,house,76,8342.0,0.0,8342.0,100.0,False,D,2012_enacted,31.15976051131791,3,33.56498835294236,2,True,complete_core_expanded,68.84023948868209,66.43501164705765,1,Thad McClammy,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,77,6891.0,3775.0,10666.0,29.21432589536846,True,D,2012_enacted,18.078113942455538,3,21.4200991854958,2,True,complete_core_expanded,11.136211952912925,7.79422670987266,1,John Knight,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,78,6998.0,2637.0,9635.0,45.26206538661131,True,D,2012_enacted,31.66508499725624,3,34.40527337310327,2,True,complete_core_expanded,13.596980389355071,10.85679201350804,1,Alvin Holmes,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,79,3535.0,5136.0,8671.0,-18.463845000576637,True,R,2012_enacted,-21.13131059716135,3,-17.811264079734215,2,True,complete_core_expanded,2.667465596584716,-0.6525809208424178,1,Mike Hubbard,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,80,2240.0,4702.0,6942.0,-35.46528377989052,True,R,2012_enacted,-21.680700933147545,3,-19.464010421368386,2,True,complete_core_expanded,-13.784582846742977,-16.001273358522138,1,Lesley Vance,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,81,4352.0,9119.0,13471.0,-35.3871279043872,True,R,2012_enacted,-32.98544716741254,3,-29.24270652711798,2,True,complete_core_expanded,-2.4016807369746616,-6.144421377269218,1,Mark M. Tuggle,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,82,8455.0,0.0,8455.0,100.0,False,D,2012_enacted,12.744897310891096,3,8.641005346323745,2,True,complete_core_expanded,87.25510268910891,91.35899465367626,1,Pebblin W. Warren,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,83,5257.0,2752.0,8009.0,31.27731302284929,True,D,2012_enacted,6.630757797958768,3,8.502213257091075,2,True,complete_core_expanded,24.646555224890527,22.77509976575822,1,"George ""Tootie"" Bandy",D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,84,7365.0,4316.0,11681.0,26.10221727591816,True,D,2012_enacted,23.421971916821136,3,25.979008449809072,2,True,complete_core_expanded,2.6802453590970217,0.1232088261090851,1,Berry Forte,D,prior_winner_match,1.0,True,False,False,incumbent_running
2014,house,85,5777.0,3405.0,9182.0,25.833151818775868,True,D,2012_enacted,-24.82496404868495,3,-19.42319127986613,2,True,complete_core_expanded,50.65811586746082,45.256343098642,1,Dexter Grimsley,D,prior_winner_match,1.0,True,False,False,incumbent_running
2014,house,86,0.0,9253.0,9253.0,-100.0,False,R,2012_enacted,-39.49842007326611,3,-32.76431729220528,2,True,complete_core_expanded,-60.50157992673389,-67.23568270779472,1,Paul W. Lee,R,prior_winner_match,0.8888888888888888,False,True,False,incumbent_running
2014,house,87,0.0,10404.0,10404.0,-100.0,False,R,2012_enacted,-54.30848937601621,3,-48.59232743200555,2,True,complete_core_expanded,-45.69151062398379,-51.40767256799445,1,Donnie Chesteen,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,88,0.0,8215.0,8215.0,-100.0,False,R,2012_enacted,-40.349254836048765,3,-36.48718488891615,2,True,complete_core_expanded,-59.65074516395124,-63.51281511108385,1,Paul Beckman,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,89,5436.0,5519.0,10955.0,-0.7576449109995436,True,R,2012_enacted,-18.434153568430705,3,-12.63070171619759,2,True,complete_core_expanded,17.67650865743116,11.873056805198049,1,Alan C. Boothe,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,90,5894.0,7722.0,13616.0,-13.425381903642773,True,R,2012_enacted,-14.66510009203867,3,-10.927472322538938,2,True,complete_core_expanded,1.239718188395898,-2.497909581103835,0,,,,,False,False,True,open
2014,house,91,0.0,7484.0,7484.0,-100.0,False,R,2012_enacted,-49.93421165667258,3,-45.76164883751328,2,True,complete_core_expanded,-50.06578834332742,-54.23835116248672,1,Barry Moore,R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,92,0.0,8081.0,8081.0,-100.0,False,R,2012_enacted,-49.30295059285959,3,-45.71981182453314,2,True,complete_core_expanded,-50.69704940714041,-54.28018817546686,1,"Mike Jones, Jr.",R,prior_winner_match,1.0,False,True,False,incumbent_running
2014,house,93,2773.0,9139.0,11912.0,-53.44190732034923,True,R,2012_enacted,-40.33538795042893,3,-35.33759865928163,2,True,complete_core_expanded,-13.1065193699203,-18.1043086610676,1,Steve Clouse,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,94,0.0,10738.0,10738.0,-100.0,False,R,2012_enacted,-61.27627929709155,3,-59.21634458094079,2,True,complete_core_expanded,-38.72372070290845,-40.783655419059215,1,T. Joe Faust,R,prior_winner_match+wikipedia_incumbent_annotation,0.9,False,True,False,incumbent_running
2014,house,95,0.0,10336.0,10336.0,-100.0,False,R,2012_enacted,-64.02447082706145,3,-62.1738722449132,2,True,complete_core_expanded,-35.97552917293855,-37.8261277550868,1,Steve McMillan,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,96,0.0,10007.0,10007.0,-100.0,False,R,2012_enacted,-52.53658540853316,3,-50.64041441797093,2,True,complete_core_expanded,-47.46341459146684,-49.35958558202907,1,Randy Davis,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,97,6168.0,0.0,6168.0,100.0,False,D,2012_enacted,24.548019188975477,3,25.361302642265933,2,True,complete_core_expanded,75.45198081102453,74.63869735773406,0,,,,,False,False,True,open
2014,house,98,6134.0,3276.0,9410.0,30.37194473963868,True,D,2012_enacted,12.409895162167668,3,12.966481549945597,2,True,complete_core_expanded,17.962049577471014,17.405463189693087,1,"Napoleon Bracy, Jr.",D,prior_winner_match,1.0,True,False,False,incumbent_running
2014,house,99,7586.0,0.0,7586.0,100.0,False,D,2012_enacted,16.392613117826013,3,16.898591958158182,2,True,complete_core_expanded,83.60738688217398,83.10140804184182,1,James E. Buskey,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running
2014,house,100,0.0,7878.0,7878.0,-100.0,False,R,2012_enacted,-40.46978422352435,3,-39.21065221382223,2,True,complete_core_expanded,-59.53021577647565,-60.78934778617777,1,Victor Gaston,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running
2014,house,101,0.0,7382.0,7382.0,-100.0,False,R,2012_enacted,-31.79614676070885,3,-30.27721638797344,2,True,complete_core_expanded,-68.20385323929115,-69.72278361202656,0,,,,,False,False,True,open
2014,house,102,0.0,6688.0,6688.0,-100.0,False,R,2012_enacted,-41.27980033586096,3,-40.22023850630103,2,True,complete_core_expanded,-58.72019966413904,-59.77976149369897,0,,,,,False,False,True,open
2014,house,103,5608.0,2065.0,7673.0,46.17489899648117,True,D,2012_enacted,15.704083473595595,3,16.20887307549469,2,True,complete_core_expanded,30.470815522885573,29.96602592098648,0,,,,,False,False,True,open
2014,house,104,0.0,7745.0,7745.0,-100.0,False,R,2012_enacted,-39.00065178260587,3,-37.46036013060092,2,True,complete_core_expanded,-60.99934821739413,-62.53963986939908,0,,,,,False,False,True,open
2014,house,105,0.0,6227.0,6227.0,-100.0,False,R,2012_enacted,-30.812858848893597,3,-29.72999169885981,2,True,complete_core_expanded,-69.1871411511064,-70.2700083011402,0,,,,,False,False,True,open
2014,senate,1,13704.0,22982.0,36686.0,-25.290301477402824,True,R,2012_enacted,-37.81567516126467,3,-38.14160102222964,2,True,complete_core_expanded,12.525373683861847,12.851299544826812,0,,,,,False,False,True,open
