specification,base_model,mean_mae,latest_mae,worst_mae,base_mean_mae,base_latest_mae,mean_delta_vs_base,latest_delta_vs_base,max_finance_adjustment,mean_finance_adjustment,max_total_change_vs_public,winner_changes_vs_public,sd2_margin,improves_both_holdouts,prospective_safe
stable_bayesian_cap_1__finance_log10__a100__b0.25__cap4,stable_bayesian_cap_1,10.461745974850079,9.029471758123398,11.894020191576757,10.428644359921243,9.026190005081006,0.03310161492883523,0.0032817530423923102,3.0503741410333434,0.8166590067025563,4.050374141033345,0,0.7646116893534526,False,False
stable_bayesian_blend_25__finance_log50__a100__b0.5__cap4,stable_bayesian_blend_25,10.468958801242533,8.691324756226306,12.24659284625876,10.232885474436689,8.64658795410502,0.23607332680584392,0.044736802121287056,4.0,1.5075831838809621,5.888293408800081,0,1.5222041999276015,False,False
stable_bayesian_cap_1__finance_log50__a100__b0.25__cap4,stable_bayesian_cap_1,10.487199505944636,9.051756079626394,11.922642932262878,10.428644359921243,9.026190005081006,0.058555146023392624,0.025566074545388062,2.92390162599871,0.8571219142065346,3.9239016259987096,0,0.9177255197990696,False,False
stable_bayesian_blend_25__finance_log100__a100__b0.5__cap4,stable_bayesian_blend_25,10.498871639494096,8.735897212494091,12.261846066494101,10.232885474436689,8.64658795410502,0.2659861650574076,0.089309258389072,4.0,1.525015109399248,5.888293408800081,0,1.6055062486105256,False,False
stable_bayesian_cap_1__finance_log10__a20__b0.5__cap4,stable_bayesian_cap_1,10.499144748181084,8.890456368426465,12.107833127935704,10.428644359921243,9.026190005081006,0.07050038825984117,-0.13573363665454075,4.0,1.357101244163739,5.0000000000000036,0,0.9370565104639064,False,False
stable_bayesian_cap_1__finance_log100__a100__b0.25__cap4,stable_bayesian_cap_1,10.508156648904514,9.076402984956793,11.939910312852232,10.428644359921243,9.026190005081006,0.07951228898327045,0.05021297987578777,2.830260955912881,0.8598578618606203,3.830260955912884,0,0.9605146492878593,False,False
stable_bayesian_cap_1__finance_log50__a5__b0.5__cap4,stable_bayesian_cap_1,10.563627844410039,8.963275268437952,12.163980420382128,10.428644359921243,9.026190005081006,0.13498348448879582,-0.06291473664305336,4.0,1.5050541668887898,5.0000000000000036,0,1.378557826367651,False,False
stable_bayesian_cap_1__finance_log50__a20__b0.5__cap4,stable_bayesian_cap_1,10.586398823252633,8.981228443910114,12.191569202595153,10.428644359921243,9.026190005081006,0.15775446333138987,-0.044961561170891784,4.0,1.5006597795320655,5.0000000000000036,0,1.4054485077534344,False,False
stable_bayesian_cap_1__finance_log100__a5__b0.5__cap4,stable_bayesian_cap_1,10.633677594884341,9.032481011236175,12.234874178532507,10.428644359921243,9.026190005081006,0.2050332349630981,0.006291006155169754,4.0,1.520851015748937,5.0000000000000036,0,1.5222919493790816,False,False
stable_bayesian_cap_1__finance_log100__a20__b0.5__cap4,stable_bayesian_cap_1,10.64787065617066,9.053532419909452,12.242208892431867,10.428644359921243,9.026190005081006,0.21922629624941692,0.027342414828446238,4.0,1.5180957877333066,5.0000000000000036,0,1.5343738266926454,False,False
stable_bayesian_cap_1__finance_log10__a100__b0.5__cap4,stable_bayesian_cap_1,10.670863406790923,9.06453016309114,12.277196650490707,10.428644359921243,9.026190005081006,0.2422190468696801,0.03834015801013457,4.0,1.4024838331925098,5.0000000000000036,0,1.163483751945016,False,False
stable_bayesian_cap_1__finance_log50__a100__b0.5__cap4,stable_bayesian_cap_1,10.70496760485059,9.106757649957666,12.303177559743517,10.428644359921243,9.026190005081006,0.27632324492934757,0.0805676448766608,4.0,1.5079171106185296,5.0000000000000036,0,1.46971141283625,False,False
stable_bayesian_cap_1__finance_log100__a100__b0.5__cap4,stable_bayesian_cap_1,10.734748681219042,9.15148204381475,12.318015318623331,10.428644359921243,9.026190005081006,0.3061043212977985,0.12529203873374506,4.0,1.5260462144310771,5.0000000000000036,0,1.5552896718138296,False,False
public_80_20_total_ridge__finance_log10__a100__b0.25__cap4,public_80_20_total_ridge,10.819381564219064,9.485050820975871,12.153712307462257,10.804211693332284,9.578188079949948,0.01516987088677979,-0.09313725897407643,3.1726746165363253,0.7953915306616766,3.1726746165363267,0,1.7182171949678091,False,False
public_80_20_total_ridge__finance_log50__a100__b0.25__cap4,public_80_20_total_ridge,10.835563174445749,9.495779134566511,12.175347214324988,10.804211693332284,9.578188079949948,0.03135148111346453,-0.08240894538343646,3.0425546071199574,0.8399569703584445,3.0425546071199605,0,1.8829285238102242,False,False
public_80_20_total_ridge__finance_log100__a100__b0.25__cap4,public_80_20_total_ridge,10.85203280910648,9.514803948946396,12.189261669266566,10.804211693332284,9.578188079949948,0.04782111577419634,-0.06338413100355211,2.944308905554621,0.8437440739023075,2.944308905554621,0,1.9298739175426989,False,False
public_80_20_total_ridge__finance_log50__a5__b0.5__cap4,public_80_20_total_ridge,10.859791808672671,9.304083327235238,12.415500290110103,10.804211693332284,9.578188079949948,0.05558011534038698,-0.2741047527147096,4.0,1.4430151505219089,4.0000000000000036,0,2.3047637689161027,False,False
public_80_20_total_ridge__finance_log10__a20__b0.5__cap4,public_80_20_total_ridge,10.866068050704115,9.30443146804298,12.427704633365252,10.804211693332284,9.578188079949948,0.061856357371830484,-0.2737566119069683,4.0,1.2769094634939304,4.0000000000000036,0,1.829678763280949,False,False
public_80_20_total_ridge__finance_log50__a20__b0.5__cap4,public_80_20_total_ridge,10.901934374824961,9.330695298132552,12.47317345151737,10.804211693332284,9.578188079949948,0.0977226814926766,-0.24749278181739598,4.0,1.4373828636385695,4.0000000000000036,0,2.3331292806615735,False,False
public_80_20_total_ridge__finance_log100__a5__b0.5__cap4,public_80_20_total_ridge,10.917478246024807,9.346243215087405,12.488713276962208,10.804211693332284,9.578188079949948,0.11326655269252228,-0.23194486486254284,4.0,1.4629088479763692,4.0000000000000036,0,2.4622892253329525,False,False
public_80_20_total_ridge__finance_log100__a20__b0.5__cap4,public_80_20_total_ridge,10.951276653195539,9.387250056993407,12.515303249397672,10.804211693332284,9.578188079949948,0.14706495986325407,-0.19093802295654072,4.0,1.4586401106206743,4.0000000000000036,0,2.474465386086807,False,False
public_80_20_total_ridge__finance_log10__a100__b0.5__cap4,public_80_20_total_ridge,11.0469094177821,9.486067340888612,12.60775149467559,10.804211693332284,9.578188079949948,0.2426977244498154,-0.09212073906133611,4.0,1.327910411399854,4.0000000000000036,0,2.070694763173729,False,False
public_80_20_total_ridge__finance_log50__a100__b0.5__cap4,public_80_20_total_ridge,11.065385574596332,9.505295203958532,12.625475945234133,10.804211693332284,9.578188079949948,0.26117388126404784,-0.0728928759914158,4.0,1.4427005841289822,4.0000000000000036,0,2.4001174208585594,False,False
public_80_20_total_ridge__finance_log100__a100__b0.5__cap4,public_80_20_total_ridge,11.08846257250519,9.538601215288594,12.638323929721786,10.804211693332284,9.578188079949948,0.28425087917290526,-0.03958686466135397,4.0,1.4636282491613128,4.0000000000000036,0,2.4940082083235087,False,False
