chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public
senate,22,stable_hybrid_bayesian_35,-53.74267641555213,-56.92023492844067,3.177558512888538,False
senate,23,stable_hybrid_bayesian_35,16.94591443232558,9.392740797125253,7.553173635200327,False
senate,28,stable_hybrid_bayesian_35,14.898571249163124,7.768603045891093,7.129968203272031,False
senate,29,stable_hybrid_bayesian_35,-56.78353118692056,-56.59198046403853,-0.19155072288203456,False
senate,32,stable_hybrid_bayesian_35,-53.3548103048505,-51.41751877474897,-1.9372915301015325,False
house,2,stable_hybrid_elastic10_35,-63.554568460378064,-63.44556506213457,-0.10900339824349459,False
house,4,stable_hybrid_elastic10_35,-33.45339370759204,-30.168234192443013,-3.2851595151490294,False
house,5,stable_hybrid_elastic10_35,-43.641669296718526,-42.22783247880138,-1.4138368179171437,False
house,8,stable_hybrid_elastic10_35,-28.428564542770637,-27.045765902606977,-1.38279864016366,False
house,10,stable_hybrid_elastic10_35,8.565155166119919,5.179921085962886,3.3852340801570326,False
house,15,stable_hybrid_elastic10_35,-16.432551064566514,-13.49899760982322,-2.9335534547432935,False
house,16,stable_hybrid_elastic10_35,-71.10677457525065,-72.98027779212242,1.873503216871768,False
house,19,stable_hybrid_elastic10_35,40.110972176175466,36.191402249555054,3.9195699266204116,False
house,20,stable_hybrid_elastic10_35,-28.01481265656945,-22.96397059610957,-5.050842060459882,False
house,21,stable_hybrid_elastic10_35,-19.087796689168925,-16.342279964211833,-2.745516724957092,False
house,25,stable_hybrid_elastic10_35,-7.133060096531112,-2.465418547051442,-4.66764154947967,False
house,28,stable_hybrid_elastic10_35,-25.42826270809281,-24.862708072052687,-0.5655546360401225,False
house,32,stable_hybrid_elastic10_35,3.112018793478625,3.422618194788681,-0.31059940131005614,False
house,37,stable_hybrid_elastic10_35,-40.983297604542,-42.52828814659968,1.5449905420576755,False
house,38,stable_hybrid_elastic10_35,-40.13144141310672,-40.851162777982296,0.7197213648755749,False
house,40,stable_hybrid_elastic10_35,-59.91979667791217,-59.91772109645968,-0.0020755814524875404,False
house,41,stable_hybrid_elastic10_35,-44.90158175319628,-44.01924227829869,-0.8823394748975915,False
house,43,stable_hybrid_elastic10_35,-44.47917579644814,-39.82294291486019,-4.656232881587947,False
house,45,stable_hybrid_elastic10_35,-44.8620169988462,-41.76377173462995,-3.098245264216253,False
house,47,stable_hybrid_elastic10_35,-15.210430003196924,-12.542237344054575,-2.668192659142349,False
house,50,stable_hybrid_elastic10_35,-55.1863856469524,-56.83020958474616,1.643823937793755,False
house,63,stable_hybrid_elastic10_35,-19.96086748689722,-14.482754089763738,-5.478113397133484,False
house,68,stable_hybrid_elastic10_35,11.20179171023393,4.266248801475497,6.935542908758434,False
house,69,stable_hybrid_elastic10_35,20.547738564878117,13.2672920863345,7.280446478543617,False
house,70,stable_hybrid_elastic10_35,44.837756219993125,42.14172683432893,2.696029385664197,False
house,74,stable_hybrid_elastic10_35,34.09411027617354,32.583507459078504,1.5106028170950339,False
house,75,stable_hybrid_elastic10_35,-28.29292290210237,-25.159556418806183,-3.133366483296186,False
house,80,stable_hybrid_elastic10_35,-31.50398840454583,-31.56460879094611,0.06062038640028078,False
house,82,stable_hybrid_elastic10_35,39.33880336033981,35.01674433891714,4.3220590214226675,False
house,85,stable_hybrid_elastic10_35,-25.190760741570195,-24.32486910931324,-0.8658916322569539,False
house,96,stable_hybrid_elastic10_35,-42.39669197791923,-41.64407217615401,-0.7526198017652206,False
house,99,stable_hybrid_elastic10_35,36.04561254394702,31.823403903944776,4.222208640002247,False
house,101,stable_hybrid_elastic10_35,-29.167001307794287,-26.52085457872553,-2.6461467290687573,False
senate,2,stable_hybrid_elastic10_35,-2.994266093898885,1.365739626761889,-4.360005720660775,True
senate,3,stable_hybrid_elastic10_35,-39.48122269395679,-37.71958219015087,-1.7616405038059213,False
senate,6,stable_hybrid_elastic10_35,-51.15018612451663,-51.33435722894423,0.1841711044275982,False
senate,7,stable_hybrid_elastic10_35,-12.705616787704336,-9.453156895869265,-3.2524598918350716,False
senate,8,stable_hybrid_elastic10_35,-52.26238645572778,-51.84573512309653,-0.4166513326312469,False
senate,11,stable_hybrid_elastic10_35,-48.28861992526574,-48.05910770915243,-0.22951221611331363,False
senate,13,stable_hybrid_elastic10_35,-48.83056814816655,-48.03819977698762,-0.7923683711789309,False
senate,14,stable_hybrid_elastic10_35,-43.53592468442919,-41.55322693125855,-1.9826977531706405,False
senate,16,stable_hybrid_elastic10_35,-26.262401705197178,-22.20548101233912,-4.056920692858057,False
senate,22,stable_hybrid_elastic10_35,-54.07082037590818,-56.92023492844067,2.849414552532494,False
senate,23,stable_hybrid_elastic10_35,16.684713937332862,9.392740797125253,7.29197314020761,False
senate,28,stable_hybrid_elastic10_35,14.637442442935503,7.768603045891093,6.86883939704441,False
senate,29,stable_hybrid_elastic10_35,-56.895704828274646,-56.59198046403853,-0.3037243642361176,False
senate,32,stable_hybrid_elastic10_35,-53.59636513524042,-51.41751877474897,-2.1788463604914483,False
house,2,stable_total_elastic10_35,-63.04179779887492,-63.44556506213457,0.4037672632596525,False
house,4,stable_total_elastic10_35,-32.89357982218757,-30.168234192443013,-2.725345629744556,False
house,5,stable_total_elastic10_35,-43.0475761739449,-42.22783247880138,-0.8197436951435151,False
house,8,stable_total_elastic10_35,-28.38215402700495,-27.045765902606977,-1.336388124397974,False
house,10,stable_total_elastic10_35,9.395567270421637,5.179921085962886,4.215646184458751,False
house,15,stable_total_elastic10_35,-15.826754451536113,-13.49899760982322,-2.327756841712892,False
house,16,stable_total_elastic10_35,-70.63191055346307,-72.98027779212242,2.3483672386593497,False
house,19,stable_total_elastic10_35,41.13907591851313,36.191402249555054,4.947673668958075,False
house,20,stable_total_elastic10_35,-28.682525352212902,-22.96397059610957,-5.718554756103334,False
house,21,stable_total_elastic10_35,-18.53387583261961,-16.342279964211833,-2.191595868407777,False
house,25,stable_total_elastic10_35,-6.610121143869507,-2.465418547051442,-4.144702596818065,False
house,28,stable_total_elastic10_35,-24.69506530956827,-24.862708072052687,0.1676427624844159,False
house,32,stable_total_elastic10_35,4.371294706359897,3.422618194788681,0.9486765115712155,False
house,37,stable_total_elastic10_35,-40.16820441742348,-42.52828814659968,2.3600837291761962,False
house,38,stable_total_elastic10_35,-39.51690793031538,-40.851162777982296,1.3342548476669194,False
house,40,stable_total_elastic10_35,-59.33007775001892,-59.91772109645968,0.5876433464407569,False
house,41,stable_total_elastic10_35,-44.30281651705389,-44.01924227829869,-0.28357423875520027,False
