county_file,chamber,district,party,candidate_official,candidate_norm,votes_official_county
2018-General-Mobile.xls,house,97,R,Stephen McNair,STEPHEN MCNAIR,4605.0
2018-General-Mobile.xls,house,98,D,"Napoleon Bracy, Jr.",NAPOLEON BRACY,9674.0
2018-General-Mobile.xls,house,99,D,Sam Jones,SAM JONES,11794.0
2018-General-Mobile.xls,house,99,R,Charles W. Talbert,CHARLES W TALBERT,4270.0
2018-General-Mobile.xls,house,100,R,Victor Gaston,VICTOR GASTON,12086.0
2018-General-Mobile.xls,house,101,R,Chris Pringle,CHRIS PRINGLE,10274.0
2018-General-Mobile.xls,house,102,R,Shane Stringer,SHANE STRINGER,11048.0
2018-General-Mobile.xls,house,103,D,Barbara Drummond,BARBARA DRUMMOND,8818.0
2018-General-Mobile.xls,house,104,D,Arlene Cunningham Easley,ARLENE CUNNINGHAM EASLEY,4695.0
2018-General-Mobile.xls,house,104,R,Margie Wilcox,MARGIE WILCOX,10152.0
2018-General-Mobile.xls,house,105,R,Chip Brown,CHIP BROWN,10176.0
2018-General-Monroe.xls,senate,22,R,Greg Albritton,GREG ALBRITTON,2045.0
2018-General-Monroe.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,3242.0
2018-General-Monroe.xls,house,64,D,Amber Selman-Lynn,AMBER SELMAN LYNN,950.0
2018-General-Monroe.xls,house,64,R,Harry Shiver,HARRY SHIVER,2611.0
2018-General-Monroe.xls,house,68,D,"Thomas E. ""Action"" Jackson",THOMAS E ACTION JACKSON,3444.0
2018-General-Montgomery.xls,senate,25,D,David A. Sadler,DAVID A SADLER,16959.0
2018-General-Montgomery.xls,senate,25,R,Will Barfoot,WILL BARFOOT,19697.0
2018-General-Montgomery.xls,senate,26,D,"David ""Coach"" Burkette",DAVID COACH BURKETTE,31973.0
2018-General-Montgomery.xls,senate,26,R,D. J. Johnson,D J JOHNSON,7863.0
2018-General-Montgomery.xls,house,69,D,Kelvin Jamichael Lawrence,KELVIN JAMICHAEL LAWRENCE,4594.0
2018-General-Montgomery.xls,house,74,D,Rayford Mack,RAYFORD MACK,6160.0
2018-General-Montgomery.xls,house,74,R,Dimitri Polizos,DIMITRI POLIZOS,9449.0
2018-General-Montgomery.xls,house,75,R,Reed Ingram,REED INGRAM,8390.0
2018-General-Montgomery.xls,house,76,D,Thad McClammy,THAD MCCLAMMY,11681.0
2018-General-Montgomery.xls,house,77,D,Tashina Morris,TASHINA MORRIS,10638.0
2018-General-Montgomery.xls,house,78,D,Kirk Hatcher,KIRK HATCHER,9506.0
2018-General-Montgomery.xls,house,90,D,Joanne Whetstone,JOANNE WHETSTONE,353.0
2018-General-Montgomery.xls,house,90,R,Chris Sells,CHRIS SELLS,754.0
2018-General-Morgan.xls,senate,3,R,Arthur Orr,ARTHUR ORR,30917.0
2018-General-Morgan.xls,house,4,D,Jo Ann Cummings,JO ANN CUMMINGS,2333.0
2018-General-Morgan.xls,house,4,R,Parker Duncan Moore,PARKER DUNCAN MOORE,7962.0
2018-General-Morgan.xls,house,7,D,Kenneth A. Brackins,KENNETH A BRACKINS,246.0
2018-General-Morgan.xls,house,7,R,Proncey Robertson,PRONCEY ROBERTSON,867.0
2018-General-Morgan.xls,house,8,D,Billy Jackson,BILLY JACKSON,5469.0
2018-General-Morgan.xls,house,8,R,Terri Collins,TERRI COLLINS,8803.0
2018-General-Morgan.xls,house,9,R,Scott Stadthagen,SCOTT STADTHAGEN,9370.0
2018-General-Morgan.xls,house,11,R,Randall Shedd,RANDALL SHEDD,1260.0
2018-General-Perry.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,3112.0
2018-General-Perry.xls,house,67,D,Prince Chestnut,PRINCE CHESTNUT,326.0
2018-General-Perry.xls,house,72,D,Ralph A. Howard,RALPH A HOWARD,2999.0
2018-General-Pickens.xls,senate,21,D,Rick Burnham,RICK BURNHAM,1371.0
2018-General-Pickens.xls,senate,21,R,Gerald Allen,GERALD ALLEN,3916.0
2018-General-Pickens.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,2242.0
2018-General-Pickens.xls,house,61,D,"Thomas ""Tommy"" Hyche",THOMAS TOMMY HYCHE,3560.0
2018-General-Pickens.xls,house,61,R,Rodney Sullivan,RODNEY SULLIVAN,4665.0
2018-General-Pike.xls,senate,31,R,Jimmy W. Holley,JIMMY W HOLLEY,6318.0
2018-General-Pike.xls,house,89,D,Joel Lee Williams,JOEL LEE WILLIAMS,4583.0
2018-General-Pike.xls,house,89,R,Wes Allen,WES ALLEN,5813.0
2018-General-Randolph.xls,senate,13,D,Darrell Turner,DARRELL TURNER,1769.0
2018-General-Randolph.xls,senate,13,R,Randy Price,RANDY PRICE,5798.0
2018-General-Randolph.xls,house,37,D,Charlotte A. Clark-Frieson,CHARLOTTE A CLARK FRIESON,1651.0
2018-General-Randolph.xls,house,37,R,Bob Fincher,BOB FINCHER,5943.0
2018-General-Russell.xls,senate,27,D,Nancy Carlton Bendinger,NANCY CARLTON BENDINGER,1614.0
2018-General-Russell.xls,senate,27,R,Tom Whatley,TOM WHATLEY,3024.0
2018-General-Russell.xls,senate,28,D,Billy Beasley,BILLY BEASLEY,7187.0
2018-General-Russell.xls,house,80,D,"Christopher F. ""Apostle"" Davis",CHRISTOPHER F APOSTLE DAVIS,1546.0
2018-General-Russell.xls,house,80,R,Chris E. Blackshear,CHRIS E BLACKSHEAR,3773.0
2018-General-Russell.xls,house,83,D,"Jeremy ""Mr. Eyg"" Gray",JEREMY MR EYG GRAY,4600.0
2018-General-Russell.xls,house,83,R,Michael J Holden II,MICHAEL J HOLDEN,2136.0
2018-General-Russell.xls,house,84,D,Berry Forte,BERRY FORTE,1966.0
2018-General-Shelby.xls,senate,11,D,Carl Carter,CARL CARTER,2278.0
2018-General-Shelby.xls,senate,11,R,Jim McClendon,JIM MCCLENDON,6851.0
2018-General-Shelby.xls,senate,14,D,Jerry McDonald,JERRY MCDONALD,9922.0
2018-General-Shelby.xls,senate,14,R,Cam Ward,CAM WARD,21365.0
2018-General-Shelby.xls,senate,15,R,Dan Roberts,DAN ROBERTS,21385.0
2018-General-Shelby.xls,senate,16,D,Lindsey Deckard,LINDSEY DECKARD,4669.0
2018-General-Shelby.xls,senate,16,R,"J.T. ""Jabo"" Waggoner",J T JABO WAGGONER,11156.0
2018-General-Shelby.xls,house,15,D,Suzanna Coleman,SUZANNA COLEMAN,828.0
2018-General-Shelby.xls,house,15,R,Allen Farley,ALLEN FARLEY,2176.0
2018-General-Shelby.xls,house,41,D,Emily Anne Marcum,EMILY ANNE MARCUM,4610.0
2018-General-Shelby.xls,house,41,R,Corley Ellis,CORLEY ELLIS,14088.0
2018-General-Shelby.xls,house,43,D,Carin Mayo,CARIN MAYO,5847.0
2018-General-Shelby.xls,house,43,R,Arnold G. Mooney II,ARNOLD G MOONEY,15035.0
2018-General-Shelby.xls,house,45,D,Jenn Gray,JENN GRAY,2865.0
2018-General-Shelby.xls,house,45,R,Dickie Drake,DICKIE DRAKE,8752.0
2018-General-Shelby.xls,house,48,D,Alli Summerford,ALLI SUMMERFORD,1234.0
2018-General-Shelby.xls,house,48,R,Jim Carns,JIM CARNS,2123.0
2018-General-Shelby.xls,house,49,R,April Weaver,APRIL WEAVER,4585.0
2018-General-Shelby.xls,house,73,D,Jack Jacobs,JACK JACOBS,5772.0
2018-General-Shelby.xls,house,73,R,Matt Fridy,MATT FRIDY,12913.0
2018-General-StClair.xls,senate,11,D,Carl Carter,CARL CARTER,4775.0
2018-General-StClair.xls,senate,11,R,Jim McClendon,JIM MCCLENDON,20241.0
2018-General-StClair.xls,senate,17,R,Shay Shelnutt,SHAY SHELNUTT,3998.0
2018-General-StClair.xls,house,30,D,Jared Vaughn,JARED VAUGHN,989.0
2018-General-StClair.xls,house,30,R,B. Craig Lipscomb,B CRAIG LIPSCOMB,5292.0
2018-General-StClair.xls,house,36,D,Nicki Arnold-Swindle,NICKI ARNOLD SWINDLE,1366.0
2018-General-StClair.xls,house,36,R,Randy Wood,RANDY WOOD,4921.0
2018-General-StClair.xls,house,50,R,Jim Hill,JIM HILL,14412.0
2018-General-Sumter.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,4512.0
2018-General-Sumter.xls,house,71,D,"Artis ""A.J."" McCampbell",ARTIS A J MCCAMPBELL,4537.0
2018-General-Talladega.xls,senate,11,D,Carl Carter,CARL CARTER,4358.0
2018-General-Talladega.xls,senate,11,R,Jim McClendon,JIM MCCLENDON,9100.0
2018-General-Talladega.xls,senate,12,D,Jim Williams,JIM WILLIAMS,1995.0
2018-General-Talladega.xls,senate,12,R,Del Marsh,DEL MARSH,3759.0
2018-General-Talladega.xls,senate,15,R,Dan Roberts,DAN ROBERTS,3078.0
2018-General-Talladega.xls,house,32,D,Barbara Bigsby Boyd,BARBARA BIGSBY BOYD,3600.0
2018-General-Talladega.xls,house,32,R,James Allen Lloyd,JAMES ALLEN LLOYD,2568.0
2018-General-Talladega.xls,house,33,D,Scott Brewer,SCOTT BREWER,3904.0
2018-General-Talladega.xls,house,33,R,Ron Johnson,RON JOHNSON,7282.0
2018-General-Talladega.xls,house,35,R,Steve Hurst,STEVE HURST,5322.0
2018-General-Talladega.xls,house,36,D,Nicki Arnold-Swindle,NICKI ARNOLD SWINDLE,400.0
2018-General-Talladega.xls,house,36,R,Randy Wood,RANDY WOOD,988.0
2018-General-Tallapoosa.xls,senate,27,D,Nancy Carlton Bendinger,NANCY CARLTON BENDINGER,3325.0
2018-General-Tallapoosa.xls,senate,27,R,Tom Whatley,TOM WHATLEY,9350.0
2018-General-Tallapoosa.xls,senate,30,R,"Clyde Chambliss, Jr.",CLYDE CHAMBLISS,1620.0
2018-General-Tallapoosa.xls,house,81,D,"Jeremy ""J.J."" Jeffcoat",JEREMY J J JEFFCOAT,3786.0
2018-General-Tallapoosa.xls,house,81,R,Ed Oliver,ED OLIVER,10087.0
2018-General-Tallapoosa.xls,house,82,D,Pebblin Walker Warren,PEBBLIN WALKER WARREN,1080.0
2018-General-Tuscaloosa.xls,senate,5,R,Greg J. Reed,GREG J REED,7598.0
2018-General-Tuscaloosa.xls,senate,21,D,Rick Burnham,RICK BURNHAM,13774.0
2018-General-Tuscaloosa.xls,senate,21,R,Gerald Allen,GERALD ALLEN,24976.0
2018-General-Tuscaloosa.xls,senate,24,D,Bobby Singleton,BOBBY SINGLETON,16030.0
2018-General-Tuscaloosa.xls,house,16,R,Kyle South,KYLE SOUTH,2766.0
2018-General-Tuscaloosa.xls,house,61,D,"Thomas ""Tommy"" Hyche",THOMAS TOMMY HYCHE,2931.0
2018-General-Tuscaloosa.xls,house,61,R,Rodney Sullivan,RODNEY SULLIVAN,7742.0
2018-General-Tuscaloosa.xls,house,62,D,Will Benton,WILL BENTON,5265.0
2018-General-Tuscaloosa.xls,house,62,R,Rich Wingo,RICH WINGO,11282.0
2018-General-Tuscaloosa.xls,house,63,R,Bill Poole,BILL POOLE,10239.0
2018-General-Tuscaloosa.xls,house,70,D,Christopher John England,CHRISTOPHER JOHN ENGLAND,11541.0
2018-General-Tuscaloosa.xls,house,71,D,"Artis ""A.J."" McCampbell",ARTIS A J MCCAMPBELL,5684.0
2018-General-Walker.xls,senate,5,R,Greg J. Reed,GREG J REED,19543.0
2018-General-Walker.xls,house,13,R,Connie Cooner Rowe,CONNIE COONER ROWE,11743.0
2018-General-Walker.xls,house,14,R,Tim Wadsworth,TIM WADSWORTH,7642.0
2018-General-Washington.xls,senate,22,R,Greg Albritton,GREG ALBRITTON,4714.0
2018-General-Washington.xls,house,65,D,Elaine Beech,ELAINE BEECH,2796.0
2018-General-Washington.xls,house,65,R,Brett Easterbrook,BRETT EASTERBROOK,4101.0
2018-General-Wilcox.xls,senate,23,D,Malika Sanders-Fortier,MALIKA SANDERS FORTIER,3207.0
2018-General-Wilcox.xls,house,69,D,Kelvin Jamichael Lawrence,KELVIN JAMICHAEL LAWRENCE,3384.0
