cycle,chamber,district,statewide_index_margin_activity,raw_overperformance_activity,statewide_index_margin_geographic,raw_overperformance_geographic,statewide_index_margin_change,raw_overperformance_change
2014,senate,1,-35.45808114300732,10.167779665604495,-25.60729154339164,0.3169900659888149,9.85078959961568,-9.85078959961568
2014,senate,2,-36.22783502437891,-63.77216497562109,-38.54520224311005,-61.45479775688995,-2.3173672187311354,2.3173672187311354
2014,senate,3,-43.99879961515253,-56.00120038484747,-45.51935220059676,-54.48064779940324,-1.5205525854442286,1.5205525854442286
2014,senate,4,-45.12889221571972,-2.0830036950609454,-41.02151433375342,-6.190381577027246,4.1073778819663005,-4.1073778819663005
2014,senate,5,-49.27021912922788,-50.72978087077212,-22.16487968531485,-77.83512031468514,27.10533944391303,-27.105339443913024
2014,senate,6,-18.006382818100366,17.816122985642608,-35.03637317887475,34.846113346416985,-17.02999036077438,17.029990360774377
2014,senate,7,-28.347733770974525,-1.3288260271942534,-32.084716708292376,2.408156910123598,-3.736982937317851,3.736982937317851
2014,senate,8,-46.92100576436917,2.320066797233018,-40.16743107488348,-4.433507892252671,6.7535746894856885,-6.753574689485689
2014,senate,9,-59.74939245771748,-40.25060754228252,-51.65650236888308,-48.34349763111692,8.092890088834395,-8.092890088834395
2014,senate,10,-33.2001483652247,29.74119736206937,-31.80660270092892,28.3476516977736,1.3935456642957789,-1.3935456642957718
2014,senate,11,-51.47226506232556,-3.919280993458969,-21.122934941252,-34.26861111453253,30.34933012107356,-30.349330121073564
2014,senate,12,-31.644053592993185,17.714987766462087,-44.79477075839778,30.86570493186668,-13.150717165404597,13.150717165404593
2014,senate,13,-32.190764468319934,8.888579198656185,-27.63910976742017,4.336924497756417,4.551654700899764,-4.551654700899768
2014,senate,14,-48.39594882416349,-51.60405117583651,-46.085094398429455,-53.91490560157055,2.3108544257340355,-2.3108544257340426
2014,senate,15,-49.27301815645068,-50.72698184354932,-23.6553819162934,-76.3446180837066,25.61763624015728,-25.61763624015729
2014,senate,16,-53.89091921482541,-0.5813404098070549,-17.137744059893986,-37.33451556473848,36.75317515493143,-36.75317515493143
2014,senate,17,-63.53798502040479,-36.46201497959521,-30.45234168725685,-69.54765831274315,33.08564333314794,-33.08564333314794
2014,senate,18,46.03272378019124,53.96727621980876,1.2646591660130164,98.73534083398698,-44.76806461417822,44.76806461417822
2014,senate,19,44.991250103216736,55.008749896783264,1.2646591660130182,98.73534083398698,-43.72659093720372,43.72659093720372
2014,senate,20,39.46408842583034,60.53591157416966,1.26465916601302,98.73534083398698,-38.19942925981732,38.19942925981732
2014,senate,21,-37.79157132303044,12.998745101632789,-10.117185733883508,-14.675640487514142,27.67438558914693,-27.67438558914693
2014,senate,22,-41.812823422566886,6.933726320142981,-27.89274374687508,-6.986353355548832,13.920079675691806,-13.920079675691813
2014,senate,23,28.7154672851739,71.2845327148261,16.859210885868197,83.1407891141318,-11.856256399305703,11.856256399305707
2014,senate,24,31.731634234723952,68.26836576527604,17.339733923233194,82.6602660767668,-14.391900311490758,14.391900311490758
2014,senate,25,-25.353343947936068,-74.64665605206393,6.434416837412904,-106.4344168374129,31.787760785348972,-31.787760785348965
2014,senate,26,59.96321929617522,40.03678070382478,20.38145224735996,79.61854775264004,-39.58176704881526,39.58176704881526
2014,senate,27,-24.57792672037329,-6.748732432315162,-19.41228220561728,-11.914376947071185,5.165644514756011,-5.165644514756023
2014,senate,28,22.545190809223488,24.28412599390576,9.248162816943587,37.581153986185655,-13.2970279922799,13.297027992279894
2014,senate,29,-45.316582314458,-54.683417685542,-42.04927396258604,-57.950726037413965,3.267308351871961,-3.267308351871968
2014,senate,30,-35.29627821333924,-47.07411801636926,-23.727091486356144,-58.64330474335236,11.569186726983098,-11.569186726983098
2014,senate,31,-39.933663504299005,-5.6252927320938895,-47.03895470983543,1.479998473442535,-7.105291205536425,7.105291205536425
2014,senate,32,-61.120774012620416,-38.879225987379584,-61.16406121890817,-38.83593878109183,-0.043287206287750735,0.043287206287750735
2014,senate,33,52.82013281521159,47.179867184788414,-14.85256740752508,114.85256740752509,-67.67270022273668,67.67270022273667
2014,senate,34,-56.07736967179766,-43.92263032820234,-14.85256740752508,-85.14743259247491,41.22480226427258,-41.224802264272576
2014,senate,35,-44.328491840269216,-2.95785346412871,-14.852567407525086,-32.43377789687284,29.47592443274413,-29.47592443274413
2018,house,1,-19.82038480894778,-80.17961519105222,-21.11365536901987,-78.88634463098013,-1.2932705600720915,1.293270560072088
2018,house,2,-47.96248075858536,1.7095402410542704,-47.16816805883959,0.9152275413085036,0.7943126997457668,-0.7943126997457668
2018,house,3,-12.176966175033195,7.129156524154832,-16.075672878205122,11.027863227326758,-3.8987067031719267,3.8987067031719267
2018,house,4,-40.924611451322576,-2.902909816292201,-43.49219076428564,-0.3353305033291391,-2.567579312963062,2.567579312963062
2018,house,5,-41.40477683112026,-3.3966250380386214,-40.487250239001845,-4.314151630157035,0.9175265921184135,-0.9175265921184135
2018,house,6,-22.00279635618928,-77.99720364381072,-17.678608430401034,-82.32139156959897,4.3241879257882445,-4.324187925788252
2018,house,7,-55.80914707880221,5.408705211914615,-51.03025726965445,0.6298154027668517,4.778889809147763,-4.778889809147763
2018,house,8,-24.733358168464672,1.372932159496063,-24.07054112470464,0.710115115736027,0.6628170437600325,-0.662817043760036
2018,house,9,-67.64916639421533,-32.35083360578467,-61.36881761246004,-38.631182387539965,6.280348781755286,-6.280348781755293
2018,house,10,-8.434629061219503,-5.072061168520461,-8.551472458778207,-4.955217770961758,-0.11684339755870354,0.11684339755870354
2018,house,11,-75.30915776680962,-24.69084223319038,-72.65132484395004,-27.348675156049964,2.6578329228595834,-2.6578329228595834
2018,house,12,-69.77882228329312,-30.22117771670688,-70.93881854359189,-29.061181456408107,-1.1599962602987688,1.1599962602987723
2018,house,13,-60.36373571320477,-39.63626428679523,-60.495495849414965,-39.50450415058504,-0.13176013621019678,0.13176013621018967
2018,house,14,-66.50101320548303,-33.498986794516966,-60.23480054932177,-39.76519945067823,6.266212656161265,-6.266212656161265
2018,house,15,-30.040773082725043,-4.269107369006751,-17.64969862083123,-16.660181830900562,12.391074461893812,-12.391074461893812
2018,house,16,-60.395500603183606,-39.6044993968164,-51.909139420489,-48.090860579511,8.486361182694608,-8.486361182694601
2018,house,17,-67.67666948151346,-32.32333051848654,-68.74528677264537,-31.254713227354628,-1.0686172911319147,1.0686172911319147
2018,house,18,-43.64414470538095,0.245994534235372,-43.48575021787432,0.0876000467287383,0.15839448750663365,-0.15839448750663368
2018,house,19,40.04361163191948,59.956388368080525,30.02686549843188,69.97313450156813,-10.016746133487601,10.016746133487601
2018,house,20,-30.945972328962306,4.721712076323438,-28.02470521153462,1.8004449588957565,2.9212671174276856,-2.921267117427682
2018,house,21,-17.684387992217914,-4.986333600262043,-17.603775914349722,-5.066945678130235,0.08061207786819224,-0.08061207786819224
2018,house,22,-49.80159158181695,-50.19840841818305,-43.97119094115215,-56.02880905884785,5.830400640664799,-5.830400640664799
