specification,chamber,district,public_margin,ensemble_margin,change,winner_changed
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,99,31.823403903944776,34.74793038093463,2.9245264769898576,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,house,101,-26.52085457872553,-27.977645970791663,-1.4567913920661333,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,2,1.365739626761889,-1.0184138833137188,-2.384153510075608,True
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,3,-37.71958219015087,-36.511399777345154,1.2081824128057121,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,6,-51.33435722894423,-48.89924377281318,2.435113456131049,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,7,-9.453156895869265,-11.025149005911265,-1.5719921100420002,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,8,-51.84573512309653,-50.47908892648017,1.366646196616358,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,11,-48.05910770915243,-48.16745541495091,-0.10834770579847941,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,13,-48.03819977698762,-49.83825898218275,-1.800059205195133,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,14,-41.55322693125855,-40.15202672832912,1.4012002029294308,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,16,-22.20548101233912,-25.877931373925016,-3.672450361585895,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,22,-56.92023492844067,-53.836977168963706,3.0832577594769646,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,23,9.392740797125253,13.87027272441257,4.477531927287318,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,28,7.768603045891093,14.15070856316737,6.382105517276277,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,29,-56.59198046403853,-55.129870631320145,1.462109832718383,False
public_0.7+all_hybrid_stable_composition__elastic_30__1_0.3,senate,32,-51.41751877474897,-51.12470237308398,0.292816401664993,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,2,-63.44556506213457,-63.66051721945091,-0.21495215731633976,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,4,-30.168234192443013,-32.621639914110574,-2.4534057216675613,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,5,-42.22783247880138,-43.40048463321737,-1.1726521544159851,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,8,-27.045765902606977,-27.470445537024503,-0.4246796344175259,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,10,5.179921085962886,12.670547666766447,7.4906265808035615,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,15,-13.49899760982322,-15.877951876147176,-2.378954266323955,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,16,-72.98027779212242,-73.12928747939532,-0.1490096872728941,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,19,36.191402249555054,44.01515431217075,7.8237520626156964,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,20,-22.96397059610957,-24.262637040802176,-1.298666444692607,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,21,-16.342279964211833,-18.376911935568575,-2.034631971356742,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,25,-2.465418547051442,-5.0945826922499045,-2.6291641451984624,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,28,-24.862708072052687,-25.718591888446927,-0.8558838163942397,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,32,3.422618194788681,7.251952020862032,3.829333826073351,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,37,-42.52828814659968,-42.59421274260057,-0.06592459600089029,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,38,-40.851162777982296,-41.568387619200664,-0.7172248412183677,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,40,-59.91772109645968,-60.359683755918056,-0.4419626594583761,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,41,-44.01924227829869,-44.792992940716196,-0.7737506624175055,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,43,-39.82294291486019,-41.98988351322212,-2.1669405983619257,False
public_0.7+all_hybrid_composition__extra_trees__1_0.3,house,45,-41.76377173462995,-42.985969164226006,-1.2221974295960578,False
