cycle,chamber,district,dem_votes,rep_votes,two_party_votes,legislative_dem_margin,war_eligible,winner_party,map_vintage,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,raw_overperformance,core_raw_overperformance,incumbent_count,incumbent_candidate,incumbent_party,incumbency_source,match_score,dem_incumbent,rep_incumbent,open_seat,incumbency_status,pres_2012_dem_votes,pres_2012_rep_votes,pres_2012_two_party_votes,pres_2012_dem_margin,pres_2012_fallback_share,pres_2012_source_complete,pres_2016_dem_votes,pres_2016_rep_votes,pres_2016_two_party_votes,pres_2016_dem_margin,pres_2016_fallback_share,pres_2016_source_complete,pres_swing_2012_2016,pres_2020_dem_votes,pres_2020_rep_votes,pres_2020_two_party_votes,pres_2020_dem_margin,pres_2020_fallback_share,pres_2020_source_complete,pres_swing_2016_2020,acs_vintage,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,white_college_method,dem_candidate_spending,rep_candidate_spending,log_spending_ratio_d_to_r,spending_constant,dem_finance_matched,rep_finance_matched,finance_complete
2014,house,31,0.0,10944.0,10944.0,-100.0,False,R,2012_enacted,-51.2980305929943,3,-47.18637354730427,2,True,complete_core_expanded,-48.7019694070057,-52.81362645269573,0,,,,,False,False,True,open,5146.405073625279,18823.85322372402,23970.2582973493,-57.06007828714651,0.2260046071154338,True,,,,,,,,,,,,,,,2014,"State House District 31 (2014), Alabama",43716,29818,0.1907997072010248,0.206418941578912,0.223184570351658,24939,acs_c15002h_white_nh_bachelors_plus_direct,0.0,22704.42,,500.0,False,True,False
2014,house,32,11115.0,0.0,11115.0,100.0,False,D,2012_enacted,4.615077320343876,3,10.19412392431109,2,True,complete_core_expanded,95.38492267965611,89.80587607568891,1,Barbara Bigsby Boyd,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,10429.743666699733,7515.949717355168,17945.6933840549,16.23673093586635,0.1201764760042046,True,,,,,,,,,,,,,,,2014,"State House District 32 (2014), Alabama",44419,29711,0.6603930750354579,0.1046750361818854,0.1212468081359514,11357,acs_c15002h_white_nh_bachelors_plus_direct,39800.68,0.0,,500.0,True,False,False
2014,house,33,2748.0,8343.0,11091.0,-50.44630781714904,True,R,2012_enacted,-29.69734870333789,3,-26.94091066537936,2,True,complete_core_expanded,-20.74895911381115,-23.505397151769685,1,Ron Johnson,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,6193.72883349941,11750.105044682306,17943.833878181715,-30.965379243390185,0.0391679897814089,True,,,,,,,,,,,,,,,2014,"State House District 33 (2014), Alabama",45329,31363,0.2662092700037504,0.1102573095685999,0.1274284520576561,23935,acs_c15002h_white_nh_bachelors_plus_direct,444.21,27406.46,-3.3862648831939737,500.0,True,True,True
2014,house,34,0.0,1336.0,1336.0,-100.0,False,R,2012_enacted,-65.15896391785891,3,-63.52271177044406,2,True,complete_core_expanded,-34.84103608214109,-36.47728822955594,0,,,,,False,False,True,open,44.18021258045866,194.9136143478733,239.093826928332,-63.043619194985226,0.1806431273644388,True,,,,,,,,,,,,,,,2014,"State House District 34 (2014), Alabama",44968,29964,0.1444805194805194,0.1239487384861834,0.1306090343845981,26698,acs_c15002h_white_nh_bachelors_plus_direct,0.0,32271.52,,500.0,False,True,False
2014,house,35,0.0,6945.0,6945.0,-100.0,False,R,2012_enacted,-30.626851973211547,3,-29.516836466559823,2,True,complete_core_expanded,-69.37314802678846,-70.48316353344018,1,Steve Hurst,R,prior_winner_match,1.0,False,True,False,incumbent_running,5028.9927540670815,10387.946381576729,15416.939135643808,-34.76016594707699,0.1258252350510947,True,,,,,,,,,,,,,,,2014,"State House District 35 (2014), Alabama",44693,31144,0.2147539883203186,0.1198304649370665,0.1220930232558139,25112,acs_c15002h_white_nh_bachelors_plus_direct,0.0,101115.34,,500.0,False,True,False
2014,house,36,0.0,19591.0,19591.0,-100.0,False,R,2012_enacted,-44.79230777401992,3,-45.20730428858966,2,True,complete_core_expanded,-55.20769222598008,-54.79269571141034,1,Randy Wood,R,prior_winner_match+wikipedia_incumbent_annotation,1.0,False,True,False,incumbent_running,6088.533232827317,15676.709998442971,21765.243231270288,-44.05269752207616,0.2310533584478002,True,,,,,,,,,,,,,,,2014,"State House District 36 (2014), Alabama",45468,32277,0.2090481217559602,0.1999256436471791,0.2046744072445797,26613,acs_c15002h_white_nh_bachelors_plus_direct,0.0,15487.02,,500.0,False,True,False
2014,house,37,5518.0,5949.0,11467.0,-3.758611668265457,True,R,2012_enacted,-24.408795630753943,3,-22.43110626219034,2,True,complete_core_expanded,20.650183962488484,18.67249459392488,0,,,,,False,False,True,open,7268.617902046385,12172.438191844967,19441.056093891355,-25.22404269662815,0.1130757421171497,True,,,,,,,,,,,,,,,2014,"State House District 37 (2014), Alabama",46579,32468,0.322162347839155,0.1126031785142294,0.1313334793080797,22835,acs_c15002h_white_nh_bachelors_plus_direct,38749.22,87148.92,-0.8034077181376708,500.0,True,True,True
2014,house,38,0.0,7279.0,7279.0,-100.0,False,R,2012_enacted,-34.63759842033122,3,-32.27341784018431,2,True,complete_core_expanded,-65.36240157966878,-67.72658215981569,0,,,,,False,False,True,open,6861.064650540116,13313.012324828866,20174.076975368986,-31.981377300017684,0.2482227045059163,True,,,,,,,,,,,,,,,2014,"State House District 38 (2014), Alabama",47278,32471,0.219954312788189,0.1824397154383912,0.1945819423659875,26061,acs_c15002h_white_nh_bachelors_plus_direct,0.0,0.0,,500.0,False,False,False
2014,house,39,7786.0,5928.0,13714.0,13.54819892081085,True,D,2012_enacted,-44.09278937228465,3,-42.28712151682042,2,True,complete_core_expanded,57.6409882930955,55.83532043763127,1,Richard Lindsey,D,prior_winner_match+wikipedia_incumbent_annotation,1.0,True,False,False,incumbent_running,3721.856564648812,13973.359524747611,17695.216089396425,-57.93375400621328,0.3164090648204231,True,,,,,,,,,,,,,,,2014,"State House District 39 (2014), Alabama",44810,31728,0.1094398571747378,0.1219427634896621,0.1225848971521731,28829,acs_c15002h_white_nh_bachelors_plus_direct,125059.08,2469.0,3.744551208991027,500.0,True,True,True
2014,house,40,9105.0,22356.0,31461.0,-42.11881376942882,True,R,2012_enacted,-38.21125374730551,2,,1,False,incomplete_core,-3.907560022123313,,0,,,,,False,False,True,open,5240.549388874008,13473.455984832488,18714.00537370649,-43.99328968626811,0.212990474525911,True,,,,,,,,,,,,,,,2014,"State House District 40 (2014), Alabama",47151,29882,0.1571970901995716,0.2003547285991566,0.2039089184060721,26350,acs_c15002h_white_nh_bachelors_plus_direct,5571.84,0.0,,500.0,True,False,False
