cycle,chamber,district,statewide_index_margin,statewide_index_offices,core_index_margin,core_index_offices,core_index_complete,baseline_quality,map_vintage
2014,senate,19,44.434280479001806,3,44.62234962850888,2,True,complete_core_expanded,2012_enacted
2014,senate,20,37.065592009736044,3,37.20301084303533,2,True,complete_core_expanded,2012_enacted
2014,senate,21,-38.490150013243216,3,-35.90022835738749,2,True,complete_core_expanded,2012_enacted
2014,senate,22,-42.659213937860514,3,-41.3612426481307,2,True,complete_core_expanded,2012_enacted
2014,senate,23,28.49396701780958,3,30.92942587088075,2,True,complete_core_expanded,2012_enacted
2014,senate,24,31.584752502988575,3,32.45351901835821,2,True,complete_core_expanded,2012_enacted
2014,senate,25,-26.09391735307462,3,-20.449032000628517,2,True,complete_core_expanded,2012_enacted
2014,senate,26,57.88877596910058,3,59.808572088623684,2,True,complete_core_expanded,2012_enacted
2014,senate,27,-23.92194412247949,3,-20.135878750654435,2,True,complete_core_expanded,2012_enacted
2014,senate,28,18.586202902879254,3,19.62637594549105,2,True,complete_core_expanded,2012_enacted
2014,senate,29,-45.82324194280978,3,-39.472775553971765,2,True,complete_core_expanded,2012_enacted
2014,senate,30,-35.29449192671561,3,-31.3138293207029,2,True,complete_core_expanded,2012_enacted
2014,senate,31,-39.95419880217793,3,-35.04994570424451,2,True,complete_core_expanded,2012_enacted
2014,senate,32,-61.08640845290065,3,-59.161038799069274,2,True,complete_core_expanded,2012_enacted
2014,senate,33,52.947922689556215,3,53.071470894241486,2,True,complete_core_expanded,2012_enacted
2014,senate,34,-55.515360713076824,3,-54.11983637903708,2,True,complete_core_expanded,2012_enacted
2014,senate,35,-44.29747466598943,3,-42.635045634959354,2,True,complete_core_expanded,2012_enacted
2018,house,1,-19.855106686981102,5,-18.326125668846043,2,True,complete_core_expanded,2017_remedial
2018,house,2,-48.03531954730075,5,-45.27475742225576,2,True,complete_core_expanded,2017_remedial
2018,house,3,-12.225027418016216,5,-9.998507443712432,2,True,complete_core_expanded,2017_remedial
2018,house,4,-40.38338304099288,5,-38.05163897336047,2,True,complete_core_expanded,2017_remedial
2018,house,5,-41.68251828799399,5,-39.3504252096881,2,True,complete_core_expanded,2017_remedial
2018,house,6,-21.442837562823193,5,-20.2801354081385,2,True,complete_core_expanded,2017_remedial
2018,house,7,-55.7830508745828,5,-50.4629311430334,2,True,complete_core_expanded,2017_remedial
2018,house,8,-24.86484181870837,5,-22.578635498234526,2,True,complete_core_expanded,2017_remedial
2018,house,9,-67.49840429387372,5,-64.87898788613938,2,True,complete_core_expanded,2017_remedial
2018,house,10,-8.72723854035625,5,-8.086977649329155,2,True,complete_core_expanded,2017_remedial
2018,house,11,-75.1676659895741,5,-73.05608628938907,2,True,complete_core_expanded,2017_remedial
2018,house,12,-69.8572133615896,5,-66.91861175122179,2,True,complete_core_expanded,2017_remedial
2018,house,13,-60.42758441502018,5,-55.44604484494438,2,True,complete_core_expanded,2017_remedial
2018,house,14,-66.2437815822793,5,-61.237068369068695,2,True,complete_core_expanded,2017_remedial
2018,house,15,-30.03080925377217,5,-27.026197019961682,2,True,complete_core_expanded,2017_remedial
2018,house,16,-60.116662862033024,5,-55.459664052779445,2,True,complete_core_expanded,2017_remedial
2018,house,17,-67.67901695344564,5,-62.42188765652582,2,True,complete_core_expanded,2017_remedial
2018,house,18,-43.503366526193055,5,-39.551984260893306,2,True,complete_core_expanded,2017_remedial
2018,house,19,38.5626282591788,5,38.91036258097508,2,True,complete_core_expanded,2017_remedial
2018,house,20,-31.447786757862936,5,-29.07711397639645,2,True,complete_core_expanded,2017_remedial
2018,house,21,-17.824352614233604,5,-15.808691584503888,2,True,complete_core_expanded,2017_remedial
2018,house,22,-49.044782524402464,5,-46.683092790361755,2,True,complete_core_expanded,2017_remedial
2018,house,23,-54.20051944821047,5,-51.6462272088614,2,True,complete_core_expanded,2017_remedial
2018,house,24,-63.322794750055664,5,-61.702011107164054,2,True,complete_core_expanded,2017_remedial
2018,house,25,-15.212214686519928,5,-14.616214207506594,2,True,complete_core_expanded,2017_remedial
2018,house,26,-64.44340748041375,5,-63.4194918814795,2,True,complete_core_expanded,2017_remedial
2018,house,27,-65.52436186660339,5,-64.29312481728095,2,True,complete_core_expanded,2017_remedial
2018,house,28,-10.851367116457162,5,-8.04321091601329,2,True,complete_core_expanded,2017_remedial
2018,house,29,-61.054762790063975,5,-57.9637836615877,2,True,complete_core_expanded,2017_remedial
2018,house,30,-62.36398164507366,5,-59.15146787026555,2,True,complete_core_expanded,2017_remedial
2018,house,31,-54.223199844930456,5,-51.9813913827806,2,True,complete_core_expanded,2017_remedial
2018,house,32,18.802639311042782,5,19.68419699954186,2,True,complete_core_expanded,2017_remedial
2018,house,33,-30.729853978020675,5,-28.79812609139276,2,True,complete_core_expanded,2017_remedial
2018,house,34,-75.27107517455664,5,-73.34953295846199,2,True,complete_core_expanded,2017_remedial
2018,house,35,-43.57805606352796,5,-40.90073017554482,2,True,complete_core_expanded,2017_remedial
2018,house,36,-41.180052507001236,5,-39.02297384702739,2,True,complete_core_expanded,2017_remedial
2018,house,37,-38.06165736163724,5,-37.352202358576996,2,True,complete_core_expanded,2017_remedial
