state,year,chamber,district,party,candidate,candidate_actual_margin,candidate_expected_margin,candidate_quality_residual,model,fold_type,fold,baseline_allocation_quality,incumbency_balance
FL,2010,house,31,D,"james, jodi",-24.36326865954623,-45.78706416992499,21.42379551037876,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,31,R,"tobia, john",24.36326865954623,45.78706416992499,-21.42379551037876,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,33,D,"cruz, leo",-23.557424011309944,-24.77362287422541,1.2161988629154656,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,33,R,"brodeur, jason",23.557424011309944,24.77362287422541,-1.2161988629154656,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,34,D,"barnes, steve",-12.003485213469324,-41.459690309515494,29.45620509604617,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,34,R,"dorworth, chris",12.003485213469324,41.459690309515494,-29.45620509604617,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,35,D,"mercado, amy",-18.306165475394664,-34.2682862052596,15.962120729864935,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,35,R,"cannon, r dean, jr",18.306165475394664,34.2682862052596,-15.962120729864935,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,36,D,"randolph, scott",23.871461361897477,18.72460819062951,5.146853171267967,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,36,R,"reynolds, greg",-23.871461361897477,-18.72460819062951,-5.146853171267967,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,40,D,"christian, todd",-25.484764542936286,-38.45126020751134,12.966495664575053,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,40,R,"eisnaugle, eric e",25.484764542936286,38.45126020751134,-12.966495664575053,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,41,D,"douglas, lee",-20.444517077953915,-37.692822282585986,17.24830520463207,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,41,R,"precourt, stephen",20.444517077953915,37.692822282585986,-17.24830520463207,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,44,D,"rowden, diane",-20.34901502203832,-46.63660114025856,26.287586118220243,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,44,R,"schenck, robert c, iii",20.34901502203832,46.63660114025856,-26.287586118220243,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,47,D,"steinberg, michael a",-17.427019387890297,-31.399978052249804,13.972958664359506,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,47,R,"grant, james",17.427019387890297,31.399978052249804,-13.972958664359506,portable_temporal,leave_state_out,FL,whole_precincts,0.0
FL,2010,house,48,D,"mckone, tom",-22.965033831692395,-49.077055010308634,26.11202117861624,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,48,R,"nehr, peter f",22.965033831692395,49.077055010308634,-26.11202117861624,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,50,D,"leonard, shelly",-19.474671669793626,-36.94606225278072,17.471390582987095,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,50,R,"hooper, ed",19.474671669793626,36.94606225278072,-17.471390582987095,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,51,D,"long, janet c",-6.530918645022052,-16.069407186895248,9.538488541873196,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,51,R,"ahern, larry",6.530918645022052,16.069407186895248,-9.538488541873196,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,52,D,"heller, bill",-2.408679927667269,-10.762557202393701,8.353877274726432,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,52,R,"brandes, jeff",2.408679927667269,10.762557202393701,-8.353877274726432,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,53,D,"kriseman, rick",17.090320774089168,-0.17779474890075164,17.26811552298992,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,53,R,"cuba, thomas r",-17.090320774089168,0.17779474890075164,-17.26811552298992,portable_temporal,leave_state_out,FL,whole_precincts,1.0
FL,2010,house,54,D,"russell, mary",-21.640109611285904,-45.48356458394972,23.843454972663817,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
FL,2010,house,54,R,"frishe, james c (jim)",21.640109611285904,45.48356458394972,-23.843454972663817,portable_temporal,leave_state_out,FL,whole_precincts,-1.0
