chamber,district,specification,predicted_dem_margin,public_margin,margin_change_vs_public,winner_changed_vs_public,cycle,dem_spending,rep_spending,dem_matched,rep_matched,log_gap_10k,log_gap_50k,log_gap_100k,finance_adjustment,combined_specification,total_change_vs_public
house,19,public_80_20_total_ridge,36.527806645058426,36.191402249555054,0.0,False,2026,20841.49,7.08,1,1,1.1255680189258501,0.348280250604135,0.18923870331475076,0.3364043955033691,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.3364043955033722
house,20,public_80_20_total_ridge,-23.290403623490015,-22.96397059610957,0.0,False,2026,0.0,386389.23,0,1,-3.6798115395669573,-2.1665115690328327,-1.5818390021489854,-0.3264330273804457,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,-0.3264330273804461
house,21,public_80_20_total_ridge,-16.08130967185885,-16.342279964211833,0.0,False,2026,2993.67,10519.46,1,1,-0.45691138836775264,-0.13279249375310215,-0.07052408401935421,0.2609702923529817,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2609702923529831
house,25,public_80_20_total_ridge,-2.196318829782353,-2.465418547051442,0.0,False,2026,3969.71,8486.9,1,1,-0.28017095886459525,-0.08037983427690244,-0.0425298216441331,0.2690997172690893,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2690997172690892
house,28,public_80_20_total_ridge,-24.555859438883516,-24.862708072052687,0.0,False,2026,12418.47,3003.91,1,1,0.544635091204571,0.16349554075177486,0.08746129912914563,0.30684863316917116,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.3068486331691709
house,32,public_80_20_total_ridge,3.6910309881576557,3.422618194788681,0.0,False,2026,15629.18,20938.68,1,1,-0.18827563490883237,-0.07779542777717835,-0.04489529375194759,0.2684127933689745,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2684127933689746
house,37,public_80_20_total_ridge,-42.218461506052556,-42.52828814659968,0.0,False,2026,10264.99,0.0,1,1,0.7063096736244711,0.18672833267835465,0.09771628281545618,0.3098266405471245,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.30982664054712217
house,38,public_80_20_total_ridge,-40.73367603891966,-40.851162777982296,0.0,False,2026,2379.46,80062.89,1,1,-1.9844695565113053,-0.9095035729596685,-0.564620072209157,0.11748673906263447,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.11748673906263463
house,40,public_80_20_total_ridge,-58.9539168161696,-59.91772109645968,0.0,False,2026,1870.26,0.0,1,0,0.1714510193472047,0.03672259545392839,0.018529856883130746,0.963804280290076,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.963804280290077
house,41,public_80_20_total_ridge,-43.76568885637833,-44.01924227829869,0.0,False,2026,2570.4700000000003,12912.67,1,1,-0.6003396201534085,-0.17959301901280428,-0.09606461352009811,0.2535534219203565,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.25355342192035835
house,43,public_80_20_total_ridge,-39.73538429379781,-39.82294291486019,0.0,False,2026,0.0,16909.37,0,1,-0.9898894600994809,-0.29131601168931237,-0.1562288332555317,0.0875586210623828,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.0875586210623851
house,45,public_80_20_total_ridge,-41.58686097060669,-41.76377173462995,0.0,False,2026,6870.18,53178.51,1,1,-1.3204166453543218,-0.5956894685020214,-0.35998914649100555,0.17691076402325534,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.17691076402325479
house,47,public_80_20_total_ridge,-11.561771054812736,-12.542237344054575,0.0,False,2026,7886.19,0.0,1,0,0.5814438137070228,0.1464558360211697,0.07590668920613086,0.9804662892418385,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.9804662892418392
house,50,public_80_20_total_ridge,-56.816294436222016,-56.83020958474616,0.0,False,2026,0.0,50655.48,0,1,-1.8026248928072848,-0.6996805912758671,-0.4098254546319161,0.013915148524142463,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.01391514852414133
house,63,public_80_20_total_ridge,-14.40348696381335,-14.482754089763738,0.0,False,2026,0.0,20295.52,0,1,-1.108414753804203,-0.34068506447304947,-0.18478119606635568,0.07926712595038757,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.07926712595038765
house,68,public_80_20_total_ridge,5.3308858510487385,4.266248801475497,0.0,False,2026,44160.17,0.0,1,0,1.689360674452906,0.6329742629597985,0.36575478711652415,1.0646370495732418,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,1.0646370495732418
house,69,public_80_20_total_ridge,13.747454177846308,13.2672920863345,0.0,False,2026,98234.15,0.0,1,1,2.3817118428447257,1.0867701127373528,0.6842787217720916,0.480162091511807,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.4801620915118079
house,70,public_80_20_total_ridge,42.43068404083496,42.14172683432893,0.0,False,2026,5880.95,3178.91,1,1,0.18650245311498242,0.04956164578247932,0.025850878042357077,0.2889572065060364,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.2889572065060335
house,74,public_80_20_total_ridge,32.98237907296811,32.583507459078504,0.0,False,2026,49832.69,0.0,1,1,1.7889670741192376,0.6914726793650294,0.4043490855866343,0.3988716138896036,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.3988716138896038
house,75,public_80_20_total_ridge,-24.8650828206639,-25.159556418806183,0.0,False,2026,4586.78,0.0,1,1,0.37753054607403763,0.08776872346370948,0.04484697142204857,0.29447359814228335,public_80_20_total_ridge__finance_log100__a100__b0.1__cap2,0.29447359814228236
