cycle,chamber,district,candidate,candidate_code,party,votes
2022,house,1.0,GSL001RPET,GSL001RPET,R,10360.0
2022,house,2.0,GSL002RHAR,GSL002RHAR,R,11233.0
2022,house,3.0,GSL003DTHO,GSL003DTHO,D,4241.0
2022,house,3.0,GSL003RUND,GSL003RUND,R,8023.0
2022,house,4.0,GSL004RMOO,GSL004RMOO,R,11236.0
2022,house,5.0,GSL005RCRA,GSL005RCRA,R,12332.0
2022,house,6.0,GSL006RWHI,GSL006RWHI,R,11052.0
2022,house,7.0,GSL007DJON,GSL007DJON,D,3133.0
2022,house,7.0,GSL007RYAR,GSL007RYAR,R,11225.0
2022,house,8.0,GSL008RCOL,GSL008RCOL,R,7234.0
2022,house,9.0,GSL009RSTA,GSL009RSTA,R,11041.0
2022,house,10.0,GSL010DLAN,GSL010DLAN,D,6608.0
2022,house,10.0,GSL010RCOL,GSL010RCOL,R,7581.0
2022,house,11.0,GSL011RSHE,GSL011RSHE,R,12552.0
2022,house,12.0,GSL012DFIE,GSL012DFIE,D,2030.0
2022,house,12.0,GSL012RHAR,GSL012RHAR,R,11958.0
2022,house,13.0,GSL013RWOO,GSL013RWOO,R,11422.0
2022,house,14.0,GSL014RWAD,GSL014RWAD,R,13396.0
2022,house,15.0,GSL015DROU,GSL015DROU,D,6166.0
2022,house,15.0,GSL015RHUL,GSL015RHUL,R,10818.0
2022,house,16.0,GSL016RSOU,GSL016RSOU,R,13174.0
2022,house,17.0,GSL017REST,GSL017REST,R,12850.0
2022,house,18.0,GSL018RKIE,GSL018RKIE,R,10783.0
2022,house,19.0,GSL019DHAL,GSL019DHAL,D,8721.0
2022,house,20.0,GSL020RLOM,GSL020RLOM,R,14816.0
2022,house,21.0,GSL021RREY,GSL021RREY,R,12386.0
2022,house,22.0,GSL022RWHO,GSL022RWHO,R,12984.0
2022,house,23.0,GSL023RKIR,GSL023RKIR,R,10980.0
2022,house,24.0,GSL024RLED,GSL024RLED,R,11285.0
2022,house,25.0,GSL025DHAG,GSL025DHAG,D,7837.0
2022,house,25.0,GSL025RRIG,GSL025RRIG,R,10813.0
2022,house,26.0,GSL026DALF,GSL026DALF,D,1078.0
2022,house,26.0,GSL026RCOL,GSL026RCOL,R,8258.0
2022,house,27.0,GSL027DNEU,GSL027DNEU,D,1583.0
2022,house,27.0,GSL027RKIT,GSL027RKIT,R,13150.0
2022,house,28.0,GSL028RBUT,GSL028RBUT,R,6566.0
2022,house,29.0,GSL029RGID,GSL029RGID,R,12612.0
2022,house,30.0,GSL030RLIP,GSL030RLIP,R,12325.0
2022,house,31.0,GSL031RSTU,GSL031RSTU,R,11418.0
2022,house,32.0,GSL032DBOY,GSL032DBOY,D,5519.0
2022,house,32.0,GSL032RJAC,GSL032RJAC,R,4389.0
2022,house,33.0,GSL033DCRU,GSL033DCRU,D,3571.0
2022,house,33.0,GSL033RROB,GSL033RROB,R,9534.0
2022,house,34.0,GSL034RSTA,GSL034RSTA,R,12222.0
2022,house,35.0,GSL035RHUR,GSL035RHUR,R,10880.0
2022,house,36.0,GSL036RWOO,GSL036RWOO,R,12449.0
2022,house,37.0,GSL037RFIN,GSL037RFIN,R,11937.0
2022,house,38.0,GSL038RWOO,GSL038RWOO,R,9162.0
2022,house,39.0,GSL039RSHA,GSL039RSHA,R,11224.0
2022,house,40.0,GSL040DHOW,GSL040DHOW,D,2221.0
2022,house,40.0,GSL040RROB,GSL040RROB,R,10772.0
2022,house,41.0,GSL041DNEL,GSL041DNEL,D,3203.0
2022,house,41.0,GSL041RELL,GSL041RELL,R,10897.0
2022,house,42.0,GSL042RSMI,GSL042RSMI,R,12336.0
2022,house,43.0,GSL043DCLE,GSL043DCLE,D,3760.0
2022,house,43.0,GSL043RMOO,GSL043RMOO,R,12751.0
2022,house,44.0,GSL044RGAR,GSL044RGAR,R,11396.0
2022,house,45.0,GSL045RDUB,GSL045RDUB,R,12060.0
2022,house,46.0,GSL046RFAU,GSL046RFAU,R,12656.0
2022,house,47.0,GSL047DCOL,GSL047DCOL,D,4816.0
2022,house,47.0,GSL047RSHA,GSL047RSHA,R,8590.0
2022,house,48.0,GSL048RCAR,GSL048RCAR,R,12518.0
2022,house,49.0,GSL049RBED,GSL049RBED,R,10604.0
2022,house,50.0,GSL050RHIL,GSL050RHIL,R,12720.0
2022,house,51.0,GSL051RTRE,GSL051RTRE,R,14025.0
2022,house,52.0,GSL052DROG,GSL052DROG,D,10229.0
2022,house,53.0,GSL053DDAN,GSL053DDAN,D,5748.0
2022,house,54.0,GSL054DRAF,GSL054DRAF,D,9798.0
2022,house,55.0,GSL055DPLU,GSL055DPLU,D,10018.0
2022,house,56.0,GSL056DTIL,GSL056DTIL,D,8986.0
2022,house,57.0,GSL057DSEL,GSL057DSEL,D,9221.0
2022,house,57.0,GSL057RBAU,GSL057RBAU,R,4752.0
2022,house,58.0,GSL058DHOL,GSL058DHOL,D,8385.0
2022,house,59.0,GSL059DMOO,GSL059DMOO,D,8859.0
2022,house,60.0,GSL060DGIV,GSL060DGIV,D,9872.0
2022,house,61.0,GSL061RBOL,GSL061RBOL,R,10546.0
2022,house,62.0,GSL062DCEP,GSL062DCEP,D,3094.0
2022,house,62.0,GSL062RLAM,GSL062RLAM,R,8803.0
2022,house,63.0,GSL063DADA,GSL063DADA,D,2827.0
2022,house,63.0,GSL063RALM,GSL063RALM,R,5541.0
2022,house,64.0,GSL064RGIV,GSL064RGIV,R,11041.0
2022,house,65.0,GSL065DCAS,GSL065DCAS,D,4759.0
2022,house,65.0,GSL065REAS,GSL065REAS,R,12693.0
2022,house,66.0,GSL066RBAK,GSL066RBAK,R,12042.0
2022,house,67.0,GSL067DCHE,GSL067DCHE,D,10335.0
2022,house,68.0,GSL068DJAC,GSL068DJAC,D,9517.0
2022,house,68.0,GSL068RKEL,GSL068RKEL,R,8948.0
2022,house,69.0,GSL069DLAW,GSL069DLAW,D,8769.0
2022,house,69.0,GSL069RMAD,GSL069RMAD,R,7103.0
2022,house,70.0,GSL070DENG,GSL070DENG,D,6245.0
2022,house,71.0,GSL071DMCC,GSL071DMCC,D,9126.0
2022,house,72.0,GSL072DTRA,GSL072DTRA,D,8128.0
2022,house,73.0,GSL073RPAS,GSL073RPAS,R,10343.0
2022,house,74.0,GSL074DENS,GSL074DENS,D,7538.0
2022,house,74.0,GSL074RMEA,GSL074RMEA,R,4986.0
2022,house,75.0,GSL075RING,GSL075RING,R,11688.0
2022,house,76.0,GSL076DMCC,GSL076DMCC,D,8312.0
2022,house,77.0,GSL077DMOR,GSL077DMOR,D,7062.0
2022,house,78.0,GSL078DHAS,GSL078DHAS,D,6991.0
2022,house,79.0,GSL079RLOV,GSL079RLOV,R,7690.0
2022,house,80.0,GSL080RBLA,GSL080RBLA,R,8113.0
2022,house,81.0,GSL081ROLI,GSL081ROLI,R,12116.0
2022,house,82.0,GSL082DWAR,GSL082DWAR,D,6257.0
2022,house,82.0,GSL082RPIE,GSL082RPIE,R,2526.0
2022,house,83.0,GSL083DGRA,GSL083DGRA,D,6540.0
2022,house,84.0,GSL084DFOR,GSL084DFOR,D,7463.0
2022,house,85.0,GSL085DGRI,GSL085DGRI,D,5668.0
2022,house,85.0,GSL085RREH,GSL085RREH,R,6665.0
2022,house,86.0,GSL086RLEE,GSL086RLEE,R,10697.0
2022,house,87.0,GSL087RSOR,GSL087RSOR,R,12957.0
2022,house,88.0,GSL088RSTA,GSL088RSTA,R,10020.0
2022,house,89.0,GSL089RPAR,GSL089RPAR,R,7855.0
2022,house,90.0,GSL090RSEL,GSL090RSEL,R,11567.0
2022,house,91.0,GSL091RMAR,GSL091RMAR,R,9794.0
2022,house,92.0,GSL092DHUB,GSL092DHUB,D,1789.0
2022,house,92.0,GSL092RHAM,GSL092RHAM,R,11778.0
2022,house,93.0,GSL093RCLO,GSL093RCLO,R,10333.0
2022,house,94.0,GSL094RFID,GSL094RFID,R,14207.0
2022,house,95.0,GSL095DBRA,GSL095DBRA,D,2465.0
2022,house,95.0,GSL095RHOL,GSL095RHOL,R,14242.0
2022,house,96.0,GSL096RSIM,GSL096RSIM,R,11990.0
2022,house,97.0,GSL097DCLA,GSL097DCLA,D,7337.0
2022,house,98.0,GSL098DBRA,GSL098DBRA,D,7655.0
2022,house,99.0,GSL099DJON,GSL099DJON,D,8252.0
2022,house,100.0,GSL100RSHI,GSL100RSHI,R,9781.0
2022,house,101.0,GSL101RPRI,GSL101RPRI,R,8968.0
2022,house,102.0,GSL102RSTR,GSL102RSTR,R,10472.0
2022,house,103.0,GSL103DDRU,GSL103DDRU,D,6015.0
2022,house,104.0,GSL104RWIL,GSL104RWIL,R,8871.0
2022,house,105.0,GSL105RBRO,GSL105RBRO,R,10554.0
2022,senate,1.0,GSU01RMEL,GSU01RMEL,R,35480.0
2022,senate,2.0,GSU02DLEW,GSU02DLEW,D,20749.0
2022,senate,2.0,GSU02RBUT,GSU02RBUT,R,25951.0
2022,senate,3.0,GSU03RORR,GSU03RORR,R,30578.0
2022,senate,4.0,GSU04RGUD,GSU04RGUD,R,38265.0
2022,senate,5.0,GSU05RREE,GSU05RREE,R,36159.0
2022,senate,6.0,GSU06RSTU,GSU06RSTU,R,30883.0
2022,senate,7.0,GSU07DWIL,GSU07DWIL,D,17295.0
2022,senate,7.0,GSU07RGIV,GSU07RGIV,R,29095.0
2022,senate,8.0,GSU08RLIV,GSU08RLIV,R,33758.0
2022,senate,9.0,GSU09RSCO,GSU09RSCO,R,32709.0
2022,senate,10.0,GSU10RJON,GSU10RJON,R,32153.0
2022,senate,11.0,GSU11RBEL,GSU11RBEL,R,33505.0
2022,senate,12.0,GSU12DMCC,GSU12DMCC,D,10271.0
2022,senate,12.0,GSU12RKEL,GSU12RKEL,R,28786.0
2022,senate,13.0,GSU13RPRI,GSU13RPRI,R,31759.0
2022,senate,14.0,GSU14RWEA,GSU14RWEA,R,31917.0
2022,senate,15.0,GSU15RROB,GSU15RROB,R,35704.0
2022,senate,16.0,GSU16RWAG,GSU16RWAG,R,33719.0
2022,senate,17.0,GSU17RSHE,GSU17RSHE,R,38137.0
2022,senate,18.0,GSU18DSMI,GSU18DSMI,D,28642.0
2022,senate,19.0,GSU19DCOL,GSU19DCOL,D,26369.0
2022,senate,20.0,GSU20DCOL,GSU20DCOL,D,27567.0
2022,senate,21.0,GSU21DWAR,GSU21DWAR,D,11198.0
2022,senate,21.0,GSU21RALL,GSU21RALL,R,21962.0
2022,senate,22.0,GSU22RALB,GSU22RALB,R,32880.0
2022,senate,23.0,GSU23DSTE,GSU23DSTE,D,25953.0
2022,senate,23.0,GSU23RNIM,GSU23RNIM,R,21682.0
2022,senate,24.0,GSU24DSIN,GSU24DSIN,D,25440.0
2022,senate,25.0,GSU25RBAR,GSU25RBAR,R,32640.0
2022,senate,26.0,GSU26DHAT,GSU26DHAT,D,25901.0
2022,senate,27.0,GSU27DREE,GSU27DREE,D,10996.0
2022,senate,27.0,GSU27RHOV,GSU27RHOV,R,26014.0
2022,senate,28.0,GSU28DBEA,GSU28DBEA,D,21252.0
2022,senate,29.0,GSU29DMAT,GSU29DMAT,D,6476.0
2022,senate,29.0,GSU29RCHE,GSU29RCHE,R,31576.0
2022,senate,30.0,GSU30RCHA,GSU30RCHA,R,29225.0
2022,senate,31.0,GSU31RCAR,GSU31RCAR,R,30618.0
2022,senate,32.0,GSU32RELL,GSU32RELL,R,41073.0
2022,senate,33.0,GSU33DFIG,GSU33DFIG,D,23203.0
2022,senate,33.0,GSU33RRIE,GSU33RRIE,R,11401.0
2022,senate,34.0,GSU34RWIL,GSU34RWIL,R,27043.0
2022,senate,35.0,GSU35RSES,GSU35RSES,R,27133.0
