finance_name_norm,finance_name,candidate_expenditures,expenditure_transactions,committee_count,cycle,finance_canonical
HOBBY WALKER,HOBBY WALKER,13380.66,19,1,2014,HOBBY WALKER
HOYT ELLIOTT,HOYT ELLIOTT,655.19,18,1,2014,HOYT ELLIOTT
HUGH DUDLEY,HUGH DUDLEY,12585.7,10,1,2014,HUGH DUDLEY
J FLOYD,J FLOYD,2498.98,3,1,2014,J FLOYD
J R GAINES,J.R. GAINES,16921.67,49,1,2014,JR GAINES
JACK WILLIAMS,JACK WILLIAMS,430371.18,58,1,2014,JACK WILLIAMS
JACKIE YARBROUGH,JACKIE YARBROUGH,56928.92,31,1,2014,JACKIE YARBROUGH
JACQUELYN STUART,JACQUELYN STUART,3037.93,7,1,2014,JACQUELYN STUART
JAMES BERRYMAN,JAMES BERRYMAN,19916.77,69,1,2014,JAMES BERRYMAN
JAMES BONNER,JAMES BONNER,0.0,18,1,2014,JAMES BONNER
JAMES BUSKEY,JAMES BUSKEY,41678.0,85,1,2014,JAMES BUSKEY
JAMES CLEMMONS,JAMES CLEMMONS,162358.68,181,1,2014,JAMES CLEMMONS
JAMES FIELDS,JAMES FIELDS,148606.41,503,1,2014,JAMES FIELDS
JAMES GOGGANS,JAMES GOGGANS,2378.98,2,1,2014,JAMES GOGGANS
JAMES HANES,JAMES HANES,97501.41,44,1,2014,JAMES HANES
JAMES JAMEY CLEMENTS,"JAMES ""JAMEY"" CLEMENTS",7309.17,15,1,2014,JAMES JAMEY CLEMENTS
JAMES MARTIN,JAMES MARTIN,102511.56999999999,36,1,2014,JAMES MARTIN
JAMES PATTERSON,JAMES PATTERSON,141994.11000000002,86,1,2014,JAMES PATTERSON
JAMES ROBERTS,JAMES ROBERTS,72192.12,23,1,2014,JAMES ROBERTS
JAMES ROBINSON,JAMES ROBINSON,5284.59,11,1,2014,JAMES ROBINSON
JAMES RUSSELL,JAMES RUSSELL,5855.78,17,1,2014,JAMES RUSSELL
JAMES SANDERFORD,JAMES SANDERFORD,18211.92,75,1,2014,JAMES SANDERFORD
JAMES SHANNON,JAMES SHANNON,3197.5,14,1,2014,JAMES SHANNON
JAMES TURNER,JAMES TURNER,153586.43,177,1,2014,JAMES TURNER
