model,fold_type,fold,rows,mae,rmse,bias,winner_accuracy,whole_precinct_rmse
pooled_lag,leave_state_out,TN,302,14.409972781669914,18.396561443170516,4.038859909333579,0.7781456953642384,19.749065715585793
pooled_lag,leave_state_out,TX,426,11.553955893575376,15.229982749590672,-1.0883700914962933,0.823943661971831,15.273495297396778
portable_temporal,leave_state_out,AL,52,11.299383259267216,14.481961929194247,5.042349174055426,0.8269230769230769,10.326713640585787
portable_temporal,leave_state_out,AR,110,11.713882694271081,14.580736293742152,-6.45915284182778,0.8545454545454545,
portable_temporal,leave_state_out,FL,69,15.535960779084679,18.480605591235328,15.448594670035012,0.8695652173913043,18.480605591235328
portable_temporal,leave_state_out,GA,96,8.537524169210393,10.69230674269862,-6.080112908155257,0.9270833333333334,7.530791718878829
portable_temporal,leave_state_out,KY,66,14.271303182219693,18.751835354440598,-1.0250314909498246,0.803030303030303,17.58871134670568
portable_temporal,leave_state_out,MO,812,10.620034155183774,13.49301318315466,-1.3181322050644921,0.8830049261083743,12.437169455866742
portable_temporal,leave_state_out,NC,316,10.598962794536916,13.206666598948496,-1.2660485362865017,0.8481012658227848,12.206232450527219
portable_temporal,leave_state_out,OK,98,14.165119245293658,18.356844411496635,9.131950437088548,0.8061224489795918,21.983622771658812
portable_temporal,leave_state_out,SC,36,13.029835281065507,15.898906902104569,9.499605425844473,0.8611111111111112,11.18248331793
portable_temporal,leave_state_out,TN,302,11.81921019632629,14.964382154252004,2.833522518707843,0.8708609271523179,15.895062791247765
portable_temporal,leave_state_out,TX,426,10.502109043801442,13.01721575356682,-1.4823301541913345,0.8474178403755869,13.007953336695834
state_chamber_incumbency,leave_state_out,AL,52,14.868582744490077,19.003537794943746,11.701697919206943,0.8076923076923077,4.815595929041812
state_chamber_incumbency,leave_state_out,AR,110,18.972815105155732,22.854836576286004,-18.646518955666497,0.8090909090909091,
state_chamber_incumbency,leave_state_out,FL,69,22.49108651067706,24.79321174957761,21.95524666715962,0.8695652173913043,24.79321174957761
state_chamber_incumbency,leave_state_out,GA,96,15.017731690176229,17.11752894750896,-14.190879628451503,0.8229166666666666,16.546178625545327
state_chamber_incumbency,leave_state_out,KY,66,16.331625773934768,20.602785079008356,-3.640569115474403,0.7878787878787878,19.63069555174238
state_chamber_incumbency,leave_state_out,MO,812,12.69212806363553,15.689265369810606,-9.42488201554363,0.8066502463054187,15.674222599851486
