scenario,cycle,chamber,district,polling_federal_margin,generic_downballot_lag,incumbency_adjustment,fundraising_adjustment,expected_cmo_adjustment,adjustment_weight,predicted_dem_margin,dem_win_probability,finance_complete,finance_model_applied,model_used,fundraising_treatment,dem_fundraising,rep_fundraising,fundraising_gap_log50,fundraising_gap_structural_expectation,fundraising_gap_residualized,fundraising_gap_within_cycle_expectation,fundraising_gap_within_cycle_residualized,dem_finance_status,rep_finance_status,incumbency_balance,current_national_poll_margin,current_national_pollsters,poll_average_as_of,source_scenario,polling_error_adjustment,environment_baseline_margin,headline_dem_margin,selected_model
headline,2026,house,28,-18.064312676075136,1.8580715582535217,-8.70411237227359,5.515926320714531,-1.3301144933055369,1.0,-19.394427169380677,0.009912992809306022,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,17490.97,80201.7,-0.6570909753732053,-0.8365953155350032,0.1795043401617979,-1.3698046589679156,0.7127136835947103,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-18.064312676075136,-19.394427169380677,post2016_polling_cmo_within_cycle_finance
headline,2026,house,32,10.625381061180722,1.8580715582535217,0.0,2.410153711540367,4.268225269793889,1.0,14.89360633097461,0.9755872597913895,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,27000.0,26450.0,0.0071684894786125,0.0237654364038892,-0.0165969469252766,-0.3042478402374959,0.3114163297161085,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,10.625381061180722,14.89360633097461,post2016_polling_cmo_within_cycle_finance
headline,2026,house,37,-36.98281486352502,1.8580715582535217,0.0,-2.4585201744010354,-0.6004486161475135,1.0,-37.58326347967254,0.0006272749793759754,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,12499.04,116759.78,-0.9814031371261224,-0.5827007478326383,-0.3987023892934842,-0.6637373693458362,-0.3176657677802863,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-36.98281486352502,-37.58326347967254,post2016_polling_cmo_within_cycle_finance
headline,2026,house,38,-34.46729368818795,1.8580715582535217,-8.70411237227359,-0.3829720668670608,-7.229012880887129,1.0,-41.69630656907508,0.00038946800577922326,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,3352.23,185835.0,-1.486216631650254,-1.0198688266309328,-0.4663478050193212,-1.4367327523124052,-0.0494838793378489,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-34.46729368818795,-41.69630656907508,post2016_polling_cmo_within_cycle_finance
headline,2026,house,40,-53.83423778082775,1.8580715582535217,-8.70411237227359,-2.616030769637187,-9.462071583657256,1.0,-63.296309364485005,5.3835461174789724e-05,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,5483.71,304200.0,-1.85377226119338,-1.236259240082949,-0.6175130211104307,-1.5157545253104066,-0.3380177358829732,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-53.83423778082775,-63.296309364485005,post2016_polling_cmo_within_cycle_finance
headline,2026,house,41,-37.86327812853512,1.8580715582535217,-8.70411237227359,0.6889219633396699,-6.157118850680398,1.0,-44.02039697921552,0.0003027313777778458,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,3045.25,157000.0,-1.3615734703856943,-1.0578127827660988,-0.3037606876195957,-1.4505891826437058,0.0890157122580113,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-37.86327812853512,-44.02039697921552,post2016_polling_cmo_within_cycle_finance
headline,2026,house,43,-34.288739798266306,1.8580715582535217,-8.70411237227359,-0.7823502444467767,-7.628391058466844,1.0,-41.91713085673315,0.0003800615788731957,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,5920.099999999999,210086.87,-1.537091804403116,-1.0178738113162402,-0.5192179930868759,-1.4360042096528196,-0.1010875947502965,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-34.288739798266306,-41.91713085673315,post2016_polling_cmo_within_cycle_finance
headline,2026,house,45,-34.761152934980046,1.8580715582535217,-8.70411237227359,1.5104177979293114,-5.335623016090756,1.0,-40.0967759510708,0.0004664877519471137,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,19084.04,189390.04,-1.242770453761603,-1.0231521698164077,-0.219618283945195,-1.4379317684598312,0.1951613146982285,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-34.761152934980046,-40.0967759510708,post2016_polling_cmo_within_cycle_finance
headline,2026,house,47,-6.948190807709683,1.8580715582535217,-8.70411237227359,2.4744092206842625,-4.371631593335805,1.0,-11.319822401045489,0.05305254068614985,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,47125.26,215265.42,-1.004729423993485,-0.7123928499538299,-0.2923365740396551,-1.3244482178743553,0.3197187938808703,single_official_state_record_with_activity,single_official_state_record_with_activity,-1,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-6.948190807709683,-11.319822401045489,post2016_polling_cmo_within_cycle_finance
headline,2026,house,50,-51.34935801312233,1.8580715582535217,0.0,0.0247911957492315,1.8828627540027532,1.0,-49.466495259119576,0.00017504681061139823,True,True,polling_federal_plus_incumbency_within_cycle_orthogonal_fundraising,within_cycle_orthogonal,7948.25,68950.01999999999,-0.7191530340039841,-0.7432207657119203,0.0240677317079361,-0.7223563081987097,0.0032032741947255,single_official_state_record_with_activity,single_official_state_record_with_activity,0,7.554772105617104,6,2026-08-17,uniform_polling_federal_within_cycle_orthogonal,0.0,-51.34935801312233,-49.466495259119576,post2016_polling_cmo_within_cycle_finance
