historical_war_run_id,state_code,cycle,chamber,geometry_source_id,geometry_sha256,geometry_features,matched_races,unmatched_races,unscored_features,duplicate_keys,invalid_geometries,unsimplified_features,dem_votes_before,dem_votes_after,rep_votes_before,rep_votes_after
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2020,lower,CENSUS-CB-2020-KY-SLDL-500K,da5f74f9c745a63a245b68d539d0c155a009f5369a0ac612e19e07e675a4e57c,100,60,0,40,0,0,0,479605,479605,800160,800160
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2020,upper,CENSUS-CB-2020-KY-SLDU-500K,cfa930d804e3a75bbb9cd91b4c7b878e42f2c42704a2e782cead76ba7efc88fa,38,8,0,30,0,0,0,142767,142767,296425,296425
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2022,lower,CENSUS-CB-2022-KY-SLDL-500K,dd25b807671c73f345daea2c1a24ac352492c71b2df5b6c33cf231fa88a97792,100,46,0,54,0,0,0,270319,270319,413088,413088
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2022,upper,CENSUS-CB-2022-KY-SLDU-500K,1f5791b6a23e8223a6ef14e6d093271ac2d23bbfe8f04b3d87306724290e2214,38,8,0,30,0,0,0,136908,136908,196805,196805
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2024,lower,CENSUS-CB-2024-KY-SLDL-500K,36303f4db9ec97ecb80a8ca628e63bd6d43df799e63cb16b46b87f6ab92a8abf,100,42,0,58,0,0,0,338096,338096,552088,552088
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,KY,2024,upper,CENSUS-CB-2024-KY-SLDU-500K,ad711f55b071fb4c5829489c1547360c3e55cd70d6e8e47772b484acf4446154,38,1,0,37,0,0,0,19015,19015,42430,42430
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2019,lower,CENSUS-CB-2019-LA-SLDL-500K,cb6d1cba4565baac53d402dfc983ddf018c7d59c982fa437af84b7eee0058b02,105,15,0,90,0,0,0,76795,76795,132990,132990
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2019,upper,CENSUS-CB-2019-LA-SLDU-500K,413d0aa8d0f322e80a54477d2b82de105011a9725bf6e279d4441f1521631181,39,4,0,35,0,0,2,63129,63129,68909,68909
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2023,lower,CENSUS-CB-2023-LA-SLDL-500K,d7b024efd01d681f84631e4d11b1d74b70c62257c6efca71970bc44e04c28305,105,12,0,93,0,0,0,33083,33083,76785,76785
WAR-SOUTH-HIST-V1-45EC0B380AAEA007C2DF,LA,2023,upper,CENSUS-CB-2023-LA-SLDU-500K,6ba128dadc108f35c9491025a03022b7241747eddda6a1c68d5d5fe016e2f2d7,39,5,0,34,0,0,2,59132,59132,76715,76715
