cycle,acs_vintage,chamber,district,NAME,B03002_001E,B15003_001E,nonwhite_share,college_share,white_college_share,C15002H_001E,feature_method,geography_validation
2026,2022,house,90,"State House District 90 (2022), Alabama",46198,32506,0.3751461102212217,0.1612010090444841,0.1836162154579885,21387,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,91,"State House District 91 (2022), Alabama",46755,31805,0.339578654689338,0.2254676937588429,0.2503289025994646,22043,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,92,"State House District 92 (2022), Alabama",46248,32134,0.1883108458744161,0.1530466172900977,0.1630734197671429,27227,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,93,"State House District 93 (2022), Alabama",45840,31816,0.3262652705061082,0.2239753583102841,0.2455902899056933,22904,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,94,"State House District 94 (2022), Alabama",47594,34753,0.120141194268185,0.4361350099272005,0.462654538466466,31222,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,95,"State House District 95 (2022), Alabama",49840,38951,0.132524077046549,0.3368591307026777,0.3550319375443577,35225,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,96,"State House District 96 (2022), Alabama",47820,31586,0.23168130489335,0.4112898119419996,0.4453841289914638,25304,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,97,"State House District 97 (2022), Alabama",46314,31952,0.6241741158181111,0.2364484226339509,0.3837773300499962,13401,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,98,"State House District 98 (2022), Alabama",48419,32681,0.6071376938805015,0.1792172822129066,0.2502009499451955,13685,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
2026,2022,house,99,"State House District 99 (2022), Alabama",44878,30867,0.6470653772449753,0.254835260958305,0.2957025920873124,11728,reuse_2022_acs_sld_estimate_original_2021_plan,2025_TIGER_vs_2022_BEF_block_assignment
