state,year,chamber,district,dem_votes,rep_votes,legislative_dem_margin,dem_candidate,rep_candidate,dem_incumbent,rep_incumbent,incumbency_balance,outcome_eligible,dem_win,rep_win,uncont,dontuse,bigthird,dswitch,rswitch,outcome_source,outcome_source_path,candidate_source,incumbency_source,incumbency_quality,klarner_dem_votes,klarner_rep_votes,klarner_legislative_dem_margin,klarner_dem_candidate,klarner_rep_candidate,klarner_incumbency_balance,_merge,dem_vote_difference_texas_minus_klarner,rep_vote_difference_texas_minus_klarner,margin_difference_texas_minus_klarner,selected_outcome_source
TX,2016,house,1,,,,,,,,,,,,,,,,,,,,,,0.0,49840.0,-100.0,,"vandeaver, gary",-1.0,right_only,,,,klarner_fallback
TX,2016,house,2,,,,,,,,,,,,,,,,,,,,,,0.0,54605.0,-100.0,,"flynn, dan",-1.0,right_only,,,,klarner_fallback
TX,2016,house,3,,,,,,,,,,,,,,,,,,,,,,0.0,56737.0,-100.0,,"bell, cecil, jr",-1.0,right_only,,,,klarner_fallback
TX,2016,house,4,,,,,,,,,,,,,,,,,,,,,,0.0,52089.0,-100.0,,"gooden, lance",0.0,right_only,,,,klarner_fallback
TX,2016,house,5,,,,,,,,,,,,,,,,,,,,,,0.0,51428.0,-100.0,,"hefner, cole",0.0,right_only,,,,klarner_fallback
TX,2016,house,6,,,,,,,,,,,,,,,,,,,,,,0.0,46382.0,-100.0,,"schaefer, matt",-1.0,right_only,,,,klarner_fallback
TX,2016,house,7,,,,,,,,,,,,,,,,,,,,,,0.0,45026.0,-100.0,,"dean, jay",0.0,right_only,,,,klarner_fallback
TX,2016,house,8,,,,,,,,,,,,,,,,,,,,,,0.0,43240.0,-100.0,,"cook, byron",-1.0,right_only,,,,klarner_fallback
TX,2016,house,9,,,,,,,,,,,,,,,,,,,,,,0.0,53172.0,-100.0,,"paddie, chris",-1.0,right_only,,,,klarner_fallback
TX,2016,house,10,,,,,,,,,,,,,,,,,,,,,,0.0,51729.0,-100.0,,"wray, john",-1.0,right_only,,,,klarner_fallback
TX,2016,house,11,14276.0,42481.0,-49.69431083390595,Stephen J. Wright,Travis Clardy,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official/canonical candidate and full-history incumbency exports,source_observed,14276.0,42481.0,-49.69431083390595,"wright, stephen j","clardy, travis",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,2016,house,12,,,,,,,,,,,,,,,,,,,,,,0.0,38826.0,-100.0,,"kacal, kyle j",-1.0,right_only,,,,klarner_fallback
