canonical_candidate_id,person_id,canonical_name,cycle,chamber,district,canonical_party,candidate_margin_overperformance,absolute_cmo,has_issue_evidence,manual_broad_search_logged,any_manual_search_logged,accepted_votesmart_identity,manual_identity_alias,legislative_source_checked_and_present,votesmart_questionnaire_checked_and_present,votesmart_rating_checked_and_present,votesmart_endorsement_checked_and_present,latest_manual_result,identity_status,final_research_status,exhaustion_basis,neutrality_imputed,prior_status,new_evidence_source_types,restated_at_utc
AL-1994-senate-24-D-STEELE,ALPERSON-STEELE,Steele,1994,senate,24,D,58.37818320993898,58.37818320993898,False,False,False,True,False,False,False,True,False,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-71-D-BLACK,ALPERSON-BLACK,Black,1994,house,71,D,58.203125030406255,58.203125030406255,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-25-R-MAC-MCCUTCHEON,ALPERSON-MAC-MCCUTCHEON,MAC MCCUTCHEON,2006,house,25,R,57.88374843404932,57.88374843404932,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-7-R-RIDDLE-YOLANDA-YOYO,ALPERSON-RIDDLE-YOLANDA-YOYO,"Riddle, Yolanda (Yoyo)",2002,house,7,R,-56.55433542096596,56.55433542096596,False,True,True,True,False,False,False,False,False,searched_no_directional_evidence,verified_votesmart_identity,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-8-R-NEW-CLAY-H,ALPERSON-NEW-CLAY-H,"New, Clay H.",2002,house,8,R,-55.78818389511626,55.78818389511626,False,True,True,True,True,False,False,False,False,searched_no_directional_evidence,verified_manual_identity,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-52-D-ROGER-JOHN-W-JR,ALPERSON-ROGER-JOHN-W-JR,"Roger, John W., Jr.",2002,house,52,D,55.28118495650944,55.28118495650944,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-56-D-DUNN-PRICILLA,ALPERSON-DUNN-PRICILLA,"Dunn, Pricilla",2002,house,56,D,54.965423537134015,54.965423537134015,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2014-house-10-D-MEANS,ALPERSON-MEANS,Means,2014,house,10,D,-54.869466387974526,54.869466387974526,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-99-D-BUSKEY,ALPERSON-BUSKEY,Buskey,1994,house,99,D,54.01152635978286,54.01152635978286,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2010-house-49-R-APRIL-WEAVER,ALPERSON-APRIL-WEAVER,APRIL WEAVER,2010,house,49,R,53.54052683096212,53.54052683096212,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-98-D-CLARK,ALPERSON-CLARK,Clark,1994,house,98,D,53.4672422041217,53.4672422041217,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-55-D-RODERICK-ROD-SCOTT,ALPERSON-RODERICK-ROD-SCOTT,"RODERICK ""ROD"" SCOTT",2006,house,55,D,53.29864485365872,53.29864485365872,False,False,False,True,False,False,False,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-23-R-CURL,ALPERSON-CURL,Curl,1994,senate,23,R,-53.235478755067575,53.235478755067575,False,True,True,False,False,False,False,False,False,identity_unresolved_no_issue_evidence,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-house-77-D-KNIGHT,ALPERSON-KNIGHT,Knight,1994,house,77,D,52.60804814254789,52.60804814254789,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2002-house-31-R-SHAW-MICKEY-B,ALPERSON-SHAW-MICKEY-B,"Shaw, Mickey B.",2002,house,31,R,-52.55615006861794,52.55615006861794,False,True,True,False,False,False,False,False,False,searched_no_directional_evidence,full_name_official_roster,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-2014-house-42-R-JAMES-M-JIMMY-MARTIN,ALPERSON-JAMES-M-JIMMY-MARTIN,"James M. ""Jimmy"" Martin",2014,house,42,R,52.17403246381164,52.17403246381164,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-70-D-CHRISTOPHER-JOHN-ENGLAND,ALPERSON-CHRISTOPHER-JOHN-ENGLAND,CHRISTOPHER JOHN ENGLAND,2006,house,70,D,52.08628154534291,52.08628154534291,False,False,False,False,False,False,False,False,False,,full_name_official_roster,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-1994-senate-20-D-ESCOTT-RUSSELL,ALPERSON-ESCOTT-RUSSELL,Escott-Russell,1994,senate,20,D,51.38560750730335,51.38560750730335,False,False,False,False,False,False,False,False,False,,surname_only_unresolved_after_source_sweep,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-senate-21-R-JOE-NATHAN-SAXTON-SR,ALPERSON-JOE-NATHAN-SAXTON-SR,"JOE NATHAN SAXTON, SR.",2006,senate,21,R,-50.9780649067346,50.9780649067346,False,True,True,True,False,False,False,False,False,searched_no_directional_evidence,verified_votesmart_identity,searched_no_recoverable_evidence,manual_broad_search_plus_structured_source_sweep,False,searched_no_recoverable_evidence,,
AL-2006-house-48-R-J-GREGORY-GREG-CANFIELD,ALPERSON-J-GREGORY-GREG-CANFIELD,"J. GREGORY ""GREG"" CANFIELD",2006,house,48,R,50.94165111851294,50.94165111851294,False,False,False,True,False,False,True,True,True,,verified_votesmart_identity,searched_no_recoverable_evidence,structured_votesmart_legislative_identity_source_sweep,False,searched_no_recoverable_evidence,,
