county_norm,precinct_norm,office,district,district_activity,office_activity,activity_share
COFFEE,ZION CHRISTIAN COMMUNITY,State Senate,31.0,160,160,1.0
COLBERT,ABSENTEE,State House,3.0,281,360,0.7805555555555556
COLBERT,ABSENTEE,State House,18.0,79,360,0.21944444444444444
COLBERT,ABSENTEE,State Senate,6.0,360,360,1.0
COLBERT,ALLSBORO CUMBERLAND PRES,State House,18.0,77,77,1.0
COLBERT,ALLSBORO CUMBERLAND PRES,State Senate,6.0,77,77,1.0
COLBERT,BARTON FIRST BAPTIST,State House,18.0,340,340,1.0
COLBERT,BARTON FIRST BAPTIST,State Senate,6.0,340,340,1.0
COLBERT,CAVE SPRINGS MIS BAPTIST,State House,3.0,109,109,1.0
COLBERT,CAVE SPRINGS MIS BAPTIST,State Senate,6.0,109,109,1.0
COLBERT,CHEROKEE LIONS DEN,State House,18.0,588,588,1.0
COLBERT,CHEROKEE LIONS DEN,State Senate,6.0,588,588,1.0
COLBERT,COLBERT COUNTY HWY 72 OFFICE,State House,3.0,478,651,0.7342549923195084
COLBERT,COLBERT COUNTY HWY 72 OFFICE,State House,18.0,173,651,0.26574500768049153
COLBERT,COLBERT COUNTY HWY 72 OFFICE,State Senate,6.0,651,651,1.0
COLBERT,COLBERT HEIGHTS BAPTIST,State House,18.0,727,727,1.0
COLBERT,COLBERT HEIGHTS BAPTIST,State Senate,6.0,727,727,1.0
COLBERT,COUNTY HIGHWAY DEPARTMENT,State House,3.0,235,547,0.4296160877513711
COLBERT,COUNTY HIGHWAY DEPARTMENT,State House,18.0,312,547,0.5703839122486288
COLBERT,COUNTY HIGHWAY DEPARTMENT,State Senate,6.0,547,547,1.0
COLBERT,EAST COLBERT SEN CENTER,State House,3.0,830,830,1.0
COLBERT,EAST COLBERT SEN CENTER,State Senate,6.0,830,830,1.0
COLBERT,FIRST SOUTHERN BAPTIST CHURCH,State House,3.0,586,586,1.0
COLBERT,FIRST SOUTHERN BAPTIST CHURCH,State Senate,6.0,586,586,1.0
COLBERT,GATMAN PARK AND RECREATION CENTER,State House,3.0,795,795,1.0
COLBERT,GATMAN PARK AND RECREATION CENTER,State Senate,6.0,795,795,1.0
COLBERT,GRACE LIFE CHURCH,State House,3.0,965,965,1.0
COLBERT,GRACE LIFE CHURCH,State Senate,6.0,965,965,1.0
COLBERT,HATTON BAPTIST CHURCH,State House,3.0,502,502,1.0
COLBERT,HATTON BAPTIST CHURCH,State Senate,6.0,502,502,1.0
COLBERT,HOPE HAVEN SCHOOL,State House,3.0,656,691,0.9493487698986975
COLBERT,HOPE HAVEN SCHOOL,State House,18.0,35,691,0.05065123010130246
COLBERT,HOPE HAVEN SCHOOL,State Senate,6.0,691,691,1.0
COLBERT,LA GRANGE FIRE DEPARTMENT,State House,3.0,247,258,0.9573643410852714
COLBERT,LA GRANGE FIRE DEPARTMENT,State House,18.0,11,258,0.04263565891472868
COLBERT,LA GRANGE FIRE DEPARTMENT,State Senate,6.0,258,258,1.0
COLBERT,LEIGHTON CITY HALL,State House,3.0,186,186,1.0
COLBERT,LEIGHTON CITY HALL,State Senate,6.0,186,186,1.0
COLBERT,LEIGHTON CIVIC CENTER,State House,3.0,411,411,1.0
COLBERT,LEIGHTON CIVIC CENTER,State Senate,6.0,411,411,1.0
COLBERT,LITTLEVILLE CITY HALL,State House,18.0,477,477,1.0
COLBERT,LITTLEVILLE CITY HALL,State Senate,6.0,477,477,1.0
COLBERT,MARGERUM METHODIST CHURCH,State House,18.0,188,188,1.0
COLBERT,MARGERUM METHODIST CHURCH,State Senate,6.0,188,188,1.0
COLBERT,MUSCLE SHOALS CITY HALL,State House,3.0,771,771,1.0
COLBERT,MUSCLE SHOALS CITY HALL,State Senate,6.0,771,771,1.0
COLBERT,MYNOT CHURCH OF CHRIST,State House,18.0,64,64,1.0
COLBERT,MYNOT CHURCH OF CHRIST,State Senate,6.0,64,64,1.0
COLBERT,NEW BETHEL FIRE DEPARTMENT,State House,18.0,381,381,1.0
COLBERT,NEW BETHEL FIRE DEPARTMENT,State Senate,6.0,381,381,1.0
COLBERT,PLUMBER STEAMFITTER UNION,State House,3.0,420,420,1.0
COLBERT,PLUMBER STEAMFITTER UNION,State Senate,6.0,420,420,1.0
COLBERT,PRIDE MISSIONARY BAPTIST,State House,18.0,376,376,1.0
COLBERT,PRIDE MISSIONARY BAPTIST,State Senate,6.0,376,376,1.0
COLBERT,PROVISIONAL,State House,3.0,28,35,0.8
COLBERT,PROVISIONAL,State House,18.0,7,35,0.2
COLBERT,PROVISIONAL,State Senate,6.0,35,35,1.0
COLBERT,SHEFF BOARD OF ED BUILDING,State House,3.0,288,288,1.0
COLBERT,SHEFF BOARD OF ED BUILDING,State Senate,6.0,288,288,1.0
COLBERT,SHEFFIELD FIRE MONTGOMERY,State House,3.0,145,145,1.0
COLBERT,SHEFFIELD FIRE MONTGOMERY,State Senate,6.0,145,145,1.0
COLBERT,SHEFFIELD FIRE STN 2ND SAINT,State House,3.0,361,361,1.0
COLBERT,SHEFFIELD FIRE STN 2ND SAINT,State Senate,6.0,361,361,1.0
COLBERT,SHEFFIELD MICHAEL CENTER,State House,3.0,391,391,1.0
COLBERT,SHEFFIELD MICHAEL CENTER,State Senate,6.0,391,391,1.0
COLBERT,SHEFFIELD RECREATION CENTER,State House,3.0,517,517,1.0
COLBERT,SHEFFIELD RECREATION CENTER,State Senate,6.0,517,517,1.0
COLBERT,SPRING VALLEY CHURCH OF GOD,State House,3.0,93,273,0.34065934065934067
COLBERT,SPRING VALLEY CHURCH OF GOD,State House,18.0,180,273,0.6593406593406593
COLBERT,SPRING VALLEY CHURCH OF GOD,State Senate,6.0,273,273,1.0
COLBERT,SRYGLEY CHURCH OF CHRIST,State House,18.0,90,90,1.0
COLBERT,SRYGLEY CHURCH OF CHRIST,State Senate,6.0,90,90,1.0
COLBERT,TREE HOUSE SCHOOL,State House,3.0,581,581,1.0
COLBERT,TREE HOUSE SCHOOL,State Senate,6.0,581,581,1.0
COLBERT,TUSCUMBIA CALVARY BAPTIST,State House,3.0,283,283,1.0
COLBERT,TUSCUMBIA CALVARY BAPTIST,State Senate,6.0,283,283,1.0
COLBERT,TUSCUMBIA MULTI PURPOSE,State House,3.0,675,675,1.0
COLBERT,TUSCUMBIA MULTI PURPOSE,State Senate,6.0,675,675,1.0
COLBERT,WESTSIDE BAPTIST,State House,3.0,313,352,0.8892045454545454
COLBERT,WESTSIDE BAPTIST,State House,18.0,39,352,0.11079545454545454
COLBERT,WESTSIDE BAPTIST,State Senate,6.0,352,352,1.0
COLBERT,WOODWARD AVE BAPTIST CHURCH,State House,3.0,731,731,1.0
COLBERT,WOODWARD AVE BAPTIST CHURCH,State Senate,6.0,731,731,1.0
CONECUH,2ND MOUNT ZION CHURCH,State House,68.0,12,65,0.18461538461538463
CONECUH,2ND MOUNT ZION CHURCH,State House,90.0,53,65,0.8153846153846154
CONECUH,2ND MOUNT ZION CHURCH,State Senate,23.0,65,65,1.0
CONECUH,ABSENTEE,State House,68.0,266,303,0.8778877887788779
CONECUH,ABSENTEE,State House,90.0,37,303,0.12211221122112212
CONECUH,ABSENTEE,State Senate,22.0,22,303,0.07260726072607261
CONECUH,ABSENTEE,State Senate,23.0,281,303,0.9273927392739274
CONECUH,ANNEX VOTING HOUSE,State House,90.0,90,90,1.0
CONECUH,ANNEX VOTING HOUSE,State Senate,23.0,90,90,1.0
CONECUH,ANTIOCH FIRE DEPARTMENT,State House,90.0,165,165,1.0
CONECUH,ANTIOCH FIRE DEPARTMENT,State Senate,22.0,165,165,1.0
CONECUH,BELLEVILLE FIRE DEPARTMENT,State House,68.0,306,306,1.0
CONECUH,BELLEVILLE FIRE DEPARTMENT,State Senate,22.0,20,306,0.06535947712418301
CONECUH,BELLEVILLE FIRE DEPARTMENT,State Senate,23.0,286,306,0.934640522875817
CONECUH,BERMUDA COMMUNTIY CENTER,State House,68.0,145,145,1.0
CONECUH,BERMUDA COMMUNTIY CENTER,State Senate,22.0,84,145,0.5793103448275863
CONECUH,BERMUDA COMMUNTIY CENTER,State Senate,23.0,61,145,0.4206896551724138
CONECUH,BROOKLYN MASONIC LODGE,State House,90.0,48,48,1.0
CONECUH,BROOKLYN MASONIC LODGE,State Senate,22.0,48,48,1.0
CONECUH,BROWNVILLE FIRE DEPARTMENT,State House,90.0,159,159,1.0
CONECUH,BROWNVILLE FIRE DEPARTMENT,State Senate,23.0,159,159,1.0
CONECUH,CARVER RECREATION,State House,68.0,434,434,1.0
CONECUH,CARVER RECREATION,State Senate,23.0,434,434,1.0
CONECUH,CASTLEBERRY FIRE DEPARTMENT,State House,68.0,122,122,1.0
CONECUH,CASTLEBERRY FIRE DEPARTMENT,State Senate,23.0,122,122,1.0
CONECUH,DAVID BURT BUILDING,State House,68.0,557,557,1.0
CONECUH,DAVID BURT BUILDING,State Senate,23.0,557,557,1.0
CONECUH,FLAT ROCK FIRE DEPARTMENT,State House,90.0,73,73,1.0
CONECUH,FLAT ROCK FIRE DEPARTMENT,State Senate,22.0,73,73,1.0
CONECUH,HEALTH DEPARTMENT,State House,68.0,214,214,1.0
CONECUH,HEALTH DEPARTMENT,State Senate,23.0,214,214,1.0
CONECUH,HERBERT FIRE DEPARTMENT,State House,90.0,87,87,1.0
CONECUH,HERBERT FIRE DEPARTMENT,State Senate,22.0,63,87,0.7241379310344828
CONECUH,HERBERT FIRE DEPARTMENT,State Senate,23.0,24,87,0.27586206896551724
CONECUH,JOHNSONVILLE FIRE DEPARTMENT,State House,90.0,95,95,1.0
CONECUH,JOHNSONVILLE FIRE DEPARTMENT,State Senate,23.0,95,95,1.0
CONECUH,LENOX COMMUNITY HOUSE,State House,90.0,131,131,1.0
CONECUH,LENOX COMMUNITY HOUSE,State Senate,22.0,131,131,1.0
CONECUH,LITTLE ZION CHURCH,State House,68.0,120,120,1.0
CONECUH,LITTLE ZION CHURCH,State Senate,23.0,120,120,1.0
CONECUH,LYEFFION FIRE DEPARTMENT,State House,90.0,213,213,1.0
CONECUH,LYEFFION FIRE DEPARTMENT,State Senate,23.0,213,213,1.0
CONECUH,NAZARENE BAPTIST CHURCH,State House,68.0,167,167,1.0
CONECUH,NAZARENE BAPTIST CHURCH,State Senate,23.0,167,167,1.0
CONECUH,OLD CASTLEBERRY NUTRITION,State House,90.0,215,215,1.0
CONECUH,OLD CASTLEBERRY NUTRITION,State Senate,22.0,215,215,1.0
CONECUH,OLD FIELD CHURCH,State House,68.0,185,185,1.0
CONECUH,OLD FIELD CHURCH,State Senate,23.0,185,185,1.0
CONECUH,PAUL FIRE DEPARTMENT,State House,90.0,97,97,1.0
CONECUH,PAUL FIRE DEPARTMENT,State Senate,22.0,61,97,0.6288659793814433
CONECUH,PAUL FIRE DEPARTMENT,State Senate,23.0,36,97,0.3711340206185567
CONECUH,PROVISIONAL,State House,68.0,3,6,0.5
CONECUH,PROVISIONAL,State House,90.0,3,6,0.5
CONECUH,PROVISIONAL,State Senate,22.0,3,6,0.5
CONECUH,PROVISIONAL,State Senate,23.0,3,6,0.5
CONECUH,RANGE FIRE DEPARTMENT,State House,90.0,99,99,1.0
CONECUH,RANGE FIRE DEPARTMENT,State Senate,22.0,99,99,1.0
CONECUH,REPTON TOWN HALL,State House,68.0,168,261,0.6436781609195402
CONECUH,REPTON TOWN HALL,State House,90.0,93,261,0.3563218390804598
CONECUH,REPTON TOWN HALL,State Senate,22.0,261,261,1.0
CONECUH,ROBINSONS MILL VOTING HOUSE,State House,68.0,145,145,1.0
CONECUH,ROBINSONS MILL VOTING HOUSE,State Senate,23.0,145,145,1.0
CONECUH,SANDCUTT FIRE DEPARTMENT,State House,90.0,156,156,1.0
CONECUH,SANDCUTT FIRE DEPARTMENT,State Senate,22.0,156,156,1.0
CONECUH,SKINNERTON FIRE DEPARTMENT,State House,90.0,53,53,1.0
CONECUH,SKINNERTON FIRE DEPARTMENT,State Senate,23.0,53,53,1.0
CONECUH,WOOTEN VOTING HOUSE,State House,68.0,187,187,1.0
CONECUH,WOOTEN VOTING HOUSE,State Senate,23.0,187,187,1.0
COOSA,ABSENTEE,State House,33.0,30,50,0.6
COOSA,ABSENTEE,State House,35.0,0,50,0.0
COOSA,ABSENTEE,State House,81.0,20,50,0.4
COOSA,ABSENTEE,State Senate,30.0,49,49,1.0
COOSA,CALCULATED TOTALS,State House,33.0,1442,3175,0.4541732283464567
COOSA,CALCULATED TOTALS,State House,35.0,263,3175,0.08283464566929134
COOSA,CALCULATED TOTALS,State House,81.0,1470,3175,0.462992125984252
COOSA,CALCULATED TOTALS,State Senate,30.0,2826,2826,1.0
COOSA,COTTAGE GROVE DAYCARE BX9,State House,81.0,182,182,1.0
COOSA,COTTAGE GROVE DAYCARE BX9,State Senate,30.0,69,69,1.0
COOSA,COURTHOUSE BOX 10,State House,33.0,267,446,0.5986547085201793
COOSA,COURTHOUSE BOX 10,State House,81.0,179,446,0.4013452914798206
COOSA,COURTHOUSE BOX 10,State Senate,30.0,379,379,1.0
COOSA,EQUALITY FIRE DEPARTMENT BOX 8,State House,81.0,288,288,1.0
COOSA,EQUALITY FIRE DEPARTMENT BOX 8,State Senate,30.0,269,269,1.0
COOSA,HANOVER BOX 3,State House,33.0,170,170,1.0
COOSA,HANOVER BOX 3,State Senate,30.0,158,158,1.0
COOSA,KELLEYTON FIRE DEPARTMENT BOX 2,State House,33.0,11,454,0.024229074889867842
COOSA,KELLEYTON FIRE DEPARTMENT BOX 2,State House,35.0,74,454,0.16299559471365638
COOSA,KELLEYTON FIRE DEPARTMENT BOX 2,State House,81.0,369,454,0.8127753303964758
COOSA,KELLEYTON FIRE DEPARTMENT BOX 2,State Senate,30.0,353,353,1.0
COOSA,MARBLE VALLEY FIRE BOX 18,State House,33.0,58,58,1.0
COOSA,MARBLE VALLEY FIRE BOX 18,State Senate,30.0,59,59,1.0
COOSA,MOUNT OLIVE COMMUNITY CENTER BOX20,State House,33.0,136,136,1.0
COOSA,MOUNT OLIVE COMMUNITY CENTER BOX20,State Senate,30.0,104,104,1.0
COOSA,OLD RAILROAD DEPOT BOX 1,State House,35.0,189,189,1.0
COOSA,OLD RAILROAD DEPOT BOX 1,State Senate,30.0,305,305,1.0
COOSA,PROVISIONAL,State House,33.0,0,1,0.0
COOSA,PROVISIONAL,State House,35.0,0,1,0.0
COOSA,PROVISIONAL,State House,81.0,1,1,1.0
COOSA,PROVISIONAL,State Senate,30.0,1,1,1.0
COOSA,RAY FIRE DEPARTMENT BOX 7,State House,81.0,261,261,1.0
COOSA,RAY FIRE DEPARTMENT BOX 7,State Senate,30.0,185,185,1.0
COOSA,REPORTED TOTALS,State House,33.0,1442,3175,0.4541732283464567
COOSA,REPORTED TOTALS,State House,35.0,263,3175,0.08283464566929134
COOSA,REPORTED TOTALS,State House,81.0,1470,3175,0.462992125984252
COOSA,REPORTED TOTALS,State Senate,30.0,2826,2826,1.0
COOSA,RICHVILLE FIRE BOX 13,State House,33.0,26,196,0.1326530612244898
COOSA,RICHVILLE FIRE BOX 13,State House,81.0,170,196,0.8673469387755102
COOSA,RICHVILLE FIRE BOX 13,State Senate,30.0,188,188,1.0
COOSA,WEOGUFKA VOTING HS BX 17,State House,33.0,257,257,1.0
COOSA,WEOGUFKA VOTING HS BX 17,State Senate,30.0,248,248,1.0
COOSA,WEST COOSA SR CENTER BOX 5,State House,33.0,487,487,1.0
COOSA,WEST COOSA SR CENTER BOX 5,State Senate,30.0,459,459,1.0
COVINGTON,ABSENTEE,State House,92.0,100,100,1.0
COVINGTON,ABSENTEE,State Senate,31.0,100,100,1.0
COVINGTON,ANDALUSIA KIWANIS FAIR BD,State House,92.0,2018,2018,1.0
COVINGTON,ANDALUSIA KIWANIS FAIR BD,State Senate,31.0,2018,2018,1.0
COVINGTON,BABBIE FIRE,State House,92.0,227,227,1.0
COVINGTON,BABBIE FIRE,State Senate,31.0,227,227,1.0
COVINGTON,BEULAH VOTING HOUSE,State House,92.0,166,166,1.0
COVINGTON,BEULAH VOTING HOUSE,State Senate,31.0,166,166,1.0
COVINGTON,BLUE SPRINGS HORN HILL,State House,92.0,171,171,1.0
COVINGTON,BLUE SPRINGS HORN HILL,State Senate,31.0,171,171,1.0
COVINGTON,BUCK CREEK FIRE,State House,92.0,208,208,1.0
COVINGTON,BUCK CREEK FIRE,State Senate,31.0,208,208,1.0
COVINGTON,CAROLINA CITY HALL,State House,92.0,253,253,1.0
COVINGTON,CAROLINA CITY HALL,State Senate,31.0,253,253,1.0
COVINGTON,FLORALA OLD NATIONAL GUARD,State House,92.0,407,407,1.0
COVINGTON,FLORALA OLD NATIONAL GUARD,State Senate,31.0,407,407,1.0
COVINGTON,GANTT CITY HALL,State House,92.0,306,306,1.0
COVINGTON,GANTT CITY HALL,State Senate,31.0,306,306,1.0
COVINGTON,HARMONY,State House,92.0,177,177,1.0
COVINGTON,HARMONY,State Senate,31.0,177,177,1.0
COVINGTON,HEATH CITY HALL,State House,92.0,230,230,1.0
COVINGTON,HEATH CITY HALL,State Senate,31.0,230,230,1.0
COVINGTON,HOPEWELL,State House,92.0,134,134,1.0
COVINGTON,HOPEWELL,State Senate,31.0,134,134,1.0
COVINGTON,LIBERTYVILLE CITY HALL,State House,92.0,145,145,1.0
COVINGTON,LIBERTYVILLE CITY HALL,State Senate,31.0,145,145,1.0
COVINGTON,LOANGO FIRE DEPARTMENT,State House,92.0,122,122,1.0
COVINGTON,LOANGO FIRE DEPARTMENT,State Senate,31.0,122,122,1.0
COVINGTON,LOCKHART CITY HALL,State House,92.0,228,228,1.0
COVINGTON,LOCKHART CITY HALL,State Senate,31.0,228,228,1.0
COVINGTON,MARVIN ODOMS PLACE,State House,92.0,66,66,1.0
COVINGTON,MARVIN ODOMS PLACE,State Senate,31.0,66,66,1.0
COVINGTON,OPP SENIOR ACTIVITY CENTER,State House,92.0,1430,1430,1.0
COVINGTON,OPP SENIOR ACTIVITY CENTER,State Senate,31.0,1430,1430,1.0
COVINGTON,PLEASANT HOME CATOE S,State House,92.0,59,59,1.0
COVINGTON,PLEASANT HOME CATOE S,State Senate,31.0,59,59,1.0
COVINGTON,PROVSIONAL,State House,92.0,0,0,
COVINGTON,PROVSIONAL,State Senate,31.0,1,1,1.0
COVINGTON,RED LEVEL FIRE DEPARTMENT,State House,92.0,200,200,1.0
COVINGTON,RED LEVEL FIRE DEPARTMENT,State Senate,31.0,200,200,1.0
COVINGTON,RED OAK,State House,92.0,127,127,1.0
COVINGTON,RED OAK,State Senate,31.0,127,127,1.0
COVINGTON,RIVER FALLS CITY HALL,State House,92.0,201,201,1.0
COVINGTON,RIVER FALLS CITY HALL,State Senate,31.0,201,201,1.0
COVINGTON,ROSE HILL COMMUNITY CENTER,State House,92.0,199,199,1.0
COVINGTON,ROSE HILL COMMUNITY CENTER,State Senate,31.0,199,199,1.0
COVINGTON,SANFORD CITY HALL,State House,92.0,271,271,1.0
COVINGTON,SANFORD CITY HALL,State Senate,31.0,271,271,1.0
COVINGTON,STRAUGHN AG BUILDING,State House,92.0,279,279,1.0
COVINGTON,STRAUGHN AG BUILDING,State Senate,31.0,279,279,1.0
COVINGTON,UNION GROVE FIRE,State House,92.0,166,166,1.0
COVINGTON,UNION GROVE FIRE,State Senate,31.0,166,166,1.0
COVINGTON,WING FIRE DEPARTMENT,State House,92.0,120,120,1.0
COVINGTON,WING FIRE DEPARTMENT,State Senate,31.0,120,120,1.0
CRENSHAW,ABSENTEE,State House,90.0,261,261,1.0
CRENSHAW,ABSENTEE,State Senate,25.0,261,261,1.0
CRENSHAW,BRANTLEY COMMUNITY CENTER,State House,90.0,542,542,1.0
CRENSHAW,BRANTLEY COMMUNITY CENTER,State Senate,25.0,542,542,1.0
CRENSHAW,BUSH S GROCERY,State House,90.0,42,42,1.0
CRENSHAW,BUSH S GROCERY,State Senate,25.0,42,42,1.0
CRENSHAW,CHAPEL HILL COMMUNITY CENTER,State House,90.0,225,225,1.0
CRENSHAW,CHAPEL HILL COMMUNITY CENTER,State Senate,25.0,225,225,1.0
CRENSHAW,COUNTY COURTHOUSE,State House,90.0,686,686,1.0
CRENSHAW,COUNTY COURTHOUSE,State Senate,25.0,686,686,1.0
CRENSHAW,DANIELVILLE SCHOOL HOUSE,State House,90.0,205,205,1.0
CRENSHAW,DANIELVILLE SCHOOL HOUSE,State Senate,25.0,205,205,1.0
CRENSHAW,DOZIER CITY HALL,State House,90.0,163,163,1.0
CRENSHAW,DOZIER CITY HALL,State Senate,25.0,163,163,1.0
CRENSHAW,GLENWOOD CITY HALL,State House,90.0,164,164,1.0
CRENSHAW,GLENWOOD CITY HALL,State Senate,25.0,164,164,1.0
CRENSHAW,HARBIN FARM CENTER,State House,90.0,364,364,1.0
CRENSHAW,HARBIN FARM CENTER,State Senate,25.0,364,364,1.0
CRENSHAW,HIGHLAND HOME NEW FIRE,State House,90.0,341,341,1.0
CRENSHAW,HIGHLAND HOME NEW FIRE,State Senate,25.0,341,341,1.0
CRENSHAW,LILLER S STORE,State House,90.0,158,158,1.0
CRENSHAW,LILLER S STORE,State Senate,25.0,158,158,1.0
CRENSHAW,PANOLA COMMUNITY CENTER,State House,90.0,218,218,1.0
CRENSHAW,PANOLA COMMUNITY CENTER,State Senate,25.0,218,218,1.0
CRENSHAW,PATSBURG DEPOT BUILDING,State House,90.0,127,127,1.0
CRENSHAW,PATSBURG DEPOT BUILDING,State Senate,25.0,127,127,1.0
CRENSHAW,PETREY COMMUNITY CENTER,State House,90.0,396,396,1.0
CRENSHAW,PETREY COMMUNITY CENTER,State Senate,25.0,396,396,1.0
CRENSHAW,PLEASANT HOME SCHOOL,State House,90.0,71,71,1.0
CRENSHAW,PLEASANT HOME SCHOOL,State Senate,25.0,71,71,1.0
CRENSHAW,PROVISIONAL,State House,90.0,7,7,1.0
CRENSHAW,PROVISIONAL,State Senate,25.0,4,4,1.0
CRENSHAW,RUTLEDGE COMMUNITY CENTER,State House,90.0,377,377,1.0
CRENSHAW,RUTLEDGE COMMUNITY CENTER,State Senate,25.0,377,377,1.0
CRENSHAW,VIDETTE COMMUNITY CENTER,State House,90.0,110,110,1.0
CRENSHAW,VIDETTE COMMUNITY CENTER,State Senate,25.0,110,110,1.0
CRENSHAW,VOLUNTEER FIRE DEPARTMENT HONORAVILLE,State House,90.0,188,188,1.0
CRENSHAW,VOLUNTEER FIRE DEPARTMENT HONORAVILLE,State Senate,25.0,188,188,1.0
CRENSHAW,WEEDS STORE BRANTLEY,State House,90.0,165,165,1.0
CRENSHAW,WEEDS STORE BRANTLEY,State Senate,25.0,165,165,1.0
CULLMAN,ABSENTEE,State House,9.0,38,337,0.11275964391691394
CULLMAN,ABSENTEE,State House,11.0,73,337,0.2166172106824926
CULLMAN,ABSENTEE,State House,12.0,226,337,0.6706231454005934
CULLMAN,ABSENTEE,State Senate,4.0,337,337,1.0
CULLMAN,ARKADELPHIA FIRE DEPARTMENT,State House,12.0,173,173,1.0
CULLMAN,ARKADELPHIA FIRE DEPARTMENT,State Senate,4.0,173,173,1.0
CULLMAN,BAILEYTON SR CENTER,State House,11.0,399,399,1.0
CULLMAN,BAILEYTON SR CENTER,State Senate,4.0,399,399,1.0
CULLMAN,BALDWIN COMMUNITY CENTER,State House,12.0,273,273,1.0
CULLMAN,BALDWIN COMMUNITY CENTER,State Senate,4.0,273,273,1.0
CULLMAN,BATTLEGROUND FIRE DEPARTMENT,State House,9.0,256,256,1.0
CULLMAN,BATTLEGROUND FIRE DEPARTMENT,State House,12.0,0,256,0.0
CULLMAN,BATTLEGROUND FIRE DEPARTMENT,State Senate,4.0,256,256,1.0
CULLMAN,BEAT 8 COMMUNITY CENTER,State House,12.0,112,112,1.0
CULLMAN,BEAT 8 COMMUNITY CENTER,State Senate,4.0,112,112,1.0
CULLMAN,BERLIN COMMUNITY CENTER,State House,11.0,448,448,1.0
CULLMAN,BERLIN COMMUNITY CENTER,State Senate,4.0,448,448,1.0
CULLMAN,BETHEL COMMUNITY CENTER,State House,12.0,187,187,1.0
CULLMAN,BETHEL COMMUNITY CENTER,State Senate,4.0,187,187,1.0
CULLMAN,BETHSADIA FIRE DEPARTMENT,State House,12.0,258,258,1.0
CULLMAN,BETHSADIA FIRE DEPARTMENT,State Senate,4.0,258,258,1.0
CULLMAN,BOLTE WHITE GROVE CHURCH,State House,12.0,279,279,1.0
CULLMAN,BOLTE WHITE GROVE CHURCH,State Senate,4.0,279,279,1.0
CULLMAN,BREMEN FIRE DEPARTMENT,State House,12.0,408,408,1.0
CULLMAN,BREMEN FIRE DEPARTMENT,State Senate,4.0,408,408,1.0
CULLMAN,BROOKLYN COMMUNITY CENTER,State House,11.0,230,230,1.0
CULLMAN,BROOKLYN COMMUNITY CENTER,State Senate,4.0,230,230,1.0
CULLMAN,BRUSHY POND COMMUNITY CENTER,State House,12.0,328,328,1.0
CULLMAN,BRUSHY POND COMMUNITY CENTER,State Senate,4.0,328,328,1.0
CULLMAN,CENTER HILL COMMUNITY CENTER,State House,11.0,66,195,0.3384615384615385
CULLMAN,CENTER HILL COMMUNITY CENTER,State House,12.0,129,195,0.6615384615384615
CULLMAN,CENTER HILL COMMUNITY CENTER,State Senate,4.0,195,195,1.0
CULLMAN,COLD SPRINGS COMMUNITY CENTER,State House,12.0,313,313,1.0
CULLMAN,COLD SPRINGS COMMUNITY CENTER,State Senate,4.0,313,313,1.0
CULLMAN,COLONY TOWN HALL,State House,12.0,210,210,1.0
CULLMAN,COLONY TOWN HALL,State Senate,4.0,210,210,1.0
CULLMAN,COURT HOUSE CONFERENCE ROOM,State House,12.0,372,372,1.0
CULLMAN,COURT HOUSE CONFERENCE ROOM,State Senate,4.0,372,372,1.0
CULLMAN,CRANE HILL FIRE DEPARTMENT,State House,12.0,600,600,1.0
CULLMAN,CRANE HILL FIRE DEPARTMENT,State Senate,4.0,600,600,1.0
CULLMAN,CULLMAN CITY HALL,State House,12.0,537,537,1.0
CULLMAN,CULLMAN CITY HALL,State Senate,4.0,537,537,1.0
CULLMAN,CULLMAN CIVIC CENTER,State House,9.0,2,2013,0.0009935419771485345
CULLMAN,CULLMAN CIVIC CENTER,State House,12.0,2011,2013,0.9990064580228515
CULLMAN,CULLMAN CIVIC CENTER,State Senate,4.0,2013,2013,1.0
CULLMAN,CULLMAN COUNTY HEALTH DEPARTMENT,State House,12.0,248,248,1.0
CULLMAN,CULLMAN COUNTY HEALTH DEPARTMENT,State Senate,4.0,248,248,1.0
CULLMAN,CULLMAN COUNTY OFFICE BUILDING BA,State House,9.0,20,699,0.02861230329041488
CULLMAN,CULLMAN COUNTY OFFICE BUILDING BA,State House,12.0,679,699,0.9713876967095851
CULLMAN,CULLMAN COUNTY OFFICE BUILDING BA,State Senate,4.0,699,699,1.0
CULLMAN,DODGE CITY TOWN HALL,State House,12.0,340,340,1.0
CULLMAN,DODGE CITY TOWN HALL,State Senate,4.0,340,340,1.0
CULLMAN,EAST POINT COMMUNITY CENTER,State House,9.0,163,331,0.49244712990936557
CULLMAN,EAST POINT COMMUNITY CENTER,State House,12.0,168,331,0.5075528700906344
CULLMAN,EAST POINT COMMUNITY CENTER,State Senate,4.0,331,331,1.0
CULLMAN,FAIRVIEW FIRE DEPARTMENT A K,State House,11.0,313,313,1.0
CULLMAN,FAIRVIEW FIRE DEPARTMENT A K,State Senate,4.0,313,313,1.0
CULLMAN,FAIRVIEW TOWN HALL L Z,State House,11.0,256,256,1.0
CULLMAN,FAIRVIEW TOWN HALL L Z,State Senate,4.0,256,256,1.0
CULLMAN,FRIENDSHIP METHODIST CHURCH,State House,9.0,569,569,1.0
CULLMAN,FRIENDSHIP METHODIST CHURCH,State Senate,4.0,569,569,1.0
CULLMAN,GARDEN CITY TOWN HALL,State House,11.0,55,297,0.18518518518518517
