state,year,chamber,district,dem_votes,rep_votes,dem_margin
GA,2014,senate,31,10952.0,29647.0,-46.047932215079186
GA,2014,senate,32,,55030.0,
GA,2014,senate,33,30951.0,,
GA,2014,senate,34,36219.0,,
GA,2014,senate,35,32592.0,11933.0,46.39865244244806
GA,2014,senate,36,34359.0,,
GA,2014,senate,37,,44825.0,
GA,2014,senate,38,32787.0,,
GA,2014,senate,39,30888.0,6637.0,64.62624916722186
GA,2014,senate,40,16685.0,29024.0,-26.994683760309787
GA,2014,senate,41,29005.0,,
GA,2014,senate,42,34284.0,11988.0,48.184647302904565
GA,2014,senate,43,37213.0,,
GA,2014,senate,44,41038.0,,
GA,2014,senate,45,,39361.0,
GA,2014,senate,46,,38846.0,
GA,2014,senate,47,,33936.0,
GA,2014,senate,48,,30403.0,
GA,2014,senate,49,,37782.0,
GA,2014,senate,50,,36833.0,
GA,2014,senate,51,,44589.0,
GA,2014,senate,52,,30959.0,
GA,2014,senate,53,,28771.0,
GA,2014,senate,54,,25016.0,
GA,2014,senate,55,43107.0,,
GA,2014,senate,56,14647.0,33811.0,-39.54764951091667
GA,2016,house,1,,15786.0,
GA,2016,house,2,,17938.0,
GA,2016,house,3,,19071.0,
GA,2016,house,4,,11335.0,
GA,2016,house,5,,14813.0,
GA,2016,house,6,,14654.0,
GA,2016,house,7,,21666.0,
GA,2016,house,8,,24824.0,
GA,2016,house,9,,21293.0,
GA,2016,house,10,,18168.0,
GA,2016,house,11,3313.0,18000.0,-68.91099329048
GA,2016,house,12,,15880.0,
GA,2016,house,13,,14476.0,
GA,2016,house,14,,18677.0,
GA,2016,house,15,4849.0,15182.0,-51.58504318306625
GA,2016,house,16,,17296.0,
GA,2016,house,17,,20415.0,
GA,2016,house,18,,16474.0,
GA,2016,house,19,,19802.0,
GA,2016,house,20,,23543.0,
GA,2016,house,21,,23967.0,
GA,2016,house,22,5216.0,25794.0,-66.35923895517575
GA,2016,house,23,,20944.0,
GA,2016,house,24,,25996.0,
GA,2016,house,25,,26162.0,
GA,2016,house,26,,26386.0,
GA,2016,house,27,,19469.0,
GA,2016,house,28,,17925.0,
GA,2016,house,29,,12733.0,
GA,2016,house,30,5302.0,15115.0,-48.06288876916295
GA,2016,house,31,,21810.0,
GA,2016,house,32,,18783.0,
GA,2016,house,33,,19190.0,
