chamber,district,Projected_TotalPop_VAP_2026,Projected_HispanicOrLatino_VAP_2026,Projected_WhiteAloneNotHisp_VAP_2026,Projected_WhiteAlone_VAP_2026,Projected_BlackOrAfAmAlone_VAP_2026,Projected_AmIndianOrAKNativeAlone_VAP_2026,Projected_AsianAlone_VAP_2026,Projected_PacificIslanderAlone_VAP_2026,Projected_OtherRaceAlone_VAP_2026,Projected_TwoOrMoreRaces_VAP_2026,projected_vap_white_nh_share,projected_vap_nonwhite_share,projected_vap_black_share,projected_vap_hispanic_share,cycle,status
senate,10,119476,8047,95017,97964,13147,692,569,158,3556,3390,0.7952810606314239,0.2047189393685761,0.11003883625163213,0.06735243898356155,2026,experimental_RDH_population_projection
senate,11,123085,3518,91335,93586,23950,219,508,79,1464,3279,0.7420481780883129,0.2579518219116871,0.1945809806231466,0.028581874314498112,2026,experimental_RDH_population_projection
senate,12,115136,4446,81179,84149,25316,223,797,170,1801,2680,0.7050705252918288,0.2949294747081712,0.21987909949972206,0.03861520289049472,2026,experimental_RDH_population_projection
senate,13,123404,4830,88050,90916,26090,233,924,0,1137,4104,0.7135100969174419,0.28648990308255806,0.21141940293669573,0.039139736151178245,2026,experimental_RDH_population_projection
senate,14,114498,10799,83456,88201,16794,667,1357,46,3441,3992,0.728886094080246,0.27111390591975404,0.14667505109259552,0.09431605792240913,2026,experimental_RDH_population_projection
senate,15,104547,5184,85392,87501,9821,109,1798,19,1756,3543,0.8167809693248013,0.18321903067519874,0.09393861134226711,0.04958535395563718,2026,experimental_RDH_population_projection
senate,16,110508,5486,79202,81713,18226,265,4739,0,1771,3794,0.7167082926122995,0.2832917073877005,0.1649292358924241,0.049643464726535635,2026,experimental_RDH_population_projection
senate,17,102178,5110,85051,88148,8301,188,530,56,1325,3630,0.8323807473232986,0.1676192526767014,0.08124058016402748,0.050010765526825735,2026,experimental_RDH_population_projection
senate,18,108466,6208,40136,43213,56757,153,2868,47,2251,3177,0.37003300573451586,0.6299669942654842,0.5232699647815905,0.05723452510464109,2026,experimental_RDH_population_projection
senate,19,106742,5251,34017,37183,64115,116,740,0,2081,2507,0.3186843042101516,0.6813156957898484,0.600653913173821,0.04919338217383973,2026,experimental_RDH_population_projection
senate,20,100110,5618,27436,30029,63520,152,615,84,2422,3288,0.2740585356108281,0.725941464389172,0.6345020477474778,0.05611826990310658,2026,experimental_RDH_population_projection
senate,21,126912,7371,86469,90027,29084,179,1952,33,1538,4099,0.6813303706505295,0.3186696293494705,0.22916666666666666,0.05807961422087746,2026,experimental_RDH_population_projection
senate,22,115325,3886,84921,87167,20829,2155,338,24,1001,3811,0.7363624539345328,0.2636375460654672,0.1806113158465207,0.033696076306091484,2026,experimental_RDH_population_projection
senate,23,104840,844,43163,44279,58700,208,361,8,121,1163,0.4117035482640214,0.5882964517359786,0.559900801220908,0.00805036245707745,2026,experimental_RDH_population_projection
senate,24,118960,3470,43039,45628,68311,151,1289,0,873,2708,0.36179388029589776,0.6382061197041022,0.5742350369872226,0.029169468728984533,2026,experimental_RDH_population_projection
