district,total_population,white_population,age25_population,white_age25_population,college_population,white_college_population,nonwhite_share,college_share,white_college_share,source_population_coverage,allocation_method,census_vintage,chamber,cycle
15,113961.74066415473,103837.55248634276,77484.30639602685,71768.3658333895,19071.054773979788,17640.52745174836,0.08883848315065623,0.2461279665653391,0.2457980928909668,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
16,111829.77465670304,106239.68025712979,75256.3525584968,71929.95341919888,35813.23277146736,34487.28839693384,0.049987531645608874,0.4758831853248497,0.47945656513839496,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
17,122692.91092242427,112424.91519136562,79319.23426210937,73357.77260015356,7479.604278870803,6994.064032543362,0.08368858195524309,0.0942974846952575,0.09534182656642878,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
18,113110.14983128363,36002.606358464414,72364.8585905883,26349.256693761614,15451.084818481519,9758.209901516015,0.6817031326351675,0.21351641002848684,0.3703409934833701,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
19,108525.07106757596,43023.24914904437,69565.26912888727,31519.505843952124,5905.498518959338,2037.104878935804,0.6035639624483192,0.08489147807389212,0.06462997513416531,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
20,101840.36950088719,36272.19157617012,64139.99519195255,26157.627753920508,5671.019310446158,2006.4347009387043,0.643832875372137,0.08841627277137189,0.07670553002031996,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
21,106160.23478548354,83205.79535201855,64852.46303540128,52696.157599425336,12428.43259325809,11041.446531739643,0.21622445993877737,0.19164164337865983,0.20953039148835498,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
22,114955.24718867011,78729.84642321603,71005.12303617528,51652.08868722962,6185.8874174756465,5209.093137026978,0.315126117783899,0.08711888879234948,0.10084961265690048,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
23,112354.3568835764,45600.17201691556,65717.8348961644,31382.80774807302,6826.272350922654,4932.010945957571,0.5941397086704232,0.10387244743696004,0.15715645921644497,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
24,118181.00031397452,47692.96732144559,66705.77815081162,29178.562720262114,8469.990090319181,5374.252529645337,0.5964413298691122,0.12697535843401483,0.1841849641865108,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
25,120828.74305810555,98760.90663966326,78412.70434521031,66892.14843114799,24086.46539374625,21304.536731080178,0.18263730847411075,0.3071755475707876,0.31849084280809,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
26,107158.37648902049,34506.39089054183,61702.819329130194,23476.89652543879,8694.439175540181,4208.890801632721,0.6779869943804405,0.140908296737026,0.17927798919555257,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
27,114238.37369929122,89852.98007644042,65475.11043632625,52204.958057889206,12063.675535565833,10751.01314537854,0.2134606160189244,0.18424826556493726,0.20593854578825485,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
28,120442.30323080572,50652.46963616728,71464.61505489769,33197.03982429612,9380.73279250568,5898.529712873122,0.5794461889432565,0.13126402185612543,0.17768240012039055,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
29,111062.6127050142,85839.31869458938,68649.55148732984,55395.271678797246,8693.130827458288,7728.942996374286,0.22710877581656286,0.12663055532216722,0.1395235145914551,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
30,112145.76135614893,80091.46187567493,68227.94112936284,51326.4533021493,8134.218323660977,7209.753741394289,0.2858271154687423,0.11922121918112966,0.14046857473186017,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
31,115296.24515738615,94362.43445632607,73888.46225575979,62676.396125162275,10055.683057271224,9162.734043946195,0.18156541587702357,0.13609273694807958,0.14619114388211757,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
32,119597.71170219238,102964.0272996079,78638.8586216271,69588.59526816999,11825.714742128053,11210.560930400678,0.1390802897968788,0.15038004047118467,0.16109767537624686,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
33,106504.33453982697,37582.529895381245,63760.8475982969,25793.430952927458,6728.5331018916295,3751.074086566896,0.6471267572558057,0.10552766086615438,0.14542749638125063,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
34,121971.00850693362,106844.58800065154,76177.98520582874,68264.02790911887,19418.770007461626,17734.749677906733,0.12401652402031427,0.2549131478732757,0.25979641432113154,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
35,113164.87905042073,79478.8646526796,68819.25478609435,51132.12725581347,8129.790936212174,6805.310220866903,0.2976719869309655,0.11813250465267873,0.1330926481274681,0.9999676745325935,1990_sf3_tract_area_interpolation_provisional,1990,senate,1994
